name,inverse_cap_weight,ramp_days,sticky_threshold_days,guard_enabled,guard_rv20_ann,guard_chop_crossovers20,short_dd_ok,medlong_ret_ok,both_ok,combo_score,base_1m_ret,base_1m_dd,cfg_1m_ret,cfg_1m_dd,base_2m_ret,base_2m_dd,cfg_2m_ret,cfg_2m_dd,base_3m_ret,base_3m_dd,cfg_3m_ret,cfg_3m_dd,base_6m_ret,base_6m_dd,cfg_6m_ret,cfg_6m_dd,base_1y_ret,base_1y_dd,cfg_1y_ret,cfg_1y_dd,base_2y_ret,base_2y_dd,cfg_2y_ret,cfg_2y_dd
OVL07,0.65,3,4,True,0.85,8.0,True,True,True,276.3276713296172,95.08989836837496,7.999528287601359,95.08989836837496,7.999528287601359,110.20108235875324,8.66704569580889,110.20108235875324,8.66704569580889,46.245464785070965,22.704213841574788,60.60009429269473,16.78336156232088,48.3268094832519,29.04469260302352,119.07465218696495,22.557120709298662,136.43357697744025,35.42609707057258,371.8764184983848,22.55712070929866,82.41954016640618,45.27001774988935,190.80156677998437,32.61753497927655
OVL04,0.6,4,5,True,0.8,7.0,True,True,True,193.14782135221466,95.08989836837496,7.999528287601359,95.08989836837496,7.999528287601359,110.20108235875324,8.66704569580889,98.545308531633,7.9995282876013505,46.245464785070965,22.704213841574788,51.66438855796267,22.814384850163435,48.3268094832519,29.04469260302352,106.8854524576437,28.92832017963966,136.43357697744025,35.42609707057258,325.8188126189177,28.92832017963964,82.41954016640618,45.27001774988935,198.63965260179964,33.404818756532144
OVL08,0.55,2,4,True,0.8,8.0,True,True,True,193.14782135221466,95.08989836837496,7.999528287601359,95.08989836837496,7.999528287601359,110.20108235875324,8.66704569580889,98.545308531633,7.9995282876013505,46.245464785070965,22.704213841574788,51.66438855796267,22.814384850163435,48.3268094832519,29.04469260302352,106.8854524576437,28.92832017963966,136.43357697744025,35.42609707057258,325.8188126189177,28.92832017963964,82.41954016640618,45.27001774988935,175.4859883223074,38.38764885590708
OVL03,0.75,3,3,True,0.9,8.0,False,True,False,267.1937955955149,95.08989836837496,7.999528287601359,95.08989836837496,7.999528287601359,110.20108235875324,8.66704569580889,85.93223680570499,12.901172034196703,46.245464785070965,22.704213841574788,70.77151313044905,12.9011720341967,48.3268094832519,29.04469260302352,132.94948864918973,17.451597363046695,136.43357697744025,35.42609707057258,401.76215868642703,17.451597363046698,82.41954016640618,45.27001774988935,208.39676467769084,30.78996796208829
OVL01,0.75,3,3,False,0.0,0.0,False,True,False,212.29601120201696,95.08989836837496,7.999528287601359,49.0613604668267,8.27267070067973,110.20108235875324,8.66704569580889,60.72359641471796,16.376428800803208,46.245464785070965,22.704213841574788,112.00832441858117,16.376428800803186,48.3268094832519,29.04469260302352,150.3790044416518,17.360492864386565,136.43357697744025,35.42609707057258,439.30450968963225,17.360492864386543,82.41954016640618,45.27001774988935,233.2992855159268,28.64660041399306
OVL02,0.6,3,5,False,0.0,0.0,False,True,False,212.29601120201696,95.08989836837496,7.999528287601359,49.0613604668267,8.27267070067973,110.20108235875324,8.66704569580889,60.72359641471796,16.376428800803208,46.245464785070965,22.704213841574788,112.00832441858117,16.376428800803186,48.3268094832519,29.04469260302352,150.3790044416518,17.360492864386565,136.43357697744025,35.42609707057258,439.30450968963225,17.360492864386543,82.41954016640618,45.27001774988935,236.83813803312935,28.222693170740172
OVL09,0.8,4,6,False,0.0,0.0,False,True,False,212.29601120201696,95.08989836837496,7.999528287601359,49.0613604668267,8.27267070067973,110.20108235875324,8.66704569580889,60.72359641471796,16.376428800803208,46.245464785070965,22.704213841574788,112.00832441858117,16.376428800803186,48.3268094832519,29.04469260302352,150.3790044416518,17.360492864386565,136.43357697744025,35.42609707057258,439.30450968963225,17.360492864386543,82.41954016640618,45.27001774988935,235.93883321757545,27.60984488869647
OVL06,0.7,2,2,True,1.0,9.0,False,True,False,189.97356492674265,95.08989836837496,7.999528287601359,95.08989836837496,7.999528287601359,110.20108235875324,8.66704569580889,62.8397490087639,18.65109395953603,46.245464785070965,22.704213841574788,67.38156788621535,18.651093959536023,48.3268094832519,29.04469260302352,128.32526299985773,18.651093959536038,136.43357697744025,35.42609707057258,391.80179578751535,18.651093959536038,82.41954016640618,45.27001774988935,186.83494788858198,34.05127706238404
OVL05,0.5,4,5,True,0.75,7.0,True,False,False,112.05866845541956,95.08989836837496,7.999528287601359,95.08989836837496,7.999528287601359,110.20108235875324,8.66704569580889,98.545308531633,7.9995282876013505,46.245464785070965,22.704213841574788,38.856214040385325,28.706330594252638,48.3268094832519,29.04469260302352,89.41381652899749,35.38421872361104,136.43357697744025,35.42609707057258,272.8741103652091,35.384218723611006,82.41954016640618,45.27001774988935,174.8854722118357,36.780278732371904
OVL10,0.5,5,7,True,0.75,6.0,True,False,False,112.05866845541956,95.08989836837496,7.999528287601359,95.08989836837496,7.999528287601359,110.20108235875324,8.66704569580889,98.545308531633,7.9995282876013505,46.245464785070965,22.704213841574788,38.856214040385325,28.706330594252638,48.3268094832519,29.04469260302352,89.41381652899749,35.38421872361104,136.43357697744025,35.42609707057258,272.8741103652091,35.384218723611006,82.41954016640618,45.27001774988935,270.4440274610564,35.38421872361099
