Variant,Config,1m Ret%,1m DD%,2m Ret%,2m DD%,3m Ret%,3m DD%,6m Ret%,6m DD%,1y Ret%,1y DD%,2y Ret%,2y DD%,Δ3m Ret,Δ3m DD,Δ6m Ret,Δ6m DD,Δ1y Ret,Δ1y DD,Δ2y Ret,Δ2y DD
Baseline,current,95.08989836837496,7.999528287601359,110.20108235875324,8.66704569580889,46.245464785070965,22.704213841574788,48.3268094832519,29.04469260302352,136.43357697744025,35.42609707057258,82.41954016640618,45.27001774988935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OVL07,"cap=0.65,ramp=3,sticky=4,guard=True",95.08989836837496,7.999528287601359,110.20108235875324,8.66704569580889,60.60009429269473,16.78336156232088,119.07465218696495,22.557120709298665,371.8764184983848,22.55712070929866,190.8015667799844,32.61753497927655,14.354629507623763,-5.920852279253907,70.74784270371305,-6.487571893724855,235.44284152094454,-12.868976361273923,108.38202661357822,-12.6524827706128
OVL04,"cap=0.6,ramp=4,sticky=5,guard=True",95.08989836837496,7.999528287601359,98.545308531633,7.9995282876013505,51.66438855796267,22.814384850163435,106.8854524576437,28.92832017963966,325.8188126189177,28.92832017963964,198.63965260179964,33.404818756532144,5.418923772891702,0.11017100858864737,58.558642974391795,-0.11637242338386145,189.38523564147746,-6.49777689093294,116.22011243539346,-11.865198993357204
OVL08,"cap=0.55,ramp=2,sticky=4,guard=True",95.08989836837496,7.999528287601359,98.545308531633,7.9995282876013505,51.66438855796267,22.814384850163435,106.8854524576437,28.92832017963966,325.8188126189177,28.92832017963964,175.4859883223074,38.38764885590708,5.418923772891702,0.11017100858864737,58.558642974391795,-0.11637242338386145,189.38523564147746,-6.49777689093294,93.06644815590123,-6.882368893982267
OVL03,"cap=0.75,ramp=3,sticky=3,guard=True",95.08989836837496,7.999528287601359,85.93223680570499,12.901172034196705,70.77151313044905,12.9011720341967,132.94948864918973,17.451597363046695,401.76215868642703,17.451597363046698,208.39676467769084,30.78996796208829,24.526048345378086,-9.803041807378088,84.62267916593783,-11.593095239976826,265.3285817089868,-17.974499707525883,125.97722451128466,-14.480049787801057
