candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept
C_sp5.0_rv75_tr1.10_th1.10,421.2914,29.6667,391.6247,3,2,2,72.6675,-0.2833,True
C_sp5.0_rv80_tr1.10_th1.10,421.2914,29.6667,391.6247,3,2,2,72.6675,-0.2833,True
C_sp5.0_rv85_tr1.10_th1.10,421.2914,29.6667,391.6247,3,2,2,72.6675,-0.2833,True
C_sp5.0_rv90_tr1.10_th1.10,421.2914,29.6667,391.6247,3,2,2,72.6675,-0.2833,True
C_sp5.0_rv70_tr1.10_th1.10,418.2586,29.6667,388.5919,3,2,2,69.6347,-0.2833,True
C_sp5.5_rv75_tr1.10_th1.10,412.6947,29.7667,382.928,3,2,2,64.0708,-0.1833,True
C_sp5.5_rv80_tr1.10_th1.10,412.6947,29.7667,382.928,3,2,2,64.0708,-0.1833,True
C_sp5.5_rv85_tr1.10_th1.10,412.6947,29.7667,382.928,3,2,2,64.0708,-0.1833,True
C_sp5.5_rv90_tr1.10_th1.10,412.6947,29.7667,382.928,3,2,2,64.0708,-0.1833,True
C_sp5.5_rv70_tr1.10_th1.10,409.0979,29.7667,379.3313,3,2,2,60.4741,-0.1833,True
C_sp6.0_rv70_tr1.10_th1.10,403.4533,29.88,373.5733,3,2,2,54.8295,-0.07,True
C_sp6.0_rv75_tr1.10_th1.10,403.4533,29.88,373.5733,3,2,2,54.8295,-0.07,True
C_sp6.0_rv80_tr1.10_th1.10,403.4533,29.88,373.5733,3,2,2,54.8295,-0.07,True
C_sp6.0_rv85_tr1.10_th1.10,403.4533,29.88,373.5733,3,2,2,54.8295,-0.07,True
C_sp6.0_rv90_tr1.10_th1.10,403.4533,29.88,373.5733,3,2,2,54.8295,-0.07,True
C_sp5.0_rv75_tr1.00_th1.10,391.3334,29.7367,361.5968,3,2,2,42.7096,-0.2133,True
C_sp5.0_rv80_tr1.00_th1.10,391.3334,29.7367,361.5968,3,2,2,42.7096,-0.2133,True
C_sp5.0_rv85_tr1.00_th1.10,391.3334,29.7367,361.5968,3,2,2,42.7096,-0.2133,True
C_sp5.0_rv90_tr1.00_th1.10,391.3334,29.7367,361.5968,3,2,2,42.7096,-0.2133,True
C_sp5.0_rv75_tr1.20_th1.10,389.3727,29.9333,359.4394,3,1,1,40.7489,-0.0167,True
C_sp5.0_rv80_tr1.20_th1.10,389.3727,29.9333,359.4394,3,1,1,40.7489,-0.0167,True
C_sp5.0_rv85_tr1.20_th1.10,389.3727,29.9333,359.4394,3,1,1,40.7489,-0.0167,True
C_sp5.0_rv90_tr1.20_th1.10,389.3727,29.9333,359.4394,3,1,1,40.7489,-0.0167,True
C_sp4.0_rv75_tr1.10_th1.10,388.2704,29.4167,358.8537,2,2,2,39.6465,-0.5333,True
C_sp4.0_rv80_tr1.10_th1.10,388.2704,29.4167,358.8537,2,2,2,39.6465,-0.5333,True
C_sp4.0_rv85_tr1.10_th1.10,388.2704,29.4167,358.8537,2,2,2,39.6465,-0.5333,True
C_sp4.0_rv90_tr1.10_th1.10,388.2704,29.4167,358.8537,2,2,2,39.6465,-0.5333,True
C_sp5.0_rv70_tr1.00_th1.10,388.4972,29.7367,358.7605,3,2,2,39.8733,-0.2133,True
