date,start_principal,equity_now_or_eod,day_pnl,day_return_pct,drawdown_pct,drawdown_usd,sale_time_stock,new_purchase_time_stock,eod_target,variant,switch_from_prev_day
2026-03-25,10000.0,9999.00009999,-0.999900009999692,-0.009999000099991662,0.00999900009999692,0.999900009999692,no change,15:55 | SOXS,SOXS 100.0%,baseline,none -> SOXS
2026-03-26,9999.00009999,10867.48761829126,868.4875183012591,8.685743670530899,0.0,0.0,11:05 | SOXS,15:55 | SOXL,SOXL 100.0%,baseline,SOXS -> SOXL
2026-03-27,10867.48761829126,10335.093858668908,-532.3937596223514,-4.898958971218614,4.898958971218611,532.3937596223514,no change,no change,SOXL 100.0%,baseline,no switch
2026-03-30,10335.093858668908,9049.584759914103,-1285.5090987548047,-12.438291478858133,16.7279036538069,1817.902858377156,no change,no change,SOXL 100.0%,baseline,no switch
2026-03-31,9049.584759914103,9726.441320620197,676.8565607060937,7.479421196255176,10.4996328291237,1141.0462976710623,10:07 | SOXL,15:55 | SOXL,SOXL 100.0%,baseline,no switch
2026-04-01,9726.441320620197,10371.795366680204,645.354046060007,6.635047956253515,4.561240546313087,495.6922516110553,09:43 | SOXL,15:55 | SOXL,SOXL 100.0%,baseline,no switch
2026-04-02,10371.795366680204,10483.053012601878,111.25764592167434,1.0726941863806294,3.537474522099591,384.434605689381,no change,no change,SOXL 100.0%,baseline,no switch
2026-04-06,10483.053012601878,10868.481285973387,385.4282733715081,3.676679617170464,0.0,0.0,no change,no change,SOXL 100.0%,baseline,no switch
2026-04-07,10868.481285973387,12569.32172927676,1700.8404433033738,15.649292652308656,0.0,0.0,19:33 | SOXL,15:55 | SOXL,SOXL 100.0%,baseline,no switch
2026-04-08,12569.32172927676,14264.101840075095,1694.7801107983341,13.483465116902948,0.0,0.0,04:03 | SOXL,15:55 | SOXS,SOXS 100.0%,baseline,SOXL -> SOXS
