variant,window_idx,period,start_principal,final_equity,pnl_usd,return_pct,maxdd_pct,maxdd_usd,days
runtime_switch_loop.py,1,2024-04-10 to 2024-05-10,10000.0,12676.712687883826,2676.712687883826,26.767126878838265,14.928992770589346,1947.8434858122855,23
runtime_switch_loop.py,2,2024-05-10 to 2024-06-10,12676.712687883826,11771.230577384418,-905.482110499408,-7.142877911596523,24.92567878094226,3159.7566845648744,21
runtime_switch_loop.py,3,2024-06-10 to 2024-07-10,11771.230577384418,8519.576667649311,-3251.653909735107,-27.623738133057863,37.873726792262026,5193.746581536314,21
runtime_switch_loop.py,4,2024-07-10 to 2024-08-10,8519.576667649311,8571.3948525543,51.81818490498881,0.6082248793153555,35.9401771824645,4640.807178144687,23
runtime_switch_loop.py,5,2024-08-10 to 2024-09-10,8571.3948525543,6726.090281639785,-1845.3045709145154,-21.52863801817051,24.257847281971078,2079.235873267352,21
runtime_switch_loop.py,6,2024-09-10 to 2024-10-10,6726.090281639785,6519.675445657254,-206.41483598253035,-3.0688680546852143,8.934120106227752,613.5418803473685,23
runtime_switch_loop.py,7,2024-10-10 to 2024-11-10,6519.675445657254,6315.643020620991,-204.0324250362637,-3.1294874528174477,15.389340662773362,1105.8427709245552,22
runtime_switch_loop.py,8,2024-11-10 to 2024-12-10,6315.643020620991,5317.31850405243,-998.3245165685603,-15.807171388708397,18.20148719708324,1149.5409558118108,21
runtime_switch_loop.py,9,2024-12-10 to 2025-01-10,5317.31850405243,8951.271248962854,3633.9527449104235,68.34182947929335,17.428759979494277,1634.9675829818007,21
runtime_switch_loop.py,10,2025-01-10 to 2025-02-10,8951.271248962854,10333.949124003315,1382.677875040461,15.446720768300537,18.67395832045445,2014.4165258041821,21
runtime_switch_loop.py,11,2025-02-10 to 2025-03-10,10333.949124003315,7150.677928303848,-3183.271195699467,-30.804014588241802,31.087457949581797,3225.775639570961,20
runtime_switch_loop.py,12,2025-03-10 to 2025-04-10,7150.677928303848,8503.698590953216,1353.0206626493682,18.92157185955523,8.925778740966603,759.0213210271786,24
runtime_switch_loop.py,13,2025-04-10 to 2025-05-10,8503.698590953216,7321.428411145907,-1182.2701798073085,-13.903011344558758,21.077674418359866,1933.5459914891117,21
runtime_switch_loop.py,14,2025-05-10 to 2025-06-10,7321.428411145907,8406.445437989538,1085.0170268436304,14.819745081326419,10.164857882342146,854.5032317282712,21
runtime_switch_loop.py,15,2025-06-10 to 2025-07-10,8406.445437989538,9428.33191143628,1021.8864734467425,12.155987699970527,5.268457062738796,496.72761848652044,21
runtime_switch_loop.py,16,2025-07-10 to 2025-08-10,9428.33191143628,8704.757035408169,-723.5748760281112,-7.674473945390458,18.73921489740401,1775.0130607784577,22
runtime_switch_loop.py,17,2025-08-10 to 2025-09-10,8704.757035408169,11245.607569727774,2540.850534319605,29.189218308842356,13.31677202700704,1497.5519231124945,22
runtime_switch_loop.py,18,2025-09-10 to 2025-10-10,11245.607569727774,7341.591397958403,-3904.016171769371,-34.71592039436493,36.36447584725242,4195.347278520491,23
runtime_switch_loop.py,19,2025-10-10 to 2025-11-10,7341.591397958403,8614.652986570794,1273.0615886123915,17.34040372999255,28.0291451685094,2414.6135913692588,22
runtime_switch_loop.py,20,2025-11-10 to 2025-12-10,8614.652986570794,11215.14682637096,2600.493839800165,30.186867002699014,17.716182166876745,1986.8958420425752,22
runtime_switch_loop.py,21,2025-12-10 to 2026-01-10,11215.14682637096,8743.153895526346,-2471.9929308446135,-22.04155655842189,28.08299637297877,3149.549276474,21
runtime_switch_loop.py,22,2026-01-10 to 2026-02-10,8743.153895526346,8358.193883481617,-384.9600120447285,-4.4029879451361715,22.081170990939597,1930.5907616721688,21
runtime_switch_loop.py,23,2026-02-10 to 2026-03-10,8358.193883481617,12612.379734038144,4254.185850556527,50.89838677903988,6.131426808045479,773.3188321453099,20
runtime_switch_loop.py,24,2026-03-10 to 2026-04-10,12612.379734038144,17930.77717488336,5318.397440845214,42.16807258420856,12.751156043855756,2618.0493040530982,23
