date,start_principal,end_equity,day_pnl,day_return_pct,drawdown_pct,drawdown_usd,fell_pct,fell_usd,sale_time_stock,new_purchase_time_stock,eod_target,variant,switch_from_prev_day
2026-03-24,10000.0,9999.000099990002,-0.999900009997873,-0.00999900009998056,0.00999900009997873,0.999900009997873,0.00999900009997873,0.999900009997873,no change,15:55 | SOXS,SOXS 100.0%,baseline,none -> SOXS
2026-03-25,9999.000099990002,9597.920804934432,-401.0792950555697,-4.011194029850751,4.020791950655675,402.07919506556755,4.011194029850752,401.0792950555697,no change,no change,SOXS 100.0%,baseline,no switch
2026-03-26,9597.920804934432,10431.571603751594,833.6507988171616,8.685743670530899,0.0,0.0,0.0,0.0,11:05 | SOXS,15:55 | SOXL,SOXL 100.0%,baseline,SOXS -> SOXL
2026-03-27,10431.571603751594,9920.533190830512,-511.03841292108154,-4.898958971218603,4.898958971218608,511.03841292108154,4.898958971218608,511.03841292108154,no change,no change,SOXL 100.0%,baseline,no switch
2026-03-30,9920.533190830512,8686.588356298147,-1233.9448345323653,-12.438291478858144,16.72790365380691,1744.983247453447,12.438291478858142,1233.9448345323653,no change,no change,SOXL 100.0%,baseline,no switch
2026-03-31,8686.588356298147,9336.294887050544,649.7065307523972,7.479421196255176,10.499632829123717,1095.2767167010497,0.0,0.0,10:07 | SOXL,15:55 | SOXL,SOXL 100.0%,baseline,no switch
2026-04-01,9336.294887050544,9955.762530143591,619.4676430930467,6.6350479562534925,4.561240546313115,475.809073608003,0.0,0.0,09:43 | SOXL,15:55 | SOXL,SOXL 100.0%,baseline,no switch
2026-04-02,9955.762530143591,10062.557416014302,106.79488587071137,1.0726941863806294,3.5374745220996227,369.01418773729165,0.0,0.0,no change,no change,SOXL 100.0%,baseline,no switch
2026-04-06,10062.557416014302,10432.525413494976,369.96799748067315,3.676679617170464,0.0,0.0,0.0,0.0,no change,no change,SOXL 100.0%,baseline,no switch
2026-04-07,10432.525413494976,12065.141846479277,1632.6164329843014,15.649292652308656,0.0,0.0,0.0,0.0,19:33 | SOXL,15:55 | SOXL,SOXL 100.0%,baseline,no switch
