variant,period,start_equity,final_equity,pnl,return_pct,maxdd_pct,maxdd_usd,events,days
runtime_switch_loop.py,2026-03-10 to 2026-04-09,10000.0,15172.81163739692,5172.811637396921,51.728116373969215,12.751156043855769,2075.7774181089226,8,22
runtime_switch_loop_v2_controlplane.py,2026-03-10 to 2026-04-09,10000.0,15169.777378495332,5169.7773784953315,51.697773784953306,12.751156043855769,2075.7774181089226,8,22
MRV2-00004,2026-03-10 to 2026-04-09,10000.0,14231.609627925005,4231.609627925005,42.31609627925006,15.541578474672338,2373.0905202607755,8,22
MRV2-00003,2026-03-10 to 2026-04-09,10000.0,12439.91283990887,2439.9128399088695,24.39912839908869,16.846873503111954,2248.546165623029,8,22
MRV2-00002,2026-03-10 to 2026-04-09,10000.0,12268.838041603884,2268.8380416038835,22.688380416038846,18.027923842768747,2373.0905202607755,8,22
runtime_m0106_loop.py,2026-03-10 to 2026-04-09,10000.0,11590.064524501639,1590.0645245016385,15.900645245016376,18.48537984191362,2248.546165623029,8,22
MRV2-00007,2026-03-10 to 2026-04-09,10000.0,11336.470743863762,1336.4707438637615,13.364707438637623,18.48667391631752,2248.546165623029,8,22
MRV2-00012,2026-03-10 to 2026-04-09,10000.0,11336.470743863762,1336.4707438637615,13.364707438637623,18.48667391631752,2248.546165623029,8,22
