date,start_principal,equity_now_or_eod,day_pnl,day_return_pct,drawdown_pct,drawdown_usd,sale_time_stock,new_purchase_time_stock,eod_target,variant,switch_from_prev_day
2026-03-25,11075.0,11073.892610738925,-1.1073892610747862,-0.009999000099991662,0.00999900009999807,1.1073892610747862,no change,15:55 | SOXS,SOXS 100.0%,baseline,none -> SOXS
2026-03-26,11073.892610738925,12035.74253725757,961.8499265186456,8.685743670530899,0.0,0.0,11:05 | SOXS,15:55 | SOXL,SOXL 100.0%,baseline,SOXS -> SOXL
2026-03-27,12035.74253725757,11446.116448475816,-589.6260887817552,-4.898958971218614,4.898958971218619,589.6260887817552,no change,no change,SOXL 100.0%,baseline,no switch
2026-03-30,11446.116448475816,10022.415121604869,-1423.701326870947,-12.438291478858133,16.727903653806912,2013.3274156527023,no change,no change,SOXL 100.0%,baseline,no switch
2026-03-31,10022.415121604869,10772.033762586867,749.6186409819984,7.479421196255176,10.499632829123719,1263.7087746707039,10:07 | SOXL,15:55 | SOXL,SOXL 100.0%,baseline,no switch
2026-04-01,10772.033762586867,11486.763368598326,714.7296060114586,6.635047956253515,4.5612405463130985,548.9791686592453,09:43 | SOXL,15:55 | SOXL,SOXL 100.0%,baseline,no switch
2026-04-02,11486.763368598326,11609.98121145658,123.21784285825379,1.0726941863806294,3.537474522099608,425.7613258009915,no change,no change,SOXL 100.0%,baseline,no switch
2026-04-06,11609.98121145658,12036.843024215525,426.86181275894523,3.676679617170464,0.0,0.0,no change,no change,SOXL 100.0%,baseline,no switch
2026-04-07,12036.843024215525,13920.523815174012,1883.6807909584877,15.649292652308656,0.0,0.0,19:33 | SOXL,15:55 | SOXL,SOXL 100.0%,baseline,no switch
2026-04-08,13920.523815174012,15797.492787883168,1876.9689727091554,13.483465116902948,0.0,0.0,04:03 | SOXL,15:55 | SOXS,SOXS 100.0%,baseline,SOXL -> SOXS
