window_idx,period,v1_start_principal,v1_final_equity,v1_pnl_usd,v1_return_pct,v1_maxdd_pct,v2_start_principal,v2_final_equity,v2_pnl_usd,v2_return_pct,v2_maxdd_pct,v2_minus_v1_final
1,2024-04-10 to 2024-05-10,10000.0,12676.712687883826,2676.712687883826,26.767126878838265,14.928992770589346,10000.0,12676.712687883826,2676.712687883826,26.767126878838265,14.928992770589346,0.0
2,2024-05-10 to 2024-06-10,12676.712687883826,11771.230577384418,-905.482110499408,-7.142877911596523,24.92567878094226,12676.712687883826,14217.904041239653,1541.1913533558272,12.157657835290925,12.227401605859296,2446.6734638552352
3,2024-06-10 to 2024-07-10,11771.230577384418,8519.576667649311,-3251.653909735107,-27.623738133057863,37.873726792262026,14217.904041239653,14457.740528129008,239.836486889355,1.6868624671660282,26.90860694929359,5938.163860479697
4,2024-07-10 to 2024-08-10,8519.576667649311,8571.3948525543,51.81818490498881,0.6082248793153555,35.9401771824645,14457.740528129008,8981.182190206793,-5476.558337922215,-37.879766394112636,40.05118238321475,409.7873376524931
5,2024-08-10 to 2024-09-10,8571.3948525543,6726.090281639785,-1845.3045709145154,-21.52863801817051,24.257847281971078,8981.182190206793,7047.655986724775,-1933.526203482018,-21.528638018170497,24.257847281971085,321.56570508499044
6,2024-09-10 to 2024-10-10,6726.090281639785,6519.675445657254,-206.41483598253035,-3.0688680546852143,8.934120106227752,7047.655986724775,6846.477177241827,-201.17880948294805,-2.8545492268904127,8.94605560078557,326.80173158457274
7,2024-10-10 to 2024-11-10,6519.675445657254,6315.643020620991,-204.0324250362637,-3.1294874528174477,15.389340662773362,6846.477177241827,6632.217533020038,-214.25964422178913,-3.129487452817392,15.389340662773318,316.5745123990473
8,2024-11-10 to 2024-12-10,6315.643020620991,5317.31850405243,-998.3245165685603,-15.807171388708397,18.20148719708324,6632.217533020038,5583.851540703591,-1048.3659923164469,-15.807171388708419,18.20148719708325,266.5330366511607
9,2024-12-10 to 2025-01-10,5317.31850405243,8951.271248962854,3633.9527449104235,68.34182947929335,17.428759979494277,5583.851540703591,8543.444847684998,2959.5933069814064,53.00272196363738,21.58836805773684,-407.82640127785635
10,2025-01-10 to 2025-02-10,8951.271248962854,10333.949124003315,1382.677875040461,15.446720768300537,18.67395832045445,8543.444847684998,5221.014927932461,-3322.429919752536,-38.888644791249625,47.21722468969545,-5112.934196070853
11,2025-02-10 to 2025-03-10,10333.949124003315,7150.677928303848,-3183.271195699467,-30.804014588241802,31.087457949581797,5221.014927932461,3612.732727877865,-1608.2822000545966,-30.804014588241778,31.087457949581786,-3537.945200425983
12,2025-03-10 to 2025-04-10,7150.677928303848,8503.698590953216,1353.0206626493682,18.92157185955523,8.925778740966603,3612.732727877865,4124.777152822691,512.0444249448265,14.173327049454997,9.312603262710716,-4378.921438130525
13,2025-04-10 to 2025-05-10,8503.698590953216,7321.428411145907,-1182.2701798073085,-13.903011344558758,21.077674418359866,4124.777152822691,3551.3089173279877,-573.4682354947035,-13.903011344558692,21.07767441835981,-3770.1194938179196
14,2025-05-10 to 2025-06-10,7321.428411145907,8406.445437989538,1085.0170268436304,14.819745081326419,10.164857882342146,3551.3089173279877,4077.60384592641,526.2949285984223,14.819745081326463,10.164857882342126,-4328.841592063128
15,2025-06-10 to 2025-07-10,8406.445437989538,9428.33191143628,1021.8864734467425,12.155987699970527,5.268457062738796,4077.60384592641,4785.956601545707,708.3527556192967,17.371789472068322,5.034335833032296,-4642.375309890574
16,2025-07-10 to 2025-08-10,9428.33191143628,8704.757035408169,-723.5748760281112,-7.674473945390458,18.73921489740401,4785.956601545707,4418.659609122384,-367.296992423323,-7.674473945390526,18.739214897404047,-4286.097426285785
17,2025-08-10 to 2025-09-10,8704.757035408169,11245.607569727774,2540.850534319605,29.189218308842356,13.31677202700704,4418.659609122384,5004.451823729986,585.7922146076025,13.257237860056614,15.36760681295622,-6241.155745997788
18,2025-09-10 to 2025-10-10,11245.607569727774,7341.591397958403,-3904.016171769371,-34.71592039436493,36.36447584725242,5004.451823729986,5661.648650435129,657.1968267051425,13.1322440469676,19.381202568593118,-1679.9427475232742
19,2025-10-10 to 2025-11-10,7341.591397958403,8614.652986570794,1273.0615886123915,17.34040372999255,28.0291451685094,5661.648650435129,5751.60632080849,89.957670373361,1.588895318794603,17.6811889481302,-2863.0466657623047
20,2025-11-10 to 2025-12-10,8614.652986570794,11215.14682637096,2600.493839800165,30.186867002699014,17.716182166876745,5751.60632080849,7487.836071389779,1736.2297505812894,30.186867002699035,17.716182166876752,-3727.3107549811803
21,2025-12-10 to 2026-01-10,11215.14682637096,8743.153895526346,-2471.9929308446135,-22.04155655842189,28.08299637297877,7487.836071389779,7838.060535611967,350.22446422218763,4.6772453467612385,26.828176725466022,-905.0933599143791
22,2026-01-10 to 2026-02-10,8743.153895526346,8358.193883481617,-384.9600120447285,-4.4029879451361715,22.081170990939597,7838.060535611967,8367.856960509745,529.7964248977787,6.759279575485122,23.985421790545185,9.6630770281281
23,2026-02-10 to 2026-03-10,8358.193883481617,12612.379734038144,4254.185850556527,50.89838677903988,6.131426808045479,8367.856960509745,11908.29978802793,3540.4428275181854,42.31003044419286,10.25433436242824,-704.0799460102135
24,2026-03-10 to 2026-04-10,12612.379734038144,17930.77717488336,5318.397440845214,42.16807258420856,12.751156043855756,11908.29978802793,19197.353679500196,7289.053891472266,61.20986220720066,12.751156043855765,1266.576504616838
