date,SOXL,SOXS,TQQQ,SQQQ,SPXL,SPXS,TMF,TMV
2020-01-24,19.75723648071289,388925.34375,11.818933486938477,9859.6748046875,67.51408386230469,1097.6190185546875,253.75338745117188,22.971229553222656
2020-01-27,17.465465545654297,433978.625,11.088248252868652,10467.671875,64.28535461425781,1148.6710205078125,265.6614990234375,21.875232696533203
2020-01-28,18.715585708618164,402755.65625,11.60367488861084,9986.3388671875,66.25148010253906,1112.5823974609375,259.32196044921875,22.43441390991211
2020-01-29,17.683605194091797,425177.5625,11.645528793334961,9945.8056640625,66.13583374023438,1115.22314453125,266.6896057128906,21.763399124145508
2020-01-30,17.617780685424805,426225.25,11.777077674865723,9834.33984375,66.75265502929688,1105.541015625,267.20361328125,21.74102783203125
2020-01-31,15.72227954864502,471907.28125,11.19826889038086,10315.671875,63.128787994384766,1166.2750244140625,274.0572204589844,21.181842803955078
2020-02-03,16.32248306274414,454933.625,11.71250057220459,9849.541015625,64.46847534179688,1140.7491455078125,273.5431213378906,21.20421600341797
2020-02-04,17.844951629638672,411975.875,12.51254653930664,9175.6787109375,67.47551727294922,1087.0565185546875,262.2347717285156,22.076539993286133
2020-02-05,19.013107299804688,384943.84375,12.657249450683594,9069.2783203125,69.73080444335938,1051.84814453125,253.8391876220703,22.814659118652344
2020-02-06,19.025371551513672,384315.25,12.965787887573242,8846.345703125,70.48257446289062,1040.4056396484375,257.43719482421875,22.47915267944336
2020-02-07,17.68296241760254,412394.96875,12.79836368560791,8957.8134765625,69.3067398071289,1056.2491455078125,266.6038818359375,21.651561737060547
2020-02-10,18.483888626098633,393535.40625,13.25997543334961,8633.546875,70.81024932861328,1035.1240234375,268.9169921875,21.472620010375977
2020-02-11,19.593307495117188,369227.59375,13.26954174041748,8633.546875,71.24397277832031,1028.962646484375,264.5478210449219,21.85286521911621
2020-02-12,20.454256057739258,353301.75,13.658204078674316,8385.2802734375,72.57400512695312,1008.7181396484375,260.692626953125,22.143638610839844
2020-02-13,20.49943733215332,352882.6875,13.605586051940918,8420.748046875,72.35233306884766,1013.119140625,263.5197448730469,21.94233512878418
2020-02-14,20.36777114868164,354768.625,13.697669982910156,8354.8837890625,72.6511001586914,1007.837890625,267.0322265625,21.629188537597656
2020-02-18,19.521669387817383,369856.21875,13.721585273742676,8334.6171875,71.99571990966797,1016.6397094726562,272.1723937988281,21.20421600341797
2020-02-19,21.038330078125,340938.25,14.118620872497559,8101.55126953125,73.08482360839844,1000.7962036132812,272.3437194824219,21.181842803955078
2020-02-20,20.097999572753906,356025.9375,13.716802597045898,8334.6171875,72.21741485595703,1014.8794555664062,278.6833801269531,20.712133407592773
2020-02-21,18.293495178222656,388296.65625,12.93230152130127,8810.87890625,69.88501739501953,1045.6866455078125,286.30792236328125,20.152952194213867
2020-02-24,15.683552742004395,443408.40625,11.442231178283691,9834.33984375,62.94567108154297,1150.4315185546875,299.0726623535156,19.191158294677734
2020-02-25,14.243049621582031,484480.25,10.51661491394043,10624.7353515625,57.259246826171875,1255.17626953125,304.2985534667969,18.855648040771484
2020-02-26,14.362447738647461,480289.25,10.661317825317383,10472.736328125,56.54603958129883,1267.4991455078125,299.5010070800781,19.168785095214844
2020-02-27,12.335284233093262,547764.4375,9.0672025680542,12038.3251953125,49.009132385253906,1440.89990234375,308.49627685546875,18.587238311767578
2020-02-28,13.230437278747559,508787.96875,9.208317756652832,11855.927734375,48.440494537353516,1463.7855224609375,323.1459045410156,17.289934158325195
2020-03-02,14.540573120117188,457867.3125,10.465191841125488,10168.7392578125,54.473873138427734,1269.259521484375,321.946533203125,17.714908599853516
2020-03-03,13.068446159362793,505016.15625,9.479781150817871,11187.130859375,49.8380126953125,1378.4051513671875,337.3669738769531,16.909687042236328
2020-03-04,14.981371879577637,429787.625,10.630223274230957,9793.806640625,56.05450439453125,1203.243896484375,326.4869689941406,17.468870162963867
2020-03-05,13.637675285339355,467925.78125,9.697430610656738,10660.2001953125,50.416282653808594,1323.8323974609375,350.0461120605469,16.149198532104492
2020-03-06,12.818033218383789,496634.125,9.189179420471191,11192.197265625,47.9007682800293,1389.847900390625,404.87469482421875,13.621695518493652
2020-03-09,9.570446014404297,622783.4375,7.322404861450195,13507.6513671875,36.778533935546875,1715.52490234375,441.7983093261719,12.413857460021973
2020-03-10,11.397536277770996,504387.5625,8.462084770202637,11399.9287109375,42.4071159362793,1457.623779296875,370.7782287597656,14.471651077270508
2020-03-11,9.463956832885742,590931.625,7.373828411102295,12808.45703125,36.22917938232422,1668.87353515625,329.74237060546875,15.947890281677246
2020-03-12,6.5855302810668945,785813.5,5.352781295776367,16350.0341796875,25.839427947998047,2145.9462890625,336.5959167480469,15.657118797302246
2020-03-13,8.384870529174805,525971.125,6.7974114418029785,11714.0634765625,32.80768966674805,1561.488525390625,316.3779602050781,16.820222854614258
2020-03-16,5.148899078369141,769259.0,4.454672813415527,15549.5068359375,21.695098876953125,2089.613037109375,369.407470703125,13.420389175415039
2020-03-17,5.660691261291504,550907.6875,5.180574417114258,12707.123046875,25.241878509521484,1731.3685302734375,303.1846923828125,16.1268310546875
2020-03-18,4.195017337799072,684600.8125,4.701024532318115,13649.51953125,21.434873580932617,1951.4202880859375,248.18496704101562,18.922748565673828
2020-03-19,4.513192653656006,619430.5625,4.809850692749023,13477.251953125,21.222835540771484,1957.58154296875,272.2581481933594,17.35703468322754
2020-03-20,4.127249717712402,672865.8125,4.246588230133057,14855.3798828125,18.42782211303711,2228.685546875,327.6863098144531,13.778264045715332
2020-03-23,4.511255741119385,611886.75,4.259742736816406,14936.4423828125,16.914655685424805,2417.05029296875,369.4931945800781,11.966513633728027
2020-03-24,6.056705474853516,409576.0,5.20927619934082,11572.197265625,21.61799430847168,1763.46044921875,350.07861328125,12.482892036437988
2020-03-25,5.819579601287842,417763.3125,5.088491916656494,11767.8203125,22.427583694458008,1668.328369140625,345.7853088378906,12.572696685791016
2020-03-26,6.983236312866211,336309.96875,5.917240142822266,9892.8935546875,26.41771125793457,1371.482177734375,351.19488525390625,12.460440635681152
2020-03-27,5.908097743988037,383754.46875,5.302555084228516,10848.142578125,23.998573303222656,1488.635009765625,378.9298400878906,11.382781982421875
2020-03-30,6.543877601623535,341978.09375,5.859836578369141,9674.4091796875,26.30204963684082,1343.2947998046875,369.57037353515625,11.674647331237793
2020-03-31,6.121316432952881,364650.6875,5.697196960449219,9887.8125,25.10694122314453,1404.07373046875,361.5848693847656,11.966512680053711
2020-04-01,5.130818843841553,423221.5625,4.990428924560547,11153.0048828125,21.77220344543457,1592.5753173828125,376.0962829589844,11.405231475830078
2020-04-02,5.600546360015869,383124.625,5.285812854766846,10492.4638671875,23.246810913085938,1483.3499755859375,382.7080078125,11.270524024963379
2020-04-03,5.267794609069824,404957.5,5.072944641113281,10904.0302734375,22.273374557495117,1545.890380859375,386.228515625,11.158267974853516
2020-04-06,6.883735179901123,282567.5625,6.134891033172607,8612.45703125,26.783952713012695,1233.1888427734375,382.8797302246094,11.248071670532227
2020-04-07,6.797154426574707,284037.0625,6.122932434082031,8587.052734375,26.774316787719727,1228.784423828125,370.17138671875,11.629744529724121
2020-04-08,7.478164196014404,255486.40625,6.513987064361572,8043.37548828125,29.501863479614258,1102.8231201171875,363.13043212890625,11.854257583618164
2020-04-09,6.987759113311768,271441.15625,6.537903785705566,8002.72509765625,30.822263717651367,1050.8531494140625,363.04449462890625,11.831806182861328
2020-04-13,7.239745140075684,260734.71875,6.765122413635254,7733.4296875,29.96448516845703,1081.682861328125,354.9730529785156,12.101222038269043
2020-04-14,8.20116901397705,226935.734375,7.642902851104736,6722.29052734375,32.65349197387695,985.6703491210938,354.4577941894531,12.12367057800293
2020-04-15,7.535667419433594,244150.078125,7.389374732971191,6945.85986328125,30.552404403686523,1047.3297119140625,381.7634582519531,11.180718421936035
2020-04-16,8.090036392211914,226096.046875,7.78521203994751,6569.857421875,31.015029907226562,1031.474365234375,394.5575866699219,10.821500778198242
2020-04-17,8.300024032592773,220427.90625,7.980143070220947,6407.26220703125,33.50162887573242,950.4360961914062,378.3287658691406,11.248071670532227
2020-04-20,7.764393329620361,234493.28125,7.721830368041992,6615.58740234375,31.747512817382812,998.0020751953125,388.03167724609375,10.956207275390625
2020-04-21,6.673747539520264,268712.03125,6.867969036102295,7342.18408203125,28.85611915588379,1089.6103515625,401.6845703125,10.529635429382324
2020-04-22,7.791531085968018,221897.375,7.475478172302246,6681.64208984375,30.75480079650879,1017.3807983398438,390.0924987792969,10.866401672363281
2020-04-23,7.593816757202148,227775.46875,7.426446914672852,6732.45263671875,30.696975708007812,1017.3807983398438,396.1031188964844,10.698018074035645
2020-04-24,8.077113151550293,212870.34375,7.78521203994751,6402.18115234375,32.03665542602539,975.0999755859375,399.6237487792969,10.621683120727539
2020-04-27,8.403402328491211,204263.1875,7.93709135055542,6275.1533203125,33.40524673461914,931.0576782226562,376.69732666015625,11.214396476745605
2020-04-28,8.272242546081543,208041.9375,7.507767200469971,6605.42529296875,32.961891174316406,945.1512451171875,389.74908447265625,10.825990676879883
2020-04-29,9.459159851074219,177391.953125,8.288679122924805,5924.55908203125,35.506317138671875,872.0408325195312,383.7384338378906,10.987637519836426
