Window,Profile,Start Date,End Date,Start Equity,CPU Final Equity,CPU Return %,CPU Max Drawdown %,CPU Trades,GPU Final Equity,GPU Return %,GPU Max Drawdown %,GPU Trades,CPU-GPU Diff (bps),Mode,Rebalance Threshold,Slippage bps,Sell Fee bps,Data Source,GPU Backend
1m,original_composer,2026-02-19,2026-03-19,10000.0,19306.866156368058,93.06866156368059,8.620689844168506,9,19306.866156368058,93.06866156368059,8.620689844168506,9,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
1m,trailing12_4_adapt,2026-02-19,2026-03-19,10000.0,19295.28551117662,92.95285511176618,8.620689844168506,15,19295.28551117662,92.95285511176618,8.620689844168506,15,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
1m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2026-02-19,2026-03-19,10000.0,19287.568940363475,92.87568940363475,8.620689844168506,19,19287.568940363475,92.87568940363475,8.620689844168506,19,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
2m,original_composer,2026-01-19,2026-03-19,10000.0,21542.679262310245,115.42679262310243,18.894010310229806,15,21542.679262310245,115.42679262310243,18.894010310229806,15,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
2m,trailing12_4_adapt,2026-01-19,2026-03-19,10000.0,21516.84355163604,115.16843551636042,18.910229886210157,27,21516.84355163604,115.16843551636042,18.910229886210157,27,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
2m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2026-01-19,2026-03-19,10000.0,21508.238535304707,115.08238535304707,18.910229886210157,31,21508.238535304707,115.08238535304707,18.910229886210157,31,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
3m,original_composer,2025-12-19,2026-03-19,10000.0,19244.450008731703,92.44450008731704,35.99999861283735,17,19244.450008731703,92.44450008731704,35.99999861283735,17,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
3m,trailing12_4_adapt,2025-12-19,2026-03-19,10000.0,19221.37051910762,92.21370519107619,36.012797333242744,30,19221.37051910762,92.21370519107619,36.012797333242744,30,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
3m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2025-12-19,2026-03-19,10000.0,19209.841155912556,92.09841155912557,36.02559349416,35,19209.841155912556,92.09841155912557,36.02559349416,35,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
6m,original_composer,2025-09-19,2026-03-19,10000.0,19709.60388248112,97.09603882481119,39.11872168216417,27,19709.60388248112,97.09603882481119,39.11872168216417,27,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
6m,trailing12_4_adapt,2025-09-19,2026-03-19,10000.0,19670.224067526455,96.70224067526453,39.14306932371951,47,19670.224067526455,96.70224067526453,39.14306932371951,47,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
6m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2025-09-19,2026-03-19,10000.0,19650.563675227913,96.50563675227912,39.15523949283786,59,19650.563675227913,96.50563675227912,39.15523949283786,59,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
1y,original_composer,2025-03-19,2026-03-19,10000.0,34308.049607831155,243.08049607831154,39.11872168216416,100,34308.049607831155,243.08049607831154,39.11872168216416,100,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
1y,trailing12_4_adapt,2025-03-19,2026-03-19,10000.0,34232.65486307106,242.3265486307106,39.143069323719494,122,34232.65486307106,242.3265486307106,39.143069323719494,122,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
1y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2025-03-19,2026-03-19,10000.0,34109.46882549784,241.0946882549784,39.15523949283786,139,34109.46882549784,241.0946882549784,39.15523949283786,139,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
2y,original_composer,2024-03-19,2026-03-19,10000.0,21306.15678593782,113.06156785937817,61.65049722641347,186,21306.15678593782,113.06156785937817,61.65049722641347,186,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
2y,trailing12_4_adapt,2024-03-19,2026-03-19,10000.0,21250.832730547838,112.50832730547837,61.65816636005482,213,21250.832730547838,112.50832730547837,61.65816636005482,213,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
2y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2024-03-19,2026-03-19,10000.0,21269.862122874514,112.69862122874513,61.46212158957668,242,21269.862122874514,112.69862122874513,61.46212158957668,242,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
3y,original_composer,2023-03-19,2026-03-19,10000.0,11769.525963962436,17.69525963962437,84.36118808701143,216,11769.525963962436,17.69525963962437,84.36118808701143,216,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
3y,trailing12_4_adapt,2023-03-19,2026-03-19,10000.0,11734.270295896871,17.342702958968715,84.37369413349792,247,11734.270295896871,17.342702958968715,84.37369413349792,247,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
3y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,2023-03-19,2026-03-19,10000.0,11723.656347528686,17.236563475286857,84.30949397305079,293,11723.656347528686,17.236563475286857,84.30949397305079,293,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
5y,original_composer,2021-03-19,2026-03-19,10000.0,15237.773482776809,52.37773482776809,88.31040297869939,442,15237.773482776809,52.37773482776809,88.31040297869939,442,0.0,parity_style_backtest_runtime_like,0.05,1.0,0.0,yfinance,cpu_emulated_fallback
