Profile,Window,Mode,Start Equity,CPU Final Equity,CPU Return %,CPU PnL,CPU MaxDD %,CPU Trades,GPU Backend,GPU Final Equity,GPU Return %,CPU-GPU Diff (bps),Sharpe,Sortino,Calmar,Worst Day %,Best Day %,Bootstrap P10 %,Bootstrap P50 %,Bootstrap P90 %
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,1m,paper_live_style_optimistic,10000.0,45108.93,351.0893,35108.93,38.8643,24,cpu_emulated_fallback,45108.93,351.0893,0.0,8.3287,20.6116,36044.343,-6.7639,16.0438,105.4381,181.2108,265.2156
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,2m,paper_live_style_optimistic,10000.0,29879.2,198.792,19879.2,38.8643,41,cpu_emulated_fallback,29879.2,198.792,0.0,5.3261,10.6926,1211.6692,-12.3348,17.3775,94.4808,221.6395,465.5528
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,3m,paper_live_style_optimistic,10000.0,42415.28,324.1528,32415.28,40.6875,48,cpu_emulated_fallback,42415.28,324.1528,0.0,4.136,7.8759,110.3446,-12.3348,17.3775,6.7308,131.2187,440.8504
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,4m,paper_live_style_optimistic,10000.0,38762.41,287.6241,28762.41,40.6875,56,cpu_emulated_fallback,38762.41,287.6241,0.0,3.87,6.8065,78.6373,-14.5112,17.3775,9.5576,193.3152,617.2397
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,5m,paper_live_style_optimistic,10000.0,55047.76,450.4776,45047.76,40.6875,69,cpu_emulated_fallback,55047.76,450.4776,0.0,3.0409,5.196,32.8341,-14.5112,17.3775,34.6041,220.5363,757.1744
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,6m,paper_live_style_optimistic,10000.0,50782.11,407.8211,40782.11,40.6875,78,cpu_emulated_fallback,50782.11,407.8211,0.0,2.0208,3.2258,10.2992,-19.0104,17.3775,-11.346,142.637,548.3021
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,9m,paper_live_style_optimistic,10000.0,30733.82,207.3382,20733.82,53.2325,128,cpu_emulated_fallback,30733.82,207.3382,0.0,2.0999,3.3445,9.0791,-19.0104,17.3775,17.5469,227.9806,911.4792
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,1y,paper_live_style_optimistic,10000.0,36962.54,269.6254,26962.54,59.0193,307,cpu_emulated_fallback,36962.54,269.6254,0.0,2.0888,3.33,8.3337,-19.0104,17.3775,45.0558,308.6045,1245.0168
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,2y,paper_live_style_optimistic,10000.0,43118.04,331.1804,33118.04,64.8539,571,cpu_emulated_fallback,43118.04,331.1804,0.0,1.1233,1.6865,1.3992,-21.1521,24.5211,-23.6972,231.7386,1639.0308
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,3y,paper_live_style_optimistic,10000.0,40061.04,300.6104,30061.04,64.8539,669,cpu_emulated_fallback,40061.04,300.6104,0.0,0.9507,1.4022,0.865,-21.1521,24.5211,-49.3969,252.4798,2269.1823
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,5y,paper_live_style_optimistic,10000.0,56417.5,464.175,46417.5,82.2801,1331,cpu_emulated_fallback,56417.5,464.175,0.0,0.7832,1.1542,0.4285,-21.1521,24.5211,-69.6295,248.4092,5339.7258
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,7y,paper_live_style_optimistic,10000.0,20311.94,103.1194,10311.94,82.2801,1699,cpu_emulated_fallback,20311.94,103.1194,0.0,0.6055,0.8874,0.1886,-24.9254,33.216,-81.6503,162.5441,3660.2081
