Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2025-07-31,11086.08,11083.87,-2.22,-0.02,29.7599,"{""SOXS"": 73.53944720288267}",variant=inverse_ma20;variant_reason=inv20_hold;vol_target_off;persistence_off;inverse_blocker_trend_not_bull
2025-08-01,11500.1,11942.99,442.89,3.8512,24.3155,"{""SOXL"": 496.1774519843241}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-08-04,12399.47,12396.99,-2.48,-0.02,21.4384,"{""SOXS"": 82.5750674625187}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-05,12655.45,12652.92,-2.53,-0.02,19.8165,"{""SOXL"": 516.235169376644}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-06,12379.32,12379.32,0.0,0.0,21.5504,"{""SOXL"": 516.235169376644}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-07,12900.72,12900.72,0.0,0.0,18.2462,"{""SOXL"": 516.235169376644}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-08,13267.24,13267.24,0.0,0.0,15.9235,"{""SOXL"": 516.235169376644}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-11,13215.62,13215.62,0.0,0.0,16.2506,"{""SOXL"": 516.235169376644}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-12,14449.42,14198.07,-251.36,-1.7396,10.0247,"{""SOXL"": 507.25497974090837}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-08-13,14842.28,14839.31,-2.97,-0.02,5.961,"{""SOXS"": 117.2975460271399}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-14,14793.57,14793.57,0.0,0.0,6.2509,"{""SOXS"": 117.2975460271399}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-15,15824.61,15661.32,-163.29,-1.0319,0.7518,"{""SOXL"": 572.416713730289}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-08-18,15752.91,15752.91,0.0,0.0,0.1714,"{""SOXL"": 572.416713730289}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-19,15014.49,15014.49,0.0,0.0,4.8509,"{""SOXL"": 572.416713730289}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-20,14762.63,14762.63,0.0,0.0,6.447,"{""SOXL"": 572.416713730289}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-21,14505.04,14505.04,0.0,0.0,8.0794,"{""SOXL"": 572.416713730289}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-22,15707.11,15877.84,170.72,1.0869,0.0,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-08-25,15791.04,15791.04,0.0,0.0,0.5466,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-26,16161.37,16161.37,0.0,0.0,0.0,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-27,16300.25,16300.25,0.0,0.0,0.0,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-28,16502.77,16502.77,0.0,0.0,0.0,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-08-29,15061.96,15061.96,0.0,0.0,8.7307,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-09-02,14604.83,14604.83,0.0,0.0,11.5007,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-09-03,14408.1,14408.1,0.0,0.0,12.6928,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-09-04,14836.29,14836.29,0.0,0.0,10.0982,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-09-05,15299.2,15299.2,0.0,0.0,7.2931,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-09-08,15663.74,15663.74,0.0,0.0,5.0842,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-09-09,15721.61,15721.61,0.0,0.0,4.7335,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-09-10,16543.27,16543.27,0.0,0.0,0.0,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-09-11,16873.1,16873.1,0.0,0.0,0.0,"{""SOXL"": 578.6384452264741}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
