Window,Applied Return %,Chained Start Equity,Chained End Equity,Chained PnL
1m,351.0893,10000.0,45108.92999999999,35108.92999999999
2m,198.792,45108.92999999999,134781.87412559998,89672.94412559998
3m,324.1528,134781.87412559998,571681.0929962079,436899.2188706079
4m,287.6241,571681.0929962079,2215973.691596714,1644292.5986005059
5m,450.4776,2215973.691596714,12198438.79413299,9982465.102536276
6m,407.8211,12198438.79413299,61946246.06719288,49747807.27305989
9m,207.3382,61946246.06719288,190384477.6304814,128438231.56328851
1y,269.6254,190384477.6304814,703709386.9795774,513324909.34909606
2y,331.1804,703709386.9795774,3034256949.6160903,2330547562.6365128
3y,300.6104,3034256949.6160903,12155548902.884819,9121291953.268728
5y,464.175,12155548902.884819,68578568022.850426,56423019119.96561
7y,103.1194,68578568022.850426,139296375896.60565,70717807873.75522
