date,SOXL,SOXS,TQQQ,SQQQ,SPXL,SPXS,TMF,TMV
2024-03-20,42.798980712890625,643.11669921875,30.281156539916992,228.74903869628906,130.5706787109375,82.34894561767578,48.50621795654297,33.30719757080078
2024-03-21,45.66868591308594,602.2249145507812,30.673782348632812,225.89788818359375,131.79310607910156,81.50959777832031,48.73069763183594,33.15583801269531
2024-03-22,45.78702163696289,598.507568359375,30.737581253051758,225.459228515625,131.05374145507812,81.97589874267578,50.096282958984375,32.23826217651367
2024-03-25,45.2545051574707,605.9423828125,30.423480987548828,227.87176513671875,130.0087890625,82.81524658203125,49.38542938232422,32.7017822265625
2024-03-26,44.406410217285156,620.8121337890625,30.138824462890625,229.84561157226562,128.95396423339844,83.28153228759766,49.83438491821289,32.417991638183594
2024-03-27,45.85605239868164,598.507568359375,30.40384864807129,228.09107971191406,132.17755126953125,81.41633605957031,51.1064338684082,31.595012664794922
2024-03-28,45.88563919067383,596.6488037109375,30.212448120117188,229.84561157226562,132.12826538085938,81.41633605957031,50.97549057006836,31.68014907836914
2024-04-01,47.32542037963867,578.0615234375,30.398941040039062,228.3103790283203,131.45791625976562,81.88263702392578,48.13208770751953,33.49639129638672
2024-04-02,45.2446403503418,604.0836791992188,29.584243774414062,234.23196411132812,128.82579040527344,83.56131744384766,47.40252685546875,33.988285064697266
2024-04-03,45.55034637451172,600.3662109375,29.780559539794922,232.91604614257812,129.19053649902344,83.28153228759766,47.308998107910156,34.06396484375
2024-04-04,41.78324508666992,654.2691040039062,28.376924514770508,243.8819580078125,124.3896484375,86.545654296875,48.20691680908203,33.43016815185547
2024-04-05,43.01593780517578,630.1057739257812,29.37811851501465,235.54788208007812,128.08642578125,83.84111022949219,46.24271774291992,34.82073211669922
2024-04-08,43.39067459106445,626.3883056640625,29.397748947143555,235.54788208007812,128.22445678710938,83.84111022949219,46.2053108215332,34.8301887512207
2024-04-09,44.76142883300781,607.8010864257812,29.7020320892334,232.6967010498047,128.66806030273438,83.46806335449219,47.4680061340332,33.8936882019043
2024-04-10,42.4932746887207,637.5407104492188,28.92169189453125,239.05697631835938,124.81353759765625,86.07935333251953,44.39076614379883,36.107234954833984
2024-04-11,45.16574478149414,596.6488037109375,30.281156539916992,228.09107971191406,127.56396484375,84.21415710449219,43.68927001953125,36.636966705322266
2024-04-12,40.93515396118164,654.2691040039062,28.81863021850586,238.83767700195312,122.08283996582031,87.85130310058594,44.39076614379883,36.12614822387695
2024-04-15,39.2291145324707,680.662841796875,27.370826721191406,250.9001922607422,117.56784057617188,91.11541748046875,42.32368850708008,37.800498962402344
2024-04-16,39.97858810424805,666.53662109375,27.375732421875,250.9001922607422,116.83832550048828,91.86150360107422,41.46318054199219,38.5572624206543
2024-04-17,36.546783447265625,727.6885375976562,26.359817504882812,260.1115417480469,114.69910430908203,93.35366821289062,42.791351318359375,37.32752227783203
