candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept
C_sp4.0_rv75_tr1.10_th1.10,388.2704,29.4167,358.8537,2,2,2,39.6465,-0.5333,True
C_sp4.0_rv80_tr1.10_th1.10,388.2704,29.4167,358.8537,2,2,2,39.6465,-0.5333,True
C_sp4.0_rv85_tr1.10_th1.10,388.2704,29.4167,358.8537,2,2,2,39.6465,-0.5333,True
C_sp4.0_rv90_tr1.10_th1.10,388.2704,29.4167,358.8537,2,2,2,39.6465,-0.5333,True
C_sp4.0_rv70_tr1.10_th1.10,386.6086,29.4167,357.1919,2,2,2,37.9847,-0.5333,True
C_sp4.5_rv70_tr1.10_th1.10,372.5766,29.6667,342.91,2,2,2,23.9528,-0.2833,True
C_sp4.0_rv75_tr1.00_th1.10,359.1762,29.4867,329.6895,1,2,1,10.5523,-0.4633,True
C_sp4.0_rv80_tr1.00_th1.10,359.1762,29.4867,329.6895,1,2,1,10.5523,-0.4633,True
C_sp4.0_rv85_tr1.00_th1.10,359.1762,29.4867,329.6895,1,2,1,10.5523,-0.4633,True
C_sp4.0_rv90_tr1.00_th1.10,359.1762,29.4867,329.6895,1,2,1,10.5523,-0.4633,True
C_sp4.0_rv75_tr1.20_th1.10,359.1672,29.6833,329.4838,2,1,1,10.5433,-0.2667,True
C_sp4.0_rv80_tr1.20_th1.10,359.1672,29.6833,329.4838,2,1,1,10.5433,-0.2667,True
C_sp4.0_rv85_tr1.20_th1.10,359.1672,29.6833,329.4838,2,1,1,10.5433,-0.2667,True
C_sp4.0_rv90_tr1.20_th1.10,359.1672,29.6833,329.4838,2,1,1,10.5433,-0.2667,True
C_sp4.0_rv70_tr1.00_th1.10,357.6253,29.4867,328.1386,1,2,1,9.0014,-0.4633,True
C_sp4.0_rv70_tr1.20_th1.10,357.6287,29.6833,327.9454,2,1,1,9.0048,-0.2667,True
C_sp4.0_rv75_tr0.90_th1.10,353.3095,29.1667,324.1428,2,2,2,4.6856,-0.7833,True
C_sp4.0_rv80_tr0.90_th1.10,353.3095,29.1667,324.1428,2,2,2,4.6856,-0.7833,True
C_sp4.0_rv85_tr0.90_th1.10,353.3095,29.1667,324.1428,2,2,2,4.6856,-0.7833,True
C_sp4.0_rv90_tr0.90_th1.10,353.3095,29.1667,324.1428,2,2,2,4.6856,-0.7833,True
C_sp4.0_rv70_tr0.90_th1.10,351.8359,29.1667,322.6693,2,2,2,3.2121,-0.7833,True
C_sp5.0_rv80_tr1.00_th1.00,348.6239,29.95,318.6739,0,0,0,0.0,0.0,False
C_sp4.5_rv75_tr1.00_th1.10,346.6702,29.7367,316.9335,1,2,1,-1.9537,-0.2133,False
C_sp4.0_rv75_tr1.10_th1.00,345.1197,29.7267,315.393,1,1,1,-3.5042,-0.2233,False
C_sp4.0_rv80_tr1.10_th1.00,345.1197,29.7267,315.393,1,1,1,-3.5042,-0.2233,False
C_sp4.0_rv85_tr1.10_th1.00,345.1197,29.7267,315.393,1,1,1,-3.5042,-0.2233,False
C_sp4.0_rv90_tr1.10_th1.00,345.1197,29.7267,315.393,1,1,1,-3.5042,-0.2233,False
C_sp4.5_rv70_tr1.00_th1.10,344.4981,29.7367,314.7614,1,2,1,-4.1258,-0.2133,False
C_sp4.5_rv70_tr1.20_th1.10,344.5272,29.9333,314.5939,1,1,1,-4.0966,-0.0167,False
C_sp4.0_rv70_tr1.10_th1.00,343.6618,29.7267,313.9352,1,1,1,-4.962,-0.2233,False
C_sp4.5_rv75_tr0.90_th1.10,341.1354,29.42,311.7154,0,2,0,-7.4885,-0.53,False
C_sp4.5_rv70_tr0.90_th1.10,339.0716,29.42,309.6516,0,2,0,-9.5522,-0.53,False
C_sp4.5_rv75_tr1.10_th1.00,333.1285,29.9767,303.1519,0,1,0,-15.4953,0.0267,False
C_sp4.5_rv70_tr1.10_th1.00,331.0868,29.9767,301.1102,0,1,0,-17.537,0.0267,False
C_sp4.0_rv75_tr1.00_th1.00,318.9928,29.7033,289.2895,0,1,0,-29.631,-0.2467,False
C_sp4.0_rv80_tr1.00_th1.00,318.9928,29.7033,289.2895,0,1,0,-29.631,-0.2467,False
C_sp4.0_rv85_tr1.00_th1.00,318.9928,29.7033,289.2895,0,1,0,-29.631,-0.2467,False
C_sp4.0_rv90_tr1.00_th1.00,318.9928,29.7033,289.2895,0,1,0,-29.631,-0.2467,False
C_sp4.0_rv70_tr1.00_th1.00,317.6225,29.7033,287.9192,0,1,0,-31.0013,-0.2467,False
C_sp4.0_rv75_tr1.20_th1.00,316.9232,29.8133,287.1098,0,1,0,-31.7007,-0.1367,False
C_sp4.0_rv80_tr1.20_th1.00,316.9232,29.8133,287.1098,0,1,0,-31.7007,-0.1367,False
C_sp4.0_rv85_tr1.20_th1.00,316.9232,29.8133,287.1098,0,1,0,-31.7007,-0.1367,False
C_sp4.0_rv90_tr1.20_th1.00,316.9232,29.8133,287.1098,0,1,0,-31.7007,-0.1367,False
C_sp4.0_rv70_tr1.20_th1.00,315.5826,29.8133,285.7693,0,1,0,-33.0412,-0.1367,False
C_sp4.5_rv75_tr1.00_th1.00,307.7372,29.95,277.7872,0,0,0,-40.8867,0.0,False
C_sp4.0_rv75_tr1.10_th0.90,309.0914,32.2333,276.858,0,0,0,-39.5325,2.2833,False
C_sp4.0_rv80_tr1.10_th0.90,309.0914,32.2333,276.858,0,0,0,-39.5325,2.2833,False
C_sp4.0_rv85_tr1.10_th0.90,309.0914,32.2333,276.858,0,0,0,-39.5325,2.2833,False
C_sp4.0_rv90_tr1.10_th0.90,309.0914,32.2333,276.858,0,0,0,-39.5325,2.2833,False
C_sp4.5_rv70_tr1.00_th1.00,305.818,29.95,275.868,0,0,0,-42.8058,0.0,False
C_sp4.0_rv70_tr1.10_th0.90,307.7566,32.2333,275.5232,0,0,0,-40.8673,2.2833,False
C_sp4.0_rv75_tr0.90_th1.00,305.4478,31.2767,274.1711,0,1,0,-43.1761,1.3267,False
C_sp4.0_rv80_tr0.90_th1.00,305.4478,31.2767,274.1711,0,1,0,-43.1761,1.3267,False
C_sp4.0_rv85_tr0.90_th1.00,305.4478,31.2767,274.1711,0,1,0,-43.1761,1.3267,False
C_sp4.0_rv90_tr0.90_th1.00,305.4478,31.2767,274.1711,0,1,0,-43.1761,1.3267,False
C_sp4.5_rv70_tr1.20_th1.00,303.8991,30.06,273.8391,0,1,0,-44.7247,0.11,False
C_sp4.0_rv70_tr0.90_th1.00,304.173,31.2767,272.8963,0,1,0,-44.4509,1.3267,False
C_sp4.0_rv75_tr1.20_th0.90,297.3545,30.1167,267.2378,0,0,0,-51.2694,0.1667,False
C_sp4.0_rv80_tr1.20_th0.90,297.3545,30.1167,267.2378,0,0,0,-51.2694,0.1667,False
C_sp4.0_rv85_tr1.20_th0.90,297.3545,30.1167,267.2378,0,0,0,-51.2694,0.1667,False
C_sp4.0_rv90_tr1.20_th0.90,297.3545,30.1167,267.2378,0,0,0,-51.2694,0.1667,False
C_sp4.0_rv70_tr1.20_th0.90,296.0729,30.1167,265.9562,0,0,0,-52.551,0.1667,False
C_sp4.5_rv75_tr1.10_th0.90,298.1114,32.4667,265.6447,0,0,0,-50.5125,2.5167,False
C_sp4.5_rv70_tr1.10_th0.90,296.242,32.4667,263.7753,0,0,0,-52.3819,2.5167,False
C_sp4.5_rv75_tr0.90_th1.00,294.7135,31.5167,263.1968,0,1,0,-53.9104,1.5667,False
C_sp4.5_rv70_tr0.90_th1.00,292.9281,31.5167,261.4114,0,1,0,-55.6958,1.5667,False
C_sp4.5_rv70_tr1.20_th0.90,284.9252,30.36,254.5652,0,0,0,-63.6987,0.41,False
C_sp4.0_rv75_tr0.90_th0.90,282.1039,31.7233,250.3806,0,1,0,-66.5199,1.7733,False
C_sp4.0_rv80_tr0.90_th0.90,282.1039,31.7233,250.3806,0,1,0,-66.5199,1.7733,False
C_sp4.0_rv85_tr0.90_th0.90,282.1039,31.7233,250.3806,0,1,0,-66.5199,1.7733,False
C_sp4.0_rv90_tr0.90_th0.90,282.1039,31.7233,250.3806,0,1,0,-66.5199,1.7733,False
C_sp4.0_rv70_tr0.90_th0.90,280.8859,31.7233,249.1625,0,1,0,-67.738,1.7733,False
C_sp4.0_rv75_tr1.00_th0.90,277.1226,32.1633,244.9592,0,0,0,-71.5013,2.2133,False
C_sp4.0_rv80_tr1.00_th0.90,277.1226,32.1633,244.9592,0,0,0,-71.5013,2.2133,False
C_sp4.0_rv85_tr1.00_th0.90,277.1226,32.1633,244.9592,0,0,0,-71.5013,2.2133,False
C_sp4.0_rv90_tr1.00_th0.90,277.1226,32.1633,244.9592,0,0,0,-71.5013,2.2133,False
C_sp4.0_rv70_tr1.00_th0.90,275.8891,32.1633,243.7258,0,0,0,-72.7347,2.2133,False
C_sp4.5_rv75_tr0.90_th0.90,271.9332,31.96,239.9732,0,1,0,-76.6907,2.01,False
C_sp4.5_rv70_tr0.90_th0.90,270.2272,31.96,238.2672,0,1,0,-78.3966,2.01,False
C_sp4.5_rv75_tr1.00_th0.90,267.0125,32.3967,234.6158,0,0,0,-81.6114,2.4467,False
C_sp4.5_rv70_tr1.00_th0.90,265.285,32.3967,232.8884,0,0,0,-83.3388,2.4467,False
