candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept
C_sp5.2_rv85_tr1.05_th1.20,380.6772,25.9575,354.7197,4,2,2,77.2362,-0.6875,True
C_sp5.2_rv90_tr1.05_th1.20,380.6772,25.9575,354.7197,4,2,2,77.2362,-0.6875,True
C_sp5.2_rv70_tr1.15_th1.20,380.2518,26.095,354.1568,4,2,2,76.8108,-0.55,True
C_sp5.2_rv75_tr1.10_th1.15,380.1175,26.025,354.0925,4,2,2,76.6764,-0.62,True
C_sp5.2_rv80_tr1.10_th1.15,380.1175,26.025,354.0925,4,2,2,76.6764,-0.62,True
C_sp5.2_rv85_tr1.10_th1.15,380.1175,26.025,354.0925,4,2,2,76.6764,-0.62,True
C_sp5.2_rv90_tr1.10_th1.15,380.1175,26.025,354.0925,4,2,2,76.6764,-0.62,True
C_sp5.5_rv75_tr1.15_th1.20,379.5186,26.14,353.3786,4,2,2,76.0776,-0.505,True
C_sp5.5_rv80_tr1.15_th1.20,379.5186,26.14,353.3786,4,2,2,76.0776,-0.505,True
C_sp5.5_rv85_tr1.15_th1.20,379.5186,26.14,353.3786,4,2,2,76.0776,-0.505,True
C_sp5.5_rv90_tr1.15_th1.20,379.5186,26.14,353.3786,4,2,2,76.0776,-0.505,True
C_sp4.8_rv75_tr1.20_th1.20,378.7722,26.125,352.6472,4,2,2,75.3312,-0.52,True
C_sp4.8_rv80_tr1.20_th1.20,378.7722,26.125,352.6472,4,2,2,75.3312,-0.52,True
C_sp4.8_rv85_tr1.20_th1.20,378.7722,26.125,352.6472,4,2,2,75.3312,-0.52,True
C_sp4.8_rv90_tr1.20_th1.20,378.7722,26.125,352.6472,4,2,2,75.3312,-0.52,True
C_sp5.2_rv70_tr1.05_th1.20,377.9476,25.9575,351.9901,4,2,2,74.5066,-0.6875,True
C_sp5.2_rv70_tr1.10_th1.15,377.4244,26.025,351.3994,4,2,2,73.9834,-0.62,True
C_sp5.5_rv75_tr1.05_th1.20,377.2284,26.0025,351.2259,4,2,2,73.7874,-0.6425,True
C_sp5.5_rv80_tr1.05_th1.20,377.2284,26.0025,351.2259,4,2,2,73.7874,-0.6425,True
C_sp5.5_rv85_tr1.05_th1.20,377.2284,26.0025,351.2259,4,2,2,73.7874,-0.6425,True
C_sp5.5_rv90_tr1.05_th1.20,377.2284,26.0025,351.2259,4,2,2,73.7874,-0.6425,True
C_sp5.5_rv75_tr1.10_th1.15,376.6988,26.07,350.6288,4,2,2,73.2577,-0.575,True
C_sp5.5_rv80_tr1.10_th1.15,376.6988,26.07,350.6288,4,2,2,73.2577,-0.575,True
C_sp5.5_rv85_tr1.10_th1.15,376.6988,26.07,350.6288,4,2,2,73.2577,-0.575,True
C_sp5.5_rv90_tr1.10_th1.15,376.6988,26.07,350.6288,4,2,2,73.2577,-0.575,True
C_sp4.8_rv70_tr1.20_th1.20,376.5809,26.125,350.4559,4,2,2,73.1399,-0.52,True
C_sp5.5_rv70_tr1.15_th1.20,376.5701,26.14,350.4301,4,2,2,73.1291,-0.505,True
C_sp4.8_rv75_tr1.15_th1.15,375.6547,26.065,349.5897,4,2,2,72.2136,-0.58,True
C_sp4.8_rv80_tr1.15_th1.15,375.6547,26.065,349.5897,4,2,2,72.2136,-0.58,True
C_sp4.8_rv85_tr1.15_th1.15,375.6547,26.065,349.5897,4,2,2,72.2136,-0.58,True
C_sp4.8_rv90_tr1.15_th1.15,375.6547,26.065,349.5897,4,2,2,72.2136,-0.58,True
C_sp5.0_rv75_tr1.20_th1.20,375.5745,26.125,349.4495,4,2,2,72.1335,-0.52,True
C_sp5.0_rv80_tr1.20_th1.20,375.5745,26.125,349.4495,4,2,2,72.1335,-0.52,True
