window,period,cpu_start_equity_compounded,cpu_return_pct,cpu_final_equity_compounded,cpu_pnl_compounded,cpu_maxdd_pct,gpu_start_equity_compounded,gpu_return_pct,gpu_final_equity_compounded,gpu_pnl_compounded,gpu_maxdd_pct,cpu_gpu_diff_bps
1m,2026-02-27 to 2026-03-27,10000.0,71.25418219186884,17125.418219186882,7125.418219186882,7.999528287601371,10000.0,71.25418219186884,17125.418219186882,7125.418219186882,7.999528287601371,0.0
2m,2026-01-27 to 2026-03-27,17125.418219186882,113.80934511952319,36615.74454342298,19490.3263242361,7.999528287601373,17125.418219186882,113.80934511952319,36615.74454342298,19490.3263242361,7.999528287601373,0.0
3m,2025-12-27 to 2026-03-27,36615.74454342298,53.22819801113576,56105.645552247806,19489.901008824825,22.848277341027902,36615.74454342298,53.22819801113576,56105.645552247806,19489.901008824825,22.848277341027902,0.0
4m,2025-11-27 to 2026-03-27,56105.645552247806,64.89830899877622,92517.26076850372,36411.615216255916,28.965456720254164,56105.645552247806,64.89830899877622,92517.26076850372,36411.615216255916,28.965456720254164,0.0
5m,2025-10-27 to 2026-03-27,92517.26076850372,137.9301234879592,220126.43279417814,127609.17202567442,28.96545672025416,92517.26076850372,137.9301234879592,220126.43279417814,127609.17202567442,28.96545672025416,0.0
6m,2025-09-27 to 2026-03-27,220126.43279417814,92.18347824596833,423046.63508262543,202920.2022884473,28.965456720254146,220126.43279417814,92.18347824596833,423046.63508262543,202920.2022884473,28.965456720254146,0.0
9m,2025-06-27 to 2026-03-27,423046.63508262543,138.91395943942953,1010717.4661511752,587670.8310685498,28.965456720254128,423046.63508262543,138.91395943942953,1010717.4661511752,587670.8310685498,28.965456720254128,0.0
1y,2025-03-27 to 2026-03-27,1010717.4661511752,220.89120801912244,3243303.486792771,2232586.020641596,28.965456720254142,1010717.4661511752,220.89120801912244,3243303.486792771,2232586.020641596,28.965456720254142,0.0
1.5y,2024-09-27 to 2026-03-27,3243303.486792771,246.18188389541254,11227729.111024817,7984425.624232046,28.96545672025412,3243303.486792771,246.18188389541254,11227729.111024817,7984425.624232046,28.96545672025412,0.0
2y,2024-03-27 to 2026-03-27,11227729.111024817,103.4326306547475,22840864.693346683,11613135.582321865,42.19642443955013,11227729.111024817,103.4326306547475,22840864.693346683,11613135.582321865,42.19642443955013,0.0
3y,2023-03-27 to 2026-03-27,22840864.693346683,-1.6108543774036699,22472931.624597058,-367933.06874962524,86.70045739045894,22840864.693346683,-1.6108543774036699,22472931.624597058,-367933.06874962524,86.70045739045894,0.0
4y,2022-03-27 to 2026-03-27,22472931.624597058,37.80891915247029,30969704.173730887,8496772.54913383,86.70045739045894,22472931.624597058,37.80891915247029,30969704.173730887,8496772.54913383,86.70045739045894,0.0
5y,2021-03-27 to 2026-03-27,30969704.173730887,48.50866358183319,45992693.78365496,15022989.60992407,86.70045739045895,30969704.173730887,48.50866358183319,45992693.78365496,15022989.60992407,86.70045739045895,0.0
7y,2019-03-27 to 2026-03-27,45992693.78365496,10.934436687589887,51021735.7663458,5029041.982690841,86.70045739045892,45992693.78365496,10.934436687589887,51021735.7663458,5029041.982690841,86.70045739045892,0.0
