ok,idx,attempt,elapsed_sec,window,cpu_final_equity,cpu_return_pct,cpu_pnl,cpu_maxdd_pct,gpu_final_equity,gpu_return_pct,gpu_pnl,gpu_maxdd_pct,cpu_gpu_diff_bps,gpu_backend,summary_json,strategy_profile,profit_lock_exec_model,runtime_profit_lock_order_type,rebalance_time_ny,slippage_bps,sell_fee_bps,warmup_days,daily_lookback_days,anchor_window_start_equity,daily_synthetic_parity,cpu_score,gpu_score,combined_score
True,27,1,9.822,2026-03-13 to 2026-03-26,11100.844074039158,11.008440740391578,1100.844074039158,8.287296390268049,11100.844074039158,11.008440740391578,1100.844074039158,8.287296390268049,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00027_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_paper_live_style_optimistic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,market_order,15:54,0.0,0.0,260,800,False,False,6.864792545257553,6.864792545257553,6.864792545257553
True,24,1,9.083,2026-03-13 to 2026-03-26,11100.844074039158,11.008440740391578,1100.844074039158,8.287296390268049,11100.844074039158,11.008440740391578,1100.844074039158,8.287296390268049,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00024_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_paper_live_style_optimistic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,market_order,15:54,0.0,0.0,220,400,False,False,6.864792545257553,6.864792545257553,6.864792545257553
True,26,1,8.635,2026-03-13 to 2026-03-26,11100.844074039158,11.008440740391578,1100.844074039158,8.287296390268049,11100.844074039158,11.008440740391578,1100.844074039158,8.287296390268049,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00026_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_paper_live_style_optimistic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,market_order,15:54,0.0,0.0,260,400,False,False,6.864792545257553,6.864792545257553,6.864792545257553
True,181,1,9.476,2026-03-13 to 2026-03-26,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00181_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_synthetic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,synthetic,market_order,15:53,0.5,0.5,220,800,False,False,6.854288901948778,6.854288901948778,6.854288901948778
True,180,1,9.046,2026-03-13 to 2026-03-26,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00180_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_synthetic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,synthetic,market_order,15:53,0.5,0.5,220,400,False,False,6.854288901948778,6.854288901948778,6.854288901948778
True,182,1,8.907,2026-03-13 to 2026-03-26,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00182_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_synthetic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,synthetic,market_order,15:53,0.5,0.5,260,400,False,False,6.854288901948778,6.854288901948778,6.854288901948778
True,12,1,9.218,2026-03-13 to 2026-03-26,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00012_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_paper_live_style_optimistic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,market_order,15:53,0.5,0.5,220,400,False,False,6.854288901948778,6.854288901948778,6.854288901948778
True,14,1,9.284,2026-03-13 to 2026-03-26,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00014_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_paper_live_style_optimistic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,market_order,15:53,0.5,0.5,260,400,False,False,6.854288901948778,6.854288901948778,6.854288901948778
True,15,1,9.546,2026-03-13 to 2026-03-26,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00015_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_paper_live_style_optimistic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,market_order,15:53,0.5,0.5,260,800,False,False,6.854288901948778,6.854288901948778,6.854288901948778
True,13,1,9.515,2026-03-13 to 2026-03-26,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00013_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_paper_live_style_optimistic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,market_order,15:53,0.5,0.5,220,800,False,False,6.854288901948778,6.854288901948778,6.854288901948778
True,183,1,10.172,2026-03-13 to 2026-03-26,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,11087.949832463742,10.879498324637416,1087.9498324637425,8.050418845377274,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00183_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_synthetic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,synthetic,market_order,15:53,0.5,0.5,260,800,False,False,6.854288901948778,6.854288901948778,6.854288901948778
True,29,1,9.833,2026-03-13 to 2026-03-26,11099.179030682995,10.991790306829952,1099.1790306829953,8.288125182065953,11099.179030682995,10.991790306829952,1099.1790306829953,8.288125182065953,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00029_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_paper_live_style_optimistic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,paper_live_style_optimistic,market_order,15:54,0.0,0.5,220,800,False,False,6.847727715796975,6.847727715796975,6.847727715796975
True,197,1,8.871,2026-03-13 to 2026-03-26,11099.179030682995,10.991790306829952,1099.1790306829953,8.288125182065953,11099.179030682995,10.991790306829952,1099.1790306829953,8.288125182065953,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00197_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_synthetic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,synthetic,market_order,15:54,0.0,0.5,220,800,False,False,6.847727715796975,6.847727715796975,6.847727715796975
True,196,1,8.279,2026-03-13 to 2026-03-26,11099.179030682995,10.991790306829952,1099.1790306829953,8.288125182065953,11099.179030682995,10.991790306829952,1099.1790306829953,8.288125182065953,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/timing_focus_20260327/sweep_00196_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_synthetic.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,synthetic,market_order,15:54,0.0,0.5,220,400,False,False,6.847727715796975,6.847727715796975,6.847727715796975
