id,source,wins_vs_global12,min_uplift_vs_global12_pct,avg_uplift_vs_global12_pct,1m_final,2m_final,3m_final,4m_final,5m_final,6m_final,1y_final,2y_final,3y_final,4y_final,5y_final,7y_final
runtime_switch_loop_v2_controlplane.py,baseline,4,-38.92761597052552,-13.798631936064396,14906.13604668267,16072.359641471796,21200.832441858118,26167.920175110386,23557.666621484233,25037.90044416518,45708.51371640169,16345.79110595488,21993.867075218586,25302.60405151487,21019.21395578334,108408.06956348642
MRV2-00003,mrv2_safe,2,-69.45988317776471,-30.227304898467846,16810.788583133068,24696.103055070336,24763.038401470167,26289.558947008096,23663.397478483344,15467.446068801954,20754.008321027537,13005.8100777318,9965.543796501523,17946.177017215752,20786.735918256087,33107.95108941885
runtime_switch_loop.py,baseline,2,-88.71960096142494,-32.07206470150895,19508.989836837496,21020.108235875323,14624.546478507096,18050.89332677282,22955.068534363105,14832.68094832519,23643.357697744024,18241.95401664062,16919.506419140034,22991.29676854431,18645.208444040833,12228.862836777307
MRV2-00007,mrv2_safe,1,-52.67032291955087,-20.337609112307337,16810.788583133068,21974.474467829525,21675.265396564202,23011.43979573961,24834.133343969923,16301.880727064292,21633.69194024572,11237.348099345598,19853.186063051464,34863.84262674628,32606.744820597876,62001.33764739596
MRV2-00012,mrv2_safe,1,-54.436283628452045,-20.384429272267216,16810.788583133068,21974.474467829525,21121.589372797935,22423.632345443664,24199.766753665102,15885.463196033572,20826.497547391362,13869.996094667978,19111.74657428061,33561.81334179087,34416.88791064574,58792.08191676683
MRV2-00002,mrv2_safe,1,-60.41382153572251,-26.904995711306857,16579.605109163618,22776.380430411908,22838.11263611432,25154.1218100539,27146.52020956152,18048.01369020238,24002.99572284405,14057.359486515179,10901.136910397856,20094.928721138524,22627.136276101748,42914.611887079824
MRV2-00004,mrv2_safe,1,-73.19011106762542,-33.07617006545793,16579.605109163618,24356.48002849162,24422.49487399789,26899.175985081823,24212.105994755635,15826.106290380483,21235.253717969685,12170.956635808529,8010.4355264975275,14765.46615952136,17102.575410544738,29064.083043702085
MRV2-00008,mrv2_safe,0,-53.94432218343849,-23.676500310264945,16992.298356737494,22211.737691146347,21349.64380857073,22665.745224936647,24461.056946151657,16056.982028362854,21051.36581196479,12371.066951477223,16633.510222178913,29212.384243272943,31525.947150229986,53375.492372316716
MRV2-00009,mrv2_safe,0,-53.94432218343849,-23.676500310264945,16992.298356737494,22211.737691146347,21349.64380857073,22665.745224936647,24461.056946151657,16056.982028362854,21051.36581196479,12371.066951477223,16633.510222178913,29212.384243272943,31525.947150229986,53375.492372316716
MRV2-00010,mrv2_safe,0,-54.436283628452045,-21.16683076943636,16810.788583133068,21974.474467829525,21121.589372797935,22423.632345443664,24199.766753665102,15885.463196033572,20826.497547391362,13586.811021054502,18721.540165888076,32876.57849983958,33502.68447635304,57230.40895734446
MRV2-00011,mrv2_safe,0,-54.436283628452045,-21.16683076943636,16810.788583133068,21974.474467829525,21121.589372797935,22423.632345443664,24199.766753665102,15885.463196033572,20826.497547391362,13586.811021054502,18721.540165888076,32876.57849983958,33502.68447635304,57230.40895734446
MRV2-00005,mrv2_safe,0,-57.988381207630134,-26.164265974724852,16810.788583133068,21974.474467829525,21675.265396564202,23011.43979573961,24834.133343969923,16301.880727064292,21789.82716574214,10871.780096551898,16189.71734486295,28430.48747391099,26423.072244280585,45543.98492517906
MRV2-00006,mrv2_safe,0,-57.988381207630134,-26.164265974724852,16810.788583133068,21974.474467829525,21675.265396564202,23011.43979573961,24834.133343969923,16301.880727064292,21789.82716574214,10871.780096551898,16189.71734486295,28430.48747391099,26423.072244280585,45543.98492517906
MRV2-00001,mrv2_safe,0,-59.13112426666264,-25.12147614833118,16810.788583133068,23093.970790235508,23156.56378035807,24584.05300044816,26531.310329455693,17638.99933945746,23459.026182481728,14674.637378995683,12030.226727500918,22207.640475201613,25722.71283643055,44305.15923481119
runtime_m0106_loop.py,baseline,0,-66.53657015886519,-31.22390854335914,16810.788583133068,19000.8106958482,17277.606026261263,17708.347282379695,19705.586547482577,18621.2991031889,19418.06157526601,12988.608771626676,15221.281657531135,29610.801413840607,26966.192807400857,36277.05830050591
