candidate_id,gate_ok_2y,score,short_penalty_sum,short_excess_sum,long_diff_2y_vs_OV,mom20_thr,mom60_thr,rv20_cap,dd60_cap,enter_days,exit_days,1m_ret,1m_mdd,2m_ret,2m_mdd,3m_ret,3m_mdd,4m_ret,4m_mdd,5m_ret,5m_mdd,6m_ret,6m_mdd,1y_ret,1y_mdd,2y_ret,2y_mdd
D6-1314,False,-10658.62561495859,505.19851495859115,0.0,-153.42709999999977,4.0,6.0,6.0,20.0,3,3,68.73629251349298,10.01,121.95378456084897,14.9,155.72654502152855,24.69,169.3505328136693,24.69,343.4648249624659,24.69,283.43763934046916,26.48,698.4494622252781,45.17,695.4433,65.44
D6-1323,False,-10658.62561495859,505.19851495859115,0.0,-153.42709999999977,4.0,6.0,6.0,30.0,3,3,68.73629251349298,10.01,121.95378456084897,14.9,155.72654502152855,24.69,169.3505328136693,24.69,343.4648249624659,24.69,283.43763934046916,26.48,698.4494622252781,45.17,695.4433,65.44
D6-1332,False,-10658.62561495859,505.19851495859115,0.0,-153.42709999999977,4.0,6.0,6.0,40.0,3,3,68.73629251349298,10.01,121.95378456084897,14.9,155.72654502152855,24.69,169.3505328136693,24.69,343.4648249624659,24.69,283.43763934046916,26.48,698.4494622252781,45.17,695.4433,65.44
D6-1341,False,-10658.62561495859,505.19851495859115,0.0,-153.42709999999977,4.0,6.0,6.0,50.0,3,3,68.73629251349298,10.01,121.95378456084897,14.9,155.72654502152855,24.69,169.3505328136693,24.69,343.4648249624659,24.69,283.43763934046916,26.48,698.4494622252781,45.17,695.4433,65.44
D6-1350,False,-10658.62561495859,505.19851495859115,0.0,-153.42709999999977,4.0,6.0,6.0,60.0,3,3,68.73629251349298,10.01,121.95378456084897,14.9,155.72654502152855,24.69,169.3505328136693,24.69,343.4648249624659,24.69,283.43763934046916,26.48,698.4494622252781,45.17,695.4433,65.44
D6-2034,False,-10658.62561495859,505.19851495859115,0.0,-153.42709999999977,6.0,6.0,6.0,20.0,3,3,68.73629251349298,10.01,121.95378456084897,14.9,155.72654502152855,24.69,169.3505328136693,24.69,343.4648249624659,24.69,283.43763934046916,26.48,698.4494622252781,45.17,695.4433,65.44
D6-2043,False,-10658.62561495859,505.19851495859115,0.0,-153.42709999999977,6.0,6.0,6.0,30.0,3,3,68.73629251349298,10.01,121.95378456084897,14.9,155.72654502152855,24.69,169.3505328136693,24.69,343.4648249624659,24.69,283.43763934046916,26.48,698.4494622252781,45.17,695.4433,65.44
D6-2052,False,-10658.62561495859,505.19851495859115,0.0,-153.42709999999977,6.0,6.0,6.0,40.0,3,3,68.73629251349298,10.01,121.95378456084897,14.9,155.72654502152855,24.69,169.3505328136693,24.69,343.4648249624659,24.69,283.43763934046916,26.48,698.4494622252781,45.17,695.4433,65.44
D6-0102,False,-11419.547639103366,1008.3423391033666,0.0,-411.2052999999998,2.0,0.0,7.0,30.0,1,3,81.1693917408082,10.01,138.87765089432764,14.69,175.2254876265905,24.69,216.40256881187452,41.17,173.53085269125125,41.17,152.52451671081556,41.17,400.24478881730994,41.17,437.6651,62.71
D6-0111,False,-11419.547639103366,1008.3423391033666,0.0,-411.2052999999998,2.0,0.0,7.0,40.0,1,3,81.1693917408082,10.01,138.87765089432764,14.69,175.2254876265905,24.69,216.40256881187452,41.17,173.53085269125125,41.17,152.52451671081556,41.17,400.24478881730994,41.17,437.6651,62.71
D6-0120,False,-11419.547639103366,1008.3423391033666,0.0,-411.2052999999998,2.0,0.0,7.0,50.0,1,3,81.1693917408082,10.01,138.87765089432764,14.69,175.2254876265905,24.69,216.40256881187452,41.17,173.53085269125125,41.17,152.52451671081556,41.17,400.24478881730994,41.17,437.6651,62.71
D6-0129,False,-11419.547639103366,1008.3423391033666,0.0,-411.2052999999998,2.0,0.0,7.0,60.0,1,3,81.1693917408082,10.01,138.87765089432764,14.69,175.2254876265905,24.69,216.40256881187452,41.17,173.53085269125125,41.17,152.52451671081556,41.17,400.24478881730994,41.17,437.6651,62.71
D6-0282,False,-11419.547639103366,1008.3423391033666,0.0,-411.2052999999998,2.0,2.0,7.0,30.0,1,3,81.1693917408082,10.01,138.87765089432764,14.69,175.2254876265905,24.69,216.40256881187452,41.17,173.53085269125125,41.17,152.52451671081556,41.17,400.24478881730994,41.17,437.6651,62.71
D6-0291,False,-11419.547639103366,1008.3423391033666,0.0,-411.2052999999998,2.0,2.0,7.0,40.0,1,3,81.1693917408082,10.01,138.87765089432764,14.69,175.2254876265905,24.69,216.40256881187452,41.17,173.53085269125125,41.17,152.52451671081556,41.17,400.24478881730994,41.17,437.6651,62.71
D6-0300,False,-11419.547639103366,1008.3423391033666,0.0,-411.2052999999998,2.0,2.0,7.0,50.0,1,3,81.1693917408082,10.01,138.87765089432764,14.69,175.2254876265905,24.69,216.40256881187452,41.17,173.53085269125125,41.17,152.52451671081556,41.17,400.24478881730994,41.17,437.6651,62.71
D6-0309,False,-11419.547639103366,1008.3423391033666,0.0,-411.2052999999998,2.0,2.0,7.0,60.0,1,3,81.1693917408082,10.01,138.87765089432764,14.69,175.2254876265905,24.69,216.40256881187452,41.17,173.53085269125125,41.17,152.52451671081556,41.17,400.24478881730994,41.17,437.6651,62.71
D6-0642,False,-11458.851123100882,1008.3421231008822,0.0,-450.5089999999998,2.0,6.0,7.0,30.0,1,3,81.16942580039357,10.01,138.87766733037367,14.69,175.22557101027317,24.69,216.40265991825208,41.17,173.53082427302073,41.17,152.5245032092452,41.17,400.2448217539034,45.17,398.3614,65.44
D6-0651,False,-11458.851123100882,1008.3421231008822,0.0,-450.5089999999998,2.0,6.0,7.0,40.0,1,3,81.16942580039357,10.01,138.87766733037367,14.69,175.22557101027317,24.69,216.40265991825208,41.17,173.53082427302073,41.17,152.5245032092452,41.17,400.2448217539034,45.17,398.3614,65.44
D6-0660,False,-11458.851123100882,1008.3421231008822,0.0,-450.5089999999998,2.0,6.0,7.0,50.0,1,3,81.16942580039357,10.01,138.87766733037367,14.69,175.22557101027317,24.69,216.40265991825208,41.17,173.53082427302073,41.17,152.5245032092452,41.17,400.2448217539034,45.17,398.3614,65.44
D6-0669,False,-11458.851123100882,1008.3421231008822,0.0,-450.5089999999998,2.0,6.0,7.0,60.0,1,3,81.16942580039357,10.01,138.87766733037367,14.69,175.22557101027317,24.69,216.40265991825208,41.17,173.53082427302073,41.17,152.5245032092452,41.17,400.2448217539034,45.17,398.3614,65.44
D6-0462,False,-11474.809568592316,1008.341868592317,0.0,-466.4676999999998,2.0,4.0,7.0,30.0,1,3,81.16941498830516,10.01,138.8776674894959,14.69,175.2255593197904,24.69,216.40267130511438,41.17,173.53092770352677,41.17,152.52455086058876,41.17,400.2449361372057,46.92,382.4027,64.93
D6-0471,False,-11474.809568592316,1008.341868592317,0.0,-466.4676999999998,2.0,4.0,7.0,40.0,1,3,81.16941498830516,10.01,138.8776674894959,14.69,175.2255593197904,24.69,216.40267130511438,41.17,173.53092770352677,41.17,152.52455086058876,41.17,400.2449361372057,46.92,382.4027,64.93
D6-0480,False,-11474.809568592316,1008.341868592317,0.0,-466.4676999999998,2.0,4.0,7.0,50.0,1,3,81.16941498830516,10.01,138.8776674894959,14.69,175.2255593197904,24.69,216.40267130511438,41.17,173.53092770352677,41.17,152.52455086058876,41.17,400.2449361372057,46.92,382.4027,64.93
D6-0489,False,-11474.809568592316,1008.341868592317,0.0,-466.4676999999998,2.0,4.0,7.0,60.0,1,3,81.16941498830516,10.01,138.8776674894959,14.69,175.2255593197904,24.69,216.40267130511438,41.17,173.53092770352677,41.17,152.52455086058876,41.17,400.2449361372057,46.92,382.4027,64.93
