candidate_id,score,trail_scale,threshold_scale,stop_pct,rv_gate,shock_drop_pct,shock_hold_days,dd_trigger_pct,dd_window_days,reentry_pos_days,1m_ret,2m_ret,3m_ret,4m_ret,5m_ret,6m_ret,1y_ret,2y_ret,1m_vsC,2m_vsC,3m_vsC,4m_vsC,5m_vsC,6m_vsC,1y_vsC,2y_vsOV,1y_mdd,2y_mdd
HYB-0131,-643.2537088631309,1.1,1.2,4.7,77.5,7.0,1,0.0,20,1,68.7363120333643,121.95378432610488,120.58465820262474,132.3364485540918,282.5239166982815,301.8788785007118,675.0498892180342,886.1107000000001,-38.690593185753414,-51.54523305653461,-94.53028125613567,-129.92373351139454,-144.16423118631172,-25.619474732629442,-158.78016193437168,37.240300000000275,32.54,55.64
HYB-0003,-655.9753610745088,1.1,1.2,4.7,75.0,7.0,1,0.0,20,1,68.73631883384492,121.95380663432624,120.5846355378888,132.33643860066607,282.52387642396275,301.8789089504203,675.0498103407259,838.2691000000001,-38.690586385272795,-51.54521074831325,-94.5303039208716,-129.92374346482026,-144.16427146063046,-25.619444282920938,-158.78024081167996,-10.601299999999696,35.81,57.59
HYB-0115,-655.9753610745088,1.1,1.2,4.7,72.5,7.0,1,0.0,20,1,68.73631883384492,121.95380663432624,120.5846355378888,132.33643860066607,282.52387642396275,301.8789089504203,675.0498103407259,838.2691000000001,-38.690586385272795,-51.54521074831325,-94.5303039208716,-129.92374346482026,-144.16427146063046,-25.619444282920938,-158.78024081167996,-10.601299999999696,35.81,57.59
HYB-0130,-674.749776332274,1.1,1.2,4.7,77.5,6.0,1,0.0,20,1,68.73632431400762,121.95379366953148,122.46665295471084,134.31868715147465,285.7876546724962,279.5973024586117,658.7074048432376,897.2526,-38.690580905110096,-51.545223713108015,-92.64828650404957,-127.94149491401168,-140.900493212097,-47.901050774729526,-175.12264630916832,48.38220000000024,30.31,56.28
HYB-0114,-674.7499727883494,1.1,1.2,4.7,72.5,6.0,1,0.0,20,1,68.73630719679508,121.9537828639972,122.46661724372868,134.31872588274163,285.78757968374106,279.59735581731394,658.7072549196772,848.8703999999998,-38.69059802232263,-51.54523451864229,-92.64832221503173,-127.9414561827447,-140.90056820085215,-47.90099741602728,-175.12279623272866,0.0,33.69,58.2
HYB-0002,-674.7499727883494,1.1,1.2,4.7,75.0,6.0,1,0.0,20,1,68.73630719679508,121.9537828639972,122.46661724372868,134.31872588274163,285.78757968374106,279.59735581731394,658.7072549196772,848.8703999999998,-38.69059802232263,-51.54523451864229,-92.64832221503173,-127.9414561827447,-140.90056820085215,-47.90099741602728,-175.12279623272866,0.0,33.69,58.2
HYB-0051,-690.3216992974895,1.1,1.15,4.7,75.0,7.0,1,0.0,20,1,68.73631655157637,121.95382693924437,120.5846250261028,126.23330514565087,272.4755763365279,291.32206350774845,654.6901835920038,862.313,-38.69058866754135,-51.54519044339513,-94.5303144326576,-136.02687691983544,-154.21257154806528,-36.17628972559277,-179.13986756040208,13.442600000000198,32.39,57.67
HYB-0035,-695.8211270686854,1.12,1.2,4.7,75.0,7.0,1,0.0,20,1,68.3226605959756,121.13814162418612,119.50443937145263,131.10414801177,280.33937610188724,299.0936748524375,665.5231887699493,820.0961,-39.10424462314211,-52.360875758453375,-95.61050008730777,-131.15603405371633,-146.34877178270597,-28.404678380903704,-168.30686238245653,-28.774299999999812,36.2,57.79
HYB-0019,-711.0435709125421,1.08,1.2,4.7,75.0,7.0,1,0.0,20,1,65.36459659265708,117.78573533356251,116.70793870374166,128.34659158567015,276.1087415695517,295.6240909615359,667.1288907370829,822.3765999999999,-42.062308626460634,-55.71328204907698,-98.40700075501874,-133.91359047981618,-150.57940631504152,-31.87426227180532,-166.701160415323,-26.49379999999985,35.41,57.36
HYB-0034,-714.5447135812874,1.12,1.2,4.7,75.0,6.0,1,0.0,20,1,68.3226401315348,121.1381240469844,121.37724768869828,133.07587198489048,283.5844922508662,276.9665536487868,649.3740330632957,830.482,-39.10426508758292,-52.36089333565509,-93.73769177006213,-129.18431008059585,-143.103655633727,-50.53179958455439,-184.45601808911022,-18.38839999999982,34.09,58.41
