Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-10,10000.0,CASH,no change,no change,15:55,SPXS,SPXS,9999.0,-1.0,-0.01,0.01
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-11,9999.0,SPXS,08:01,SQQQ,no change,no change,CASH,9528.09,-470.91,-4.71,4.72
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-14,9528.09,CASH,no change,no change,15:55,SPXS,SPXS,9527.14,-0.95,-0.01,4.73
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-15,9527.14,SPXS,no change,no change,15:55,SQQQ,SPXS,9590.95,63.8,0.67,4.09
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-16,9590.95,SQQQ,no change,no change,15:55,TMV,TMV,10367.53,776.59,8.1,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-17,10367.53,TMV,no change,no change,no change,no change,TMV,10490.72,123.19,1.19,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-21,10490.72,TMV,no change,no change,no change,no change,TMV,11126.49,635.77,6.06,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-22,11126.49,TMV,no change,no change,15:55,SPXS,SPXS,10634.38,-492.11,-4.42,4.42
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-23,10634.38,SPXS,06:46,SPXS,15:55,SQQQ,SQQQ,9819.64,-814.75,-7.66,11.75
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-24,9819.64,SQQQ,10:28,SQQQ,15:55,SPXS,SPXS,9587.55,-232.08,-2.36,13.83
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-25,9587.55,SPXS,no change,no change,15:55,SPXL,SPXL,9497.47,-90.08,-0.94,14.64
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-28,9497.47,TMF,09:58,TQQQ,15:55,SPXS,SPXS,9557.97,60.49,0.64,14.1
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-29,9557.97,SPXS,no change,no change,15:55,TMV,TMV,9430.88,-127.09,-1.33,15.24
OV_sh6_h1_dd0w20_re1_SOXS,2025-04-30,9430.88,SQQQ,16:35,SQQQ,15:55,SPXL,SPXL,9318.22,-112.66,-1.19,16.25
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-01,9318.22,TQQQ,09:59,TQQQ,15:55,TQQQ,SPXL,9365.12,46.9,0.5,15.83
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-02,9365.12,SPXL,no change,no change,no change,no change,SPXL,9524.71,159.59,1.7,14.4
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-05,9524.71,SPXL,16:01,TQQQ,15:55,SOXL,SPXL,9346.5,-178.21,-1.87,16.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-06,9346.5,SPXL,08:00,TQQQ,15:55,SPXS,SPXS,9107.29,-239.21,-2.56,18.15
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-07,9107.29,SPXS,no change,no change,15:55,TMV,SPXS,9041.38,-65.9,-0.72,18.74
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-08,9041.38,TMV,no change,no change,15:55,SOXL,SOXL,9085.14,43.76,0.48,18.35
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-09,9085.14,SOXL,10:27,TQQQ,15:55,TQQQ,SOXL,9135.82,50.68,0.56,17.89
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-12,9135.82,SOXL,04:00,SOXL,15:55,SOXL,SOXL,10035.2,899.38,9.84,9.81
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-13,10035.2,SPXL,13:59,SOXL,15:55,SOXL,SOXL,10558.8,523.59,5.22,5.1
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-14,10558.8,SOXL,no change,no change,no change,no change,TQQQ,10664.22,105.42,1.0,4.15
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-15,10664.22,TQQQ,08:00,TQQQ,15:55,TQQQ,TQQQ,10526.79,-137.43,-1.29,5.39
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-16,10526.79,TQQQ,10:44,TQQQ,15:55,TQQQ,SPXL,10586.11,59.32,0.56,4.86
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-19,10586.11,SPXL,12:10,TQQQ,15:55,TQQQ,SPXL,10438.9,-147.21,-1.39,6.18
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-20,10438.9,SPXL,15:00,TQQQ,15:55,TQQQ,SPXL,10299.41,-139.49,-1.34,7.43
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-21,10299.41,SPXL,13:17,TQQQ,15:55,TQQQ,SPXL,9962.53,-336.88,-3.27,10.46
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-22,9962.53,SPXL,07:59,TQQQ,15:55,TQQQ,SPXL,9828.68,-133.85,-1.34,11.66
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-23,9828.68,SPXL,07:20,TQQQ,15:55,TQQQ,SPXL,9524.4,-304.28,-3.1,14.4
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-27,9524.4,SPXL,15:31,SOXL,15:55,SOXL,SPXL,10090.65,566.25,5.95,9.31
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-28,10090.65,SPXL,14:52,TQQQ,15:55,TQQQ,SPXL,9970.87,-119.78,-1.19,10.39
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-29,9970.87,SOXL,07:25,SOXL,15:55,SOXL,SOXL,10386.35,415.48,4.17,6.65
OV_sh6_h1_dd0w20_re1_SOXS,2025-05-30,10386.35,TQQQ,08:11,TQQQ,15:55,TQQQ,SPXL,10162.32,-224.03,-2.16,8.67
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-02,10162.32,SPXL,09:58,TQQQ,15:55,SOXS,SOXS,10246.84,84.52,0.83,7.91
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-03,10246.84,SOXS,10:25,SOXS,15:55,SOXL,SOXL,9733.26,-513.58,-5.01,12.52
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-04,9733.26,SOXL,no change,no change,no change,no change,SOXL,9885.3,152.04,1.56,11.16
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-05,9885.3,SOXL,09:39,TQQQ,15:55,TQQQ,SOXL,9808.88,-76.41,-0.77,11.84
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-06,9808.88,SOXL,no change,no change,no change,no change,SOXL,10053.97,245.09,2.5,9.64
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-09,10053.97,SOXL,10:57,SOXL,15:55,SOXL,SOXL,10317.89,263.91,2.62,7.27
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-10,10317.89,SOXL,08:00,TQQQ,15:55,TQQQ,SOXL,10542.84,224.95,2.18,5.25
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-11,10542.84,SOXL,09:46,TQQQ,15:55,TQQQ,SOXL,10460.25,-82.59,-0.78,5.99
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-12,10460.25,SOXL,19:59,TQQQ,15:55,TQQQ,SOXL,10477.03,16.78,0.16,5.84
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-13,10477.03,SOXL,08:03,TQQQ,15:55,TQQQ,SOXL,9892.9,-584.13,-5.58,11.09
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-16,9892.9,SOXL,18:51,SOXL,15:55,SOXS,SOXS,10384.26,491.36,4.97,6.67
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-17,10384.26,SOXS,no change,no change,15:55,SOXL,SOXL,10607.38,223.13,2.15,4.67
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-18,10607.38,SOXL,14:56,TQQQ,15:55,TMF,SOXL,10592.48,-14.9,-0.14,4.8
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-20,10592.48,SOXL,10:23,TQQQ,15:55,TQQQ,TMF,10526.93,-65.55,-0.62,5.39
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-23,10526.93,TQQQ,07:45,TQQQ,15:55,TQQQ,TMF,10590.21,63.27,0.6,4.82
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-24,10590.21,SOXL,no change,no change,15:55,SOXL,SOXL,11250.06,659.86,6.23,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-25,11250.06,SOXL,no change,no change,no change,no change,SOXL,11505.66,255.59,2.27,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-26,11505.66,SOXL,no change,no change,no change,no change,SOXL,11780.05,274.39,2.38,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-27,11780.05,SOXL,no change,no change,no change,no change,SOXL,11726.07,-53.97,-0.46,0.46
OV_sh6_h1_dd0w20_re1_SOXS,2025-06-30,11726.07,SOXL,no change,no change,no change,no change,SOXL,11768.68,42.61,0.36,0.1
