Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-10,10000.0,CASH,no change,no change,15:55,SOXL,SOXL,9999.0,-1.0,-0.01,0.01
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-11,9999.0,SOXL,no change,no change,no change,no change,SOXL,9736.32,-262.68,-2.63,2.64
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-12,9736.32,SOXL,no change,no change,no change,no change,SOXL,8356.73,-1379.59,-14.17,16.43
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-15,8356.73,SOXL,no change,no change,15:55,SOXS,SOXS,8225.93,-130.8,-1.57,17.74
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-16,8225.93,SOXS,no change,no change,no change,no change,SOXS,8239.78,13.85,0.17,17.6
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-17,8239.78,SOXS,no change,no change,no change,no change,SOXS,9274.27,1034.49,12.55,7.26
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-18,9274.27,SOXS,no change,no change,no change,no change,SOXS,8519.07,-755.2,-8.14,14.81
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-19,8519.07,SOXS,09:45,SOXS,15:55,SOXL,SOXL,7837.74,-681.33,-8.0,21.62
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-22,7837.74,SOXL,no change,no change,no change,no change,SOXL,8080.4,242.66,3.1,19.2
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-23,8080.4,SOXL,no change,no change,no change,no change,SOXL,8177.58,97.18,1.2,18.22
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-24,8177.58,SOXL,no change,no change,no change,no change,SOXL,8240.3,62.72,0.77,17.6
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-26,8240.3,SOXL,no change,no change,no change,no change,SOXL,8289.92,49.62,0.6,17.1
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-29,8289.92,SOXL,no change,no change,no change,no change,SOXL,8200.96,-88.96,-1.07,17.99
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-30,8200.96,SOXL,no change,no change,no change,no change,SOXL,8187.22,-13.74,-0.17,18.13
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-31,8187.22,SOXL,no change,no change,no change,no change,SOXL,7930.42,-256.8,-3.14,20.7
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-02,7930.42,SOXL,10:20,SOXL,15:55,SOXL,SOXL,8803.49,873.07,11.01,11.97
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-05,8803.49,SOXL,no change,no change,no change,no change,SOXL,9133.35,329.85,3.75,8.67
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-06,9133.35,SOXL,no change,no change,no change,no change,SOXL,10083.76,950.42,10.41,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-07,10083.76,SOXL,no change,no change,no change,no change,SOXL,9719.9,-363.86,-3.61,3.61
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-08,9719.9,SOXL,no change,no change,no change,no change,SOXL,9251.68,-468.22,-4.82,8.25
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-09,9251.68,SOXL,no change,no change,no change,no change,SOXL,10106.13,854.45,9.24,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-12,10106.13,SOXL,no change,no change,no change,no change,SOXL,10228.19,122.06,1.21,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-01-13,10228.19,SOXL,no change,no change,no change,no change,SOXL,10437.84,209.65,2.05,0.0
