Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2025-10-08,12422.89,SOXS,no change,no change,no change,no change,SOXS,11185.36,-1237.53,-9.96,34.23
2025-10-09,11185.36,SOXS,no change,no change,no change,no change,SOXS,11362.81,177.46,1.59,33.18
2025-10-10,11362.81,SOXS,no change,no change,15:55,SOXL,SOXL,13405.51,2042.7,17.98,21.17
2025-10-13,13405.51,SOXL,no change,no change,15:55,SOXS,SOXS,15194.82,1789.31,13.35,10.65
2025-10-14,15194.82,SOXS,no change,no change,no change,no change,SOXS,16187.7,992.87,6.53,4.81
2025-10-15,16187.7,SOXS,no change,no change,no change,no change,SOXS,14781.02,-1406.68,-8.69,13.08
2025-10-16,14781.02,SOXS,no change,no change,no change,no change,SOXS,14510.8,-270.22,-1.83,14.67
2025-10-17,14510.8,SOXS,no change,no change,no change,no change,SOXS,14653.86,143.06,0.99,13.83
2025-10-20,14653.86,SOXS,no change,no change,no change,no change,SOXS,13818.24,-835.62,-5.7,18.74
2025-10-21,13818.24,SOXS,no change,no change,no change,no change,SOXS,14078.03,259.79,1.88,17.22
2025-10-22,14078.03,SOXS,no change,no change,no change,no change,SOXS,15248.06,1170.03,8.31,10.34
2025-10-23,15248.06,SOXS,no change,no change,no change,no change,SOXS,14042.68,-1205.37,-7.91,17.42
2025-10-24,14042.68,SOXS,no change,no change,no change,no change,SOXS,13323.06,-719.63,-5.12,21.66
2025-10-27,13323.06,SOXS,no change,no change,no change,no change,SOXS,12224.52,-1098.53,-8.25,28.12
2025-10-28,12224.52,SOXS,no change,no change,no change,no change,SOXS,12205.39,-19.13,-0.16,28.23
2025-10-29,12205.39,SOXS,no change,no change,no change,no change,SOXS,11576.21,-629.19,-5.15,31.93
2025-10-30,11576.21,SOXS,no change,no change,no change,no change,SOXS,12008.32,432.11,3.73,29.39
2025-10-31,12008.32,SOXS,no change,no change,no change,no change,SOXS,11901.99,-106.32,-0.89,30.01
2025-11-03,11901.99,SOXS,no change,no change,no change,no change,SOXS,11794.52,-107.47,-0.9,30.64
2025-11-04,11794.52,SOXS,no change,no change,15:55,SOXL,SOXL,13191.73,1397.21,11.85,22.43
2025-11-05,13191.73,SOXL,no change,no change,15:55,SOXS,SOXS,14562.18,1370.44,10.39,14.37
2025-11-06,14562.18,SOXS,no change,no change,15:55,SOXL,SOXL,15911.88,1349.7,9.27,6.43
