window,start,end,profile,exec_model,exec_model_effective,status,cpu_start_equity,cpu_final_equity,cpu_return_pct,cpu_max_dd_pct,cpu_cagr_pct,cpu_avg_daily_return_pct,cpu_window_trades,gpu_final_equity,gpu_return_pct,gpu_max_dd_pct,gpu_window_trades,cpu_gpu_diff_bps
1m,2026-02-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,18338.275185377282,83.38275185377282,8.62982686148236,365204.5383245337,3.4055340175483804,9,18338.275185377282,83.38275185377282,8.62982686148236,9,0.0
2m,2026-01-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,23729.753214392247,137.2975321439225,14.56310652643767,22987.489475067443,2.3170032700423624,16,23729.753214392247,137.2975321439225,14.56310652643767,16,0.0
3m,2025-12-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,18372.504893339552,83.72504893339551,35.99999861283735,1185.439669890597,1.2214842039459286,18,18372.504893339552,83.72504893339551,35.99999861283735,18,0.0
6m,2025-09-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,20501.540933091717,105.01540933091715,39.11872168216417,336.29013967458314,0.7951626705780059,30,20501.540933091717,105.01540933091715,39.11872168216417,30,0.0
1y,2025-03-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,33365.457573592015,233.65457573592016,39.118721682164164,235.03804191625295,0.6296657980477348,228,33365.457573592015,233.65457573592016,39.118721682164164,229,0.0
2y,2024-03-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,23267.185186731134,132.67185186731135,62.2675751721504,52.668427281187526,0.3273692568511967,434,23267.185186731174,132.67185186731174,62.2675751721504,435,1.719922996995368e-11
3y,2023-03-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,11350.890181153713,13.508901811537122,84.6128250877795,4.317187909890796,0.1687158418659329,469,11350.890181153713,13.508901811537122,84.61282508777951,470,0.0
5y,2021-03-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,15010.182319890258,50.10182319890259,88.1980358054044,8.477604163521146,0.1786879041450992,1023,15010.182319890262,50.101823198902615,88.1980358054044,1025,2.423673963154307e-12
10y,2016-03-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,3227.0382698347253,-67.72961730165275,95.13625737959876,-10.700964534180802,0.0930890385214426,1398,3227.0382698347244,-67.72961730165275,95.13625737959876,1396,2.8183573472759236e-12
1m,2026-02-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,19146.043034193575,91.46043034193576,8.62982686148236,654389.1383093542,3.6439896558941904,14,19146.043034193575,91.46043034193576,8.62982686148236,14,0.0
2m,2026-01-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,28364.841485135836,183.64841485135835,14.56310652643767,70914.2148714591,2.774009639789583,27,28364.841485135836,183.64841485135835,14.56310652643767,27,0.0
3m,2025-12-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,21961.17187887096,119.61171878870958,35.99999861283735,2618.71751311897,1.5390649015668774,30,21961.17187887096,119.61171878870958,35.99999861283735,30,0.0
6m,2025-09-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,31510.31979733618,215.1031979733618,38.778751444116054,953.9217471656899,1.1455573476799459,49,31510.31979733618,215.1031979733618,38.778751444116054,49,0.0
1y,2025-03-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,54106.77990044663,441.0677990044663,38.77875144411607,444.21401622232173,0.8241801864967337,251,54106.77990044663,441.0677990044663,38.77875144411607,248,0.0
2y,2024-03-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,39797.458006215646,297.97458006215646,60.904194427284,99.77668468570636,0.43580328533141843,473,39797.458006215646,297.97458006215646,60.904194427284,463,0.0
3y,2023-03-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,19735.538611960746,97.35538611960746,83.57295032371734,25.45377562210007,0.24307076839696923,506,19735.538611960746,97.35538611960746,83.57295032371734,494,0.0
5y,2021-03-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,34956.81384965967,249.56813849659673,84.24761007279247,28.49912412339237,0.24764974554442573,1086,34956.8138496597,249.56813849659702,84.24761007279247,1067,8.325653070643636e-12
10y,2016-03-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,9255.4500214189,-7.4454997858110055,93.99417542181624,-0.7712655488226194,0.13617448950814115,1490,9255.4500214189,-7.4454997858110055,93.99417542181624,1463,0.0
1m,2026-02-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,synthetic,synthetic,ok,10000.0,20868.751929784055,108.68751929784057,8.62982686148236,2099213.6792409504,4.134052964500599,18,20868.751929784055,108.68751929784057,8.62982686148236,18,0.0
2m,2026-01-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,synthetic,synthetic,ok,10000.0,33575.08936813685,235.75089368136847,14.56310652643767,205275.11889845974,3.2218624548413173,32,33575.08936813685,235.75089368136847,14.56310652643767,32,0.0
3m,2025-12-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,synthetic,synthetic,ok,10000.0,26262.996869293464,162.62996869293463,35.34056015858177,5661.332984331357,1.8686039734176778,35,26262.996869293464,162.62996869293463,35.34056015858177,35,0.0
6m,2025-09-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,synthetic,synthetic,ok,10000.0,42394.15098843658,323.9415098843658,36.85936000695815,1837.361425541715,1.4066397356222053,61,42394.15098843658,323.9415098843658,36.85936000695815,61,0.0
