date,cpu_pnl,cpu_return_pct,cpu_drawdown_pct,sale_time_stock,new_purchase_time_stock,SOXL_rsi14_lag1,SOXL_ema20_gt_50_lag1,SOXL_px_gt_ema20_lag1,SOXL_macd_hist_lag1,SOXL_atr_pct_lag1,SOXL_vol_z20_lag1,SOXL_ret1_lag1,SOXS_rsi14_lag1,SOXS_ema20_gt_50_lag1,SOXS_px_gt_ema20_lag1,SOXS_macd_hist_lag1,SOXS_atr_pct_lag1,SOXS_vol_z20_lag1,SOXS_ret1_lag1,events_total,pl_sell_count,rb_buy_count,first_sell_hour
2025-03-26,-0.999900009999692,-0.0099990000999916,0.0099990000999969,no change,15:55 | SPXS; 15:55 | SQQQ,45.88528678304239,False,False,0.38911606007416877,0.09192637523530642,-1.640836350270066,-0.018207954000958426,49.46056352780978,True,False,-7.372564359336302,0.10544758443918108,-1.6748774304206484,0.013815335021874375,2.0,0.0,2.0,15.0
2025-03-27,115.33754677657636,1.1534908053125292,0.0,no change,15:55 | TMV,48.741721854304636,False,False,0.3066506234824571,0.09839066432766376,-0.5924202332560449,-0.0858955588091751,47.23604352342939,True,True,-5.247155528891465,0.09574274307452961,-0.43642751262438395,0.08655462184873963,4.0,0.0,1.0,15.0
2025-03-28,90.42633324371856,0.8940410771497875,0.0,no change,no change,39.47550034506556,False,False,0.1900049970582951,0.10044390637610974,-0.31531849903071707,-0.054991991457554734,57.0540602189781,True,True,-2.052186844260028,0.08716537056758122,-0.3244172483344023,0.057105829727639446,2.0,0.0,0.0,
2025-03-31,-197.64468112172472,-1.936788361875719,1.936788361875718,no change,no change,42.87856071964019,False,False,0.013583398455838669,0.10343286250670478,0.6934222969149942,-0.0971751412429378,55.25252525252525,True,True,2.989885810739615,0.07629026269377148,-0.3777559567512458,0.09552528028790053,2.0,0.0,0.0,
2025-04-01,-164.34655669373024,-1.6422963670672308,3.547276924038078,no change,no change,44.54828660436137,False,False,-0.08642630038509136,0.10238095238095234,-0.06251799917921108,-0.005006257822277815,53.07495794130475,True,True,6.081225781922779,0.07577530644801973,-0.1001382830384321,0.006948956754025071,2.0,0.0,0.0,
2025-04-02,-120.85796202349228,-1.22788532448167,4.731605755750758,no change,no change,40.41841004184101,False,False,-0.12799743100232686,0.09999999999999999,-0.155737521627465,0.0,59.12198507721671,True,True,7.491258555000769,0.07412904333828059,-0.16445361390755242,-0.0010396314685691133,2.0,0.0,0.0,
2025-04-03,653.9652159774487,6.726712080538544,0.0,no change,15:55 | SQQQ; 15:55 | TMV,42.65560165975104,False,False,-0.11068596402021358,0.09888076143474045,0.911333955495761,0.019496855345912056,55.802351011481676,True,True,7.056410435053728,0.07803927419692594,0.27932606985379554,-0.020724551865209606,5.0,0.0,2.0,15.0
2025-04-04,768.3729832225054,7.405376541630226,0.0,no change,15:55 | SPXS; 15:55 | TMV,22.64647794601713,False,False,-0.3857842142728545,0.15994471667294888,3.4925052357863526,-0.29858112276372617,79.63591936469152,True,True,16.58642351337865,0.07241070546264161,1.5026811900834296,0.2979514805042509,5.0,0.0,2.0,15.0
2025-04-07,604.8572421357349,5.427526127191862,0.0,no change,no change,14.576050245896795,False,False,-0.6901830417778507,0.220868009389209,3.621046779204397,-0.23456464379947228,89.03019807338458,True,True,32.14456218762376,0.07178164134293771,3.6568432113376566,0.2366277510340642,2.0,0.0,0.0,
2025-04-08,642.8707524865949,5.471654792290615,0.0,no change,no change,17.500760109455783,False,False,-0.7985392542857119,0.23023008128807929,3.3854369900162933,0.048029415144203336,79.7519905583537,True,True,36.00217160188654,0.10729491860548683,3.359288886701405,-0.06963549812212466,2.0,0.0,0.0,
2025-04-09,-1105.9149598135518,-8.92444042751901,8.924440427519011,08:01 | TMV,15:55 | SPXS; 15:55 | SQQQ,14.424328481836483,False,False,-0.860439737411971,0.2669278071150639,1.7065394757094356,-0.09834447977195482,83.2809461849973,True,True,41.87000840161929,0.11544327299250713,1.2744561833667252,0.11027129167229055,5.0,1.0,2.0,8.0
2025-04-10,1335.0839563030931,11.8294891650081,0.0,no change,no change,33.11713086608165,False,False,-0.543209789930232,0.19419257097968803,2.5512456226770746,0.5479085603112841,47.410193208480514,True,False,10.535206514648394,0.35560436801807455,2.9847224919777386,-0.5597661516698715,2.0,0.0,0.0,
2025-04-11,-731.1696719284919,-5.79320960164853,5.793209601648531,no change,no change,29.614466052541786,False,False,-0.49105154748542157,0.2787574404761905,1.7980183035968618,-0.24587588373919878,50.56649442263749,True,False,-4.341020789890173,0.30322869510430767,1.780783143137873,0.229471570227187,2.0,0.0,0.0,
2025-04-14,-232.02438325022376,-1.951427819257434,7.6315871171115,no change,15:55 | SPXS,26.116930790581065,False,False,-0.36861024387570884,0.2582142857142858,0.6270026119203757,0.0625,50.99812099506961,True,False,-15.897995082546984,0.3273337647629833,0.8969217660730904,-0.06247958183600122,4.0,0.0,1.0,15.0
2025-04-15,78.07433045825746,0.6697085752036758,7.012987935255263,no change,15:55 | SQQQ,27.36282547977295,False,False,-0.23066967626326207,0.25591133004926114,0.3562432463929383,0.0235294117647058,50.4244114747397,True,False,-23.307407022882003,0.33947937887923246,0.16435787353760886,-0.0180111507971078,3.0,0.0,1.0,15.0
2025-04-16,950.2779432752905,8.09709862172847,0.0,no change,15:55 | TMV,30.163360560093352,False,False,-0.09673974290283027,0.24100554128936344,-0.20403226216372075,0.01245210727969348,48.59955264629453,True,False,-27.565266761418577,0.3403912617145429,-0.3658071197863715,-0.014504646366075957,4.0,0.0,1.0,15.0
2025-04-17,150.73701624123714,1.1881866181643552,0.0,no change,no change,29.831225657546767,False,False,-0.06076667140835923,0.2800834650260061,0.2924570970172824,-0.11911069063386948,49.63579520732278,True,False,-25.804179727892922,0.31294167388109284,0.1713681241611416,0.11779003038145608,2.0,0.0,0.0,
2025-04-21,777.9680831386177,6.060336087456308,0.0,no change,no change,32.28391528334288,False,False,-0.016526365694182754,0.273751109864947,-0.28904642406198283,-0.015035978949629492,47.990081461819464,True,False,-23.067344454426536,0.30415297829728455,-0.3430008189253544,0.018200487225432438,2.0,0.0,0.0,
2025-04-22,-602.1732622457839,-4.422862097079594,4.422862097079596,no change,15:55 | SPXS,31.61273885350319,False,False,0.008405652258596241,0.2844145374376861,-0.23801904237207788,-0.053211209246537994,48.954675377705186,True,False,-18.691737900850026,0.2889523165406613,-0.6861888009616537,0.05251814209162986,4.0,0.0,1.0,15.0
2025-04-23,-766.6308781906773,-5.891341756671031,10.053637932185405,no change,15:55 | SQQQ,33.20559398795601,False,False,0.08091916035483804,0.2661848041587961,-0.30677900509209804,0.053898422204307295,47.79807515967245,True,False,-17.098684306364405,0.3066187517071838,-0.5435400472604023,-0.05675477653158989,3.0,0.0,1.0,15.0
2025-04-24,-809.3858499780636,-6.609276717370771,15.998441898455484,no change,no change,35.760099559640054,False,False,0.22017723812146794,0.23643135616819833,0.16749882895889176,0.12118894109933342,46.1072824047011,True,False,-19.038356893341494,0.35075905108973005,0.48696676722971427,-0.11460325047801145,2.0,0.0,0.0,
2025-04-25,-290.977012824791,-2.544211843122468,18.135619488082384,no change,15:55 | SPXL; 15:55 | TMF; 15:55 | TQQQ,51.6617845876521,False,False,0.4311837914040022,0.1845496894409938,-0.025767997643852347,0.165692007797271,35.95775679702355,True,False,-24.312066798856332,0.4066145059254706,0.8748475150894301,-0.174022585144194,7.0,0.0,3.0,15.0
