variant,period,initial_equity,final_equity,pnl,return_pct,max_dd_pct,days
fev1_best,2025-10-10 to 2026-04-10,10000.0,41321.98,31321.98,313.2198,30.82,125
C_sp4.7_rv75_tr1.10_th1.20,2025-10-10 to 2026-04-10,10000.0,52294.21,42294.21,422.9421,29.78,125
