variant,period,initial_equity,final_equity,pnl,return_pct,max_dd_pct,days
fev1_best,2024-04-10 to 2026-04-10,10000.0,29984.4,19984.4,199.844,79.12,502
C_sp4.7_rv75_tr1.10_th1.20,2024-04-10 to 2026-04-10,10000.0,40037.44,30037.44,300.3744,81.42,502
