variant,period,initial_equity,final_equity,pnl,return_pct,max_dd_pct,days
fev1_best,2025-04-10 to 2026-04-10,10000.0,64662.31,54662.31,546.6231,35.04,251
C_sp4.7_rv75_tr1.10_th1.20,2025-04-10 to 2026-04-10,10000.0,89484.12,79484.12,794.8412,32.78,251
