variant,period,initial_equity,final_equity,pnl,return_pct,max_dd_pct,days
fev1_best,2023-04-10 to 2026-04-10,10000.0,38711.8,28711.8,287.118,79.12,754
C_sp4.7_rv75_tr1.10_th1.20,2023-04-10 to 2026-04-10,10000.0,50227.02,40227.02,402.2702,81.42,754
