variant,period,initial_equity,final_equity,pnl,return_pct,max_dd_pct,days
fev1_best,2022-04-10 to 2026-04-10,10000.0,63569.83,53569.83,535.6983,79.12,1003
C_sp4.7_rv75_tr1.10_th1.20,2022-04-10 to 2026-04-10,10000.0,82412.59,72412.59,724.1259,81.42,1003
