cid,base_rebalance_threshold,controlplane_threshold_cap,controlplane_hysteresis_enter,controlplane_hysteresis_exit,controlplane_hysteresis_enter_days,controlplane_hysteresis_exit_days,eval_hhmm,window_idx,period,start_principal,final_equity,pnl_usd,return_pct,maxdd_pct,maxdd_usd
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,1,2024-04-10 to 2024-05-10,10000.0,12676.712687883826,2676.712687883826,26.767126878838265,14.928992770589346,1947.8434858122855
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,2,2024-05-10 to 2024-06-10,12676.712687883826,14217.904041239653,1541.1913533558272,12.157657835290925,12.227401605859296,1738.4802270580713
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,3,2024-06-10 to 2024-07-10,14217.904041239653,14457.740528129008,239.836486889355,1.6868624671660282,26.90860694929359,4457.051376875783
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,4,2024-07-10 to 2024-08-10,14457.740528129008,8981.182190206793,-5476.558337922215,-37.879766394112636,40.05118238321475,5790.496027412904
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,5,2024-08-10 to 2024-09-10,8981.182190206793,7047.655986724775,-1933.526203482018,-21.528638018170497,24.257847281971085,2178.64145981595
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,6,2024-09-10 to 2024-10-10,7047.655986724775,6846.477177241827,-201.17880948294805,-2.8545492268904127,8.94605560078557,643.73337178365
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,7,2024-10-10 to 2024-11-10,6846.477177241827,6632.217533020038,-214.25964422178913,-3.129487452817392,15.389340662773318,1161.2736486439562
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,8,2024-11-10 to 2024-12-10,6632.217533020038,5583.851540703591,-1048.3659923164469,-15.807171388708419,18.20148719708325,1207.1622251553526
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,9,2024-12-10 to 2025-01-10,5583.851540703591,8543.444847684998,2959.5933069814064,53.00272196363738,21.58836805773684,2035.4436669642773
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,10,2025-01-10 to 2025-02-10,8543.444847684998,5221.014927932461,-3322.429919752536,-38.888644791249625,47.21722468969545,4071.1401006556816
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,11,2025-02-10 to 2025-03-10,5221.014927932461,3612.732727877865,-1608.2822000545966,-30.804014588241778,31.087457949581786,1629.7566947800533
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,12,2025-03-10 to 2025-04-10,3612.732727877865,4124.777152822691,512.0444249448265,14.173327049454997,9.312603262710716,384.1241317133122
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,13,2025-04-10 to 2025-05-10,4124.777152822691,3551.3089173279877,-573.4682354947035,-13.903011344558692,21.07767441835981,937.8797054391084
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,14,2025-05-10 to 2025-06-10,3551.3089173279877,4077.60384592641,526.2949285984223,14.819745081326463,10.164857882342126,414.4826359433364
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,15,2025-06-10 to 2025-07-10,4077.60384592641,4785.956601545707,708.3527556192967,17.371789472068322,5.034335833032296,240.94112814499022
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,16,2025-07-10 to 2025-08-10,4785.956601545707,4418.659609122384,-367.296992423323,-7.674473945390526,18.739214897404047,901.0221061223124
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,17,2025-08-10 to 2025-09-10,4418.659609122384,5004.451823729986,585.7922146076025,13.257237860056614,15.36760681295622,787.2236121171982
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,18,2025-09-10 to 2025-10-10,5004.451823729986,5661.648650435129,657.1968267051425,13.1322440469676,19.381202568593118,1361.091493080712
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,19,2025-10-10 to 2025-11-10,5661.648650435129,5751.60632080849,89.957670373361,1.588895318794603,17.6811889481302,1148.711119682871
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,20,2025-11-10 to 2025-12-10,5751.60632080849,7487.836071389779,1736.2297505812894,30.186867002699035,17.716182166876752,1326.5586787645207
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,21,2025-12-10 to 2026-01-10,7487.836071389779,7838.060535611967,350.22446422218763,4.6772453467612385,26.828176725466022,2102.8087323429872
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,22,2026-01-10 to 2026-02-10,7838.060535611967,8367.856960509745,529.7964248977787,6.759279575485122,23.985421790545185,2419.408073698456
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,23,2026-02-10 to 2026-03-10,8367.856960509745,11908.29978802793,3540.4428275181854,42.31003044419286,10.25433436242824,1221.1168771447174
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,24,2026-03-10 to 2026-04-10,11908.29978802793,19197.353679500196,7289.053891472266,61.20986220720066,12.751156043855765,2471.897978805964
UPG2Y-0001,0.04,0.4,0.6,0.54,2,1,15:55,1,2024-04-10 to 2024-05-10,10000.0,12676.712687883826,2676.712687883826,26.767126878838265,14.928992770589346,1947.8434858122855
UPG2Y-0001,0.04,0.4,0.6,0.54,2,1,15:55,2,2024-05-10 to 2024-06-10,12676.712687883826,14217.904041239653,1541.1913533558272,12.157657835290925,12.227401605859296,1738.4802270580713
UPG2Y-0001,0.04,0.4,0.6,0.54,2,1,15:55,3,2024-06-10 to 2024-07-10,14217.904041239653,14457.740528129008,239.836486889355,1.6868624671660282,26.90860694929359,4457.051376875783
