cid,base_rebalance_threshold,controlplane_threshold_cap,controlplane_hysteresis_enter,controlplane_hysteresis_exit,controlplane_hysteresis_enter_days,controlplane_hysteresis_exit_days,eval_hhmm,terminal_equity,total_return_pct,avg_monthly_return_pct,median_monthly_return_pct,win_months,loss_months,avg_monthly_maxdd_pct,worst_month_return_pct,worst_month_maxdd_pct,score
BASE_V2,0.05,0.5,0.62,0.58,2,2,15:55,19197.353679500196,91.97353679500198,5.859630641658339,5.71826246112318,15,9,19.545746702553533,-38.888644791249625,47.21722468969545,0.0
UPG2Y-0001,0.04,0.4,0.6,0.54,2,1,15:55,21378.343772797063,113.78343772797064,6.3074616642678,5.7182624611231585,15,9,19.529161132856082,-38.88864479124964,47.21722468969548,0.11372499163571739
UPG2Y-0002,0.04,0.4,0.6,0.54,3,2,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037,0.07419737171433696
UPG2Y-0003,0.04,0.4,0.6,0.56,3,1,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037,0.07419737171433696
UPG2Y-0004,0.04,0.4,0.62,0.54,2,2,15:55,19992.885858406076,99.92885858406075,6.058865415284731,5.7182624611231585,15,9,19.528832289832827,-38.88864479124964,47.21722468969548,0.04155808013792916
UPG2Y-0005,0.04,0.4,0.62,0.56,2,1,15:55,19992.885858406076,99.92885858406075,6.058865415284731,5.7182624611231585,15,9,19.528832289832827,-38.88864479124964,47.21722468969548,0.04155808013792916
UPG2Y-0006,0.04,0.4,0.62,0.56,3,2,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037,0.07419737171433696
UPG2Y-0007,0.04,0.4,0.64,0.54,3,1,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037,0.07419737171433696
UPG2Y-0008,0.04,0.4,0.64,0.56,2,2,15:55,21997.249060540624,119.97249060540622,6.697994895103743,5.7182624611231585,15,9,19.355515286572718,-38.888644791249625,47.21722468969549,0.14717960645129574
UPG2Y-0009,0.04,0.5,0.6,0.54,2,1,15:55,21378.343772797063,113.78343772797064,6.3074616642678,5.7182624611231585,15,9,19.529161132856082,-38.88864479124964,47.21722468969548,0.11372499163571739
