window_idx,period,start_principal_base_v2,final_equity_base_v2,pnl_usd_base_v2,return_pct_base_v2,maxdd_pct_base_v2,maxdd_usd_base_v2,start_principal_upg2y_0002,final_equity_upg2y_0002,pnl_usd_upg2y_0002,return_pct_upg2y_0002,maxdd_pct_upg2y_0002,maxdd_usd_upg2y_0002,delta_final_equity,delta_return_pct,delta_maxdd_pct
1,2024-04-10 to 2024-05-10,10000.0,12676.712687883826,2676.712687883826,26.767126878838265,14.928992770589346,1947.8434858122853,10000.0,12676.712687883826,2676.712687883826,26.767126878838265,14.928992770589346,1947.8434858122853,0.0,0.0,0.0
2,2024-05-10 to 2024-06-10,12676.712687883826,14217.904041239652,1541.1913533558272,12.157657835290925,12.227401605859296,1738.4802270580713,12676.712687883826,14802.896756494616,2126.18406861079,16.772361423344062,11.592298006775044,1715.995905648093,584.9927152549644,4.614703588053137,-0.6351035990842515
3,2024-06-10 to 2024-07-10,14217.904041239652,14457.740528129008,239.836486889355,1.6868624671660282,26.90860694929359,4457.051376875783,14802.896756494616,15052.601265933272,249.7045094386558,1.6868624671660948,26.908606949293578,4640.43583209694,594.8607378042634,6.661338147750939e-14,-1.0658141036401503e-14
4,2024-07-10 to 2024-08-10,14457.740528129008,8981.182190206793,-5476.558337922215,-37.87976639411264,40.05118238321475,5790.496027412904,15052.601265933272,9350.711070160502,-5701.89019577277,-37.87976639411267,40.05118238321478,6028.744786437032,369.5288799537084,-2.842170943040401e-14,2.842170943040401e-14
5,2024-08-10 to 2024-09-10,8981.182190206793,7047.655986724775,-1933.526203482018,-21.528638018170497,24.257847281971085,2178.64145981595,9350.711070160502,7337.630331740647,-2013.0807384198545,-21.528638018170533,24.257847281971102,2268.2812111779003,289.97434501587213,-3.552713678800501e-14,1.7763568394002505e-14
6,2024-09-10 to 2024-10-10,7047.655986724775,6846.477177241827,-201.17880948294805,-2.8545492268904127,8.94605560078557,643.73337178365,7337.630331740647,7111.89048764572,-225.7398440949273,-3.0764679315941623,8.94605560078558,670.2196479582308,265.41331040389286,-0.22191870470374964,1.0658141036401503e-14
7,2024-10-10 to 2024-11-10,6846.477177241827,6632.217533020038,-214.25964422178916,-3.129487452817392,15.389340662773318,1161.2736486439562,7111.89048764572,6889.324767176734,-222.565720468986,-3.129487452817381,15.389340662773307,1206.2920537875434,257.107234156696,1.1102230246251565e-14,-1.0658141036401503e-14
8,2024-11-10 to 2024-12-10,6632.217533020038,5583.851540703591,-1048.3659923164469,-15.80717138870842,18.20148719708325,1207.1622251553526,6889.324767176734,5800.317393704372,-1089.007373472362,-15.807171388708396,18.20148719708323,1253.9595654631576,216.46585300078095,2.4868995751603507e-14,-1.7763568394002505e-14
9,2024-12-10 to 2025-01-10,5583.851540703591,8543.444847684998,2959.5933069814064,53.00272196363738,21.58836805773684,2035.443666964277,5800.317393704372,9764.360416167608,3964.043022463237,68.3418294792934,17.428759979494274,1783.4799443525353,1220.915568482611,15.339107515656018,-4.159608078242567
10,2025-01-10 to 2025-02-10,8543.444847684998,5221.014927932461,-3322.429919752536,-38.888644791249625,47.21722468969545,4071.1401006556816,9764.360416167608,6108.304065819474,-3656.0563503481344,-37.44286563095847,45.96848398831037,4529.87850268102,887.2891378870127,1.4457791602911527,-1.2487407013850813
