Profile,Window,Mode,Start Equity,CPU Final Equity,CPU Return %,CPU PnL,CPU MaxDD %,CPU Trades,GPU Backend,GPU Final Equity,GPU Return %,CPU-GPU Diff (bps),Sharpe,Sortino,Calmar,Worst Day %,Best Day %,Bootstrap P10 %,Bootstrap P50 %,Bootstrap P90 %
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,1m,paper_live_style_optimistic,10000.0,10000.0,0.0,0.0,0.0,0,cpu_emulated_fallback,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,2m,paper_live_style_optimistic,10000.0,10000.0,0.0,0.0,0.0,0,cpu_emulated_fallback,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,3m,paper_live_style_optimistic,10000.0,9524.1,-4.759,-475.9,6.9336,1,cpu_emulated_fallback,9524.1,-4.759,0.0,-1.2232,-1.3146,-2.5136,-6.7639,2.3468,-2.7207,0.0,2.3366
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,6m,paper_live_style_optimistic,10000.0,25169.47,151.6947,15169.47,35.3406,45,cpu_emulated_fallback,25169.47,151.6947,0.0,2.735,5.2384,14.5055,-11.0645,17.3775,5.5645,135.6264,501.8161
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,1y,paper_live_style_optimistic,10000.0,48018.07,380.1807,38018.07,37.3401,108,cpu_emulated_fallback,48018.07,380.1807,0.0,2.3486,4.037,10.1403,-14.5112,17.387,51.9322,361.6263,1368.7714
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,2y,paper_live_style_optimistic,10000.0,48686.78,386.8678,38686.78,53.2325,520,cpu_emulated_fallback,48686.78,386.8678,0.0,1.3572,2.1117,2.2642,-21.1521,24.5211,1.7692,346.8626,2082.0495
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,3y,paper_live_style_optimistic,10000.0,26641.07,166.4107,16641.07,84.2989,608,cpu_emulated_fallback,26641.07,166.4107,0.0,0.8108,1.1985,0.4581,-21.1521,24.5211,-60.9464,177.9111,2205.1134
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,5y,paper_live_style_optimistic,10000.0,13303.24,33.0324,3303.24,85.3766,1245,cpu_emulated_fallback,13303.24,33.0324,0.0,0.4891,0.7133,0.0689,-21.1521,24.5211,-86.3809,39.2488,1426.6685
