ok,window,start_date,end_date,ref_id,profit_lock_exec_model,runtime_profit_lock_order_type,rebalance_time_ny,slippage_bps,sell_fee_bps,cpu_final_equity,cpu_pnl,cpu_return_pct,cpu_maxdd_pct,gpu_final_equity,gpu_pnl,gpu_return_pct,gpu_maxdd_pct,cpu_gpu_diff_bps,summary_json
True,1m,2026-02-26,2026-03-26,RS10D-001,market_close,market_order,15:55,0.0,0.0,19087.87390074107,9087.87390074107,90.8787390074107,7.548551188466233,19087.87390074107,9087.87390074107,90.8787390074107,7.548551188466233,0.0,/home/chewy/projects/trading-compose-dev/research/reports/rs_top3_vs_baseline_1m2m3m6m_20260327/RS10D-001_1m_aggr_intraday_pl5m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-02-26_to_2026-03-26_market_close.json
True,1m,2026-02-26,2026-03-26,RS10D-002,market_close,close_position,15:55,0.0,0.0,19087.87390074107,9087.87390074107,90.8787390074107,7.548551188466233,19087.87390074107,9087.87390074107,90.8787390074107,7.548551188466233,0.0,/home/chewy/projects/trading-compose-dev/research/reports/rs_top3_vs_baseline_1m2m3m6m_20260327/RS10D-002_1m_aggr_intraday_pl5m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-02-26_to_2026-03-26_market_close.json
True,1m,2026-02-26,2026-03-26,RS10D-008,market_close,market_order,15:55,1.0,1.0,19034.501846939627,9034.501846939627,90.34501846939627,7.553081753736256,19034.501846939627,9034.501846939627,90.34501846939627,7.553081753736256,0.0,/home/chewy/projects/trading-compose-dev/research/reports/rs_top3_vs_baseline_1m2m3m6m_20260327/RS10D-008_1m_aggr_intraday_pl5m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-02-26_to_2026-03-26_market_close.json
True,2m,2026-01-26,2026-03-26,RS10D-001,market_close,market_order,15:55,0.0,0.0,21299.04762435702,11299.04762435702,112.99047624357019,7.548551188466252,21299.04762435702,11299.04762435702,112.99047624357019,7.548551188466252,0.0,/home/chewy/projects/trading-compose-dev/research/reports/rs_top3_vs_baseline_1m2m3m6m_20260327/RS10D-001_2m_aggr_intraday_pl5m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-01-26_to_2026-03-26_market_close.json
True,2m,2026-01-26,2026-03-26,RS10D-002,market_close,close_position,15:55,0.0,0.0,21299.04762435702,11299.04762435702,112.99047624357019,7.548551188466252,21299.04762435702,11299.04762435702,112.99047624357019,7.548551188466252,0.0,/home/chewy/projects/trading-compose-dev/research/reports/rs_top3_vs_baseline_1m2m3m6m_20260327/RS10D-002_2m_aggr_intraday_pl5m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-01-26_to_2026-03-26_market_close.json
True,2m,2026-01-26,2026-03-26,RS10D-008,market_close,market_order,15:55,1.0,1.0,21214.02032615364,11214.02032615364,112.1402032615364,7.553081753736235,21214.02032615364,11214.02032615364,112.1402032615364,7.553081753736235,0.0,/home/chewy/projects/trading-compose-dev/research/reports/rs_top3_vs_baseline_1m2m3m6m_20260327/RS10D-008_2m_aggr_intraday_pl5m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-01-26_to_2026-03-26_market_close.json
True,3m,2025-12-26,2026-03-26,RS10D-001,market_close,market_order,15:55,0.0,0.0,16578.402378522638,6578.402378522638,65.78402378522638,22.400021102400526,16578.402378522638,6578.402378522638,65.78402378522638,22.400021102400526,0.0,/home/chewy/projects/trading-compose-dev/research/reports/rs_top3_vs_baseline_1m2m3m6m_20260327/RS10D-001_3m_aggr_intraday_pl5m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2025-12-26_to_2026-03-26_market_close.json
True,3m,2025-12-26,2026-03-26,RS10D-002,market_close,close_position,15:55,0.0,0.0,16578.402378522638,6578.402378522638,65.78402378522638,22.400021102400526,16578.402378522638,6578.402378522638,65.78402378522638,22.400021102400526,0.0,/home/chewy/projects/trading-compose-dev/research/reports/rs_top3_vs_baseline_1m2m3m6m_20260327/RS10D-002_3m_aggr_intraday_pl5m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2025-12-26_to_2026-03-26_market_close.json
True,3m,2025-12-26,2026-03-26,RS10D-008,market_close,market_order,15:55,1.0,1.0,16507.26722296875,6507.267222968749,65.07267222968748,22.48755322051754,16507.26722296875,6507.267222968749,65.07267222968748,22.48755322051754,0.0,/home/chewy/projects/trading-compose-dev/research/reports/rs_top3_vs_baseline_1m2m3m6m_20260327/RS10D-008_3m_aggr_intraday_pl5m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2025-12-26_to_2026-03-26_market_close.json
True,6m,2025-09-26,2026-03-26,RS10D-001,market_close,market_order,15:55,0.0,0.0,21795.194030428127,11795.194030428127,117.9519403042813,26.767106170800286,21795.194030428127,11795.194030428127,117.9519403042813,26.767106170800286,0.0,/home/chewy/projects/trading-compose-dev/research/reports/rs_top3_vs_baseline_1m2m3m6m_20260327/RS10D-001_6m_aggr_intraday_pl5m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2025-09-26_to_2026-03-26_market_close.json
