date,SOXL,SOXS,TQQQ,SQQQ,SPXL,SPXS,TMF,TMV
2022-01-24,44.106224060058594,8274.79296875,27.500579833984375,838.7874145507812,109.64192199707031,179.69320678710938,222.99325561523438,13.583003044128418
2022-01-25,39.00173568725586,9271.9658203125,25.47235679626465,895.8988647460938,105.28722381591797,186.38768005371094,221.47203063964844,13.684032440185547
2022-01-26,40.87468338012695,8782.126953125,25.424518585205078,897.3215942382812,104.88077545166016,187.70895385742188,214.044921875,14.16897964477539
2022-01-27,35.28498077392578,10006.7255859375,24.6639347076416,926.7918701171875,103.10986328125,190.703857421875,225.4093475341797,13.394411087036133
2022-01-28,37.274356842041016,9446.9091796875,26.964820861816406,839.8035888671875,110.88059997558594,176.52220153808594,225.7672882080078,13.378695487976074
2022-01-31,43.26194381713867,7889.91845703125,29.576635360717773,759.7254638671875,116.85138702392578,167.009033203125,222.0984344482422,13.5515718460083
2022-02-01,44.5526237487793,7644.9990234375,30.14109230041504,743.4659423828125,119.30939483642578,163.74984741210938,219.861328125,13.719955444335938
2022-02-02,47.88120651245117,7085.18310546875,30.85384178161621,725.7838134765625,122.66735076904297,158.72901916503906,222.27740478515625,13.565040588378906
2022-02-03,41.369606018066406,8029.873046875,27.14181137084961,812.162353515625,113.88050842285156,169.91578674316406,217.44529724121094,13.856907844543457
2022-02-04,42.17505645751953,7872.42431640625,28.079387664794922,783.5050659179688,115.59335327148438,167.44943237304688,207.3336639404297,14.469825744628906
2022-02-07,42.12653350830078,7872.42431640625,27.443172454833984,799.9677734375,114.42242431640625,168.94686889648438,208.31797790527344,14.438393592834473
2022-02-08,45.22221374511719,7347.59521484375,28.375961303710938,773.95263671875,117.32556915283203,164.8949432373047,203.48583984375,14.757203102111816
2022-02-09,49.51154708862305,6612.83642578125,30.136308670043945,724.767578125,122.2899398803711,157.58392333984375,205.09654235839844,14.694337844848633
2022-02-10,45.047542572021484,7225.1357421875,28.13678550720215,772.9364013671875,115.951416015625,165.9519805908203,194.98489379882812,15.39033031463623
2022-02-11,38.3709602355957,8274.79296875,25.48670196533203,845.9010009765625,108.92581176757812,175.9055633544922,203.75430297851562,14.676375389099121
2022-02-14,38.41947555541992,8274.79296875,25.558462142944336,843.8685302734375,107.98714447021484,177.57920837402344,196.32713317871094,15.239904403686523
2022-02-15,44.649658203125,6875.25048828125,27.409690856933594,781.4725341796875,112.97086334228516,169.03497314453125,189.61585998535156,15.74056625366211
2022-02-16,44.73701095581055,6892.744140625,27.404905319213867,782.082275390625,113.47406768798828,168.3302764892578,192.83729553222656,15.48462200164795
2022-02-17,39.66163635253906,7662.4931640625,24.97486686706543,851.3884887695312,106.14848327636719,179.1647186279297,196.95352172851562,15.114176750183105
2022-02-18,38.45829391479492,7872.42431640625,24.1281795501709,879.8425903320312,103.97114562988281,182.68809509277344,203.0384063720703,14.660663604736328
2022-02-22,37.46845245361328,8064.86181640625,23.381946563720703,906.467529296875,100.8260498046875,188.50172424316406,204.47019958496094,14.52820110321045
2022-02-23,34.8482780456543,8659.666015625,21.5929012298584,975.7736206054688,95.14558410644531,198.89572143554688,196.2376708984375,15.141118049621582
2022-02-24,38.75912857055664,7697.48291015625,23.707229614257812,880.4524536132812,99.59706115722656,189.64682006835938,196.77455139160156,15.087237358093262
2022-02-25,40.54472351074219,7330.10205078125,24.83135986328125,836.7548828125,106.08074188232422,177.40301513671875,197.22198486328125,15.064784049987793
2022-02-28,39.79749298095703,7470.0556640625,25.09445571899414,827.812255859375,105.26786804199219,178.37196350097656,209.92868041992188,14.056722640991211
2022-03-01,35.49847412109375,8239.8037109375,23.936840057373047,866.8350219726562,100.6421890258789,186.5638427734375,217.26634216308594,13.556059837341309
2022-03-02,38.93380355834961,7435.06689453125,25.080102920532227,824.7635498046875,106.15816497802734,176.52220153808594,195.16387939453125,14.96600341796875
2022-03-03,36.439796447753906,7907.41259765625,24.03251075744629,859.1116943359375,104.4162826538086,179.07664489746094,201.248779296875,14.485543251037598
2022-03-04,33.74198913574219,8484.724609375,23.00404930114746,896.5086059570312,101.8711929321289,183.39280700683594,211.2709503173828,13.755877494812012
2022-03-07,28.705434799194336,9779.2998046875,20.435287475585938,996.0980834960938,92.95854187011719,199.60043334960938,206.9757080078125,14.05223274230957
2022-03-08,30.238725662231445,9236.978515625,20.153057098388672,1009.51220703125,90.7328109741211,203.9165802001953,200.17494201660156,14.469825744628906
2022-03-09,33.89725875854492,8099.8505859375,22.310434341430664,901.58984375,97.96162414550781,187.62091064453125,194.0005645751953,14.959263801574707
