candidate_id,window,period,final_equity,pnl,return_pct,max_dd_pct,days
C_sp5.0_rv80_tr1.10_th1.18,4m,2025-12-10 to 2026-04-10,33810.82,23810.82,238.1082,28.08,83
C_sp5.0_rv80_tr1.10_th1.18,5m,2025-11-10 to 2026-04-10,46850.65,36850.65,368.5065,28.08,104
C_sp5.0_rv80_tr1.10_th1.18,6m,2025-10-10 to 2026-04-10,50766.53,40766.53,407.6653,29.78,125
C_sp5.0_rv80_tr1.10_th1.18,1y,2025-04-10 to 2026-04-10,86066.04,76066.04,760.6604,32.78,251
C_sp5.0_rv80_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp5.0_rv80_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp5.0_rv80_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp5.0_rv80_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34719.46,24719.46,247.1946,28.08,83
C_sp5.0_rv80_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48109.73,38109.73,381.0973,28.08,104
C_sp5.0_rv80_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,52130.86,42130.86,421.3086,29.78,125
C_sp5.0_rv80_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,88379.02,78379.02,783.7902,32.78,251
C_sp5.0_rv85_tr1.02_th1.20,1m,2026-03-10 to 2026-04-10,20049.21,10049.21,100.4921,16.73,23
C_sp5.0_rv85_tr1.02_th1.20,2m,2026-02-10 to 2026-04-10,27483.23,17483.23,174.8323,16.73,42
C_sp5.0_rv85_tr1.02_th1.20,3m,2026-01-12 to 2026-04-10,30189.14,20189.14,201.8914,24.69,62
C_sp5.0_rv85_tr1.02_th1.20,4m,2025-12-10 to 2026-04-10,33822.75,23822.75,238.2275,28.08,83
C_sp5.0_rv85_tr1.02_th1.20,5m,2025-11-10 to 2026-04-10,47174.64,37174.64,371.7464,28.08,104
C_sp5.0_rv85_tr1.02_th1.20,6m,2025-10-10 to 2026-04-10,51368.9,41368.9,413.689,29.66,125
C_sp5.0_rv85_tr1.02_th1.20,1y,2025-04-10 to 2026-04-10,86892.58,76892.58,768.9258,32.45,251
C_sp5.0_rv85_tr1.10_th1.18,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp5.0_rv85_tr1.10_th1.18,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp5.0_rv85_tr1.10_th1.18,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp5.0_rv85_tr1.10_th1.18,4m,2025-12-10 to 2026-04-10,33810.82,23810.82,238.1082,28.08,83
C_sp5.0_rv85_tr1.10_th1.18,5m,2025-11-10 to 2026-04-10,46850.65,36850.65,368.5065,28.08,104
C_sp5.0_rv85_tr1.10_th1.18,6m,2025-10-10 to 2026-04-10,50766.53,40766.53,407.6653,29.78,125
C_sp5.0_rv85_tr1.10_th1.18,1y,2025-04-10 to 2026-04-10,86066.04,76066.04,760.6604,32.78,251
C_sp5.0_rv85_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp5.0_rv85_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp5.0_rv85_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp5.0_rv85_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34719.46,24719.46,247.1946,28.08,83
C_sp5.0_rv85_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48109.73,38109.73,381.0973,28.08,104
C_sp5.0_rv85_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,52130.86,42130.86,421.3086,29.78,125
C_sp5.0_rv85_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,88379.02,78379.02,783.7902,32.78,251
C_sp5.2_rv70_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20203.21,10203.21,102.0321,16.73,23
C_sp5.2_rv70_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27558.84,17558.84,175.5884,16.73,42
C_sp5.2_rv70_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31031.69,21031.69,210.3169,24.69,62
C_sp5.2_rv70_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34653.24,24653.24,246.5324,28.08,83
C_sp5.2_rv70_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48017.97,38017.97,380.1797,28.08,104
C_sp5.2_rv70_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,51966.14,41966.14,419.6614,29.78,125
C_sp5.2_rv70_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,86319.82,76319.82,763.1982,32.87,251
C_sp5.2_rv75_tr1.02_th1.20,1m,2026-03-10 to 2026-04-10,20010.97,10010.97,100.1097,16.73,23
C_sp5.2_rv75_tr1.02_th1.20,2m,2026-02-10 to 2026-04-10,27430.81,17430.81,174.3081,16.73,42
C_sp5.2_rv75_tr1.02_th1.20,3m,2026-01-12 to 2026-04-10,30131.56,20131.56,201.3156,24.69,62
C_sp5.2_rv75_tr1.02_th1.20,4m,2025-12-10 to 2026-04-10,33758.24,23758.24,237.5824,28.08,83
C_sp5.2_rv75_tr1.02_th1.20,5m,2025-11-10 to 2026-04-10,47084.66,37084.66,370.8466,28.08,104
C_sp5.2_rv75_tr1.02_th1.20,6m,2025-10-10 to 2026-04-10,51206.59,41206.59,412.0659,29.66,125
C_sp5.2_rv75_tr1.02_th1.20,1y,2025-04-10 to 2026-04-10,85953.54,75953.54,759.5354,32.54,251
C_sp5.2_rv75_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20203.21,10203.21,102.0321,16.73,23
C_sp5.2_rv75_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27558.84,17558.84,175.5884,16.73,42
C_sp5.2_rv75_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31031.69,21031.69,210.3169,24.69,62
C_sp5.2_rv75_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34653.24,24653.24,246.5324,28.08,83
C_sp5.2_rv75_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48017.97,38017.97,380.1797,28.08,104
C_sp5.2_rv75_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,51966.14,41966.14,419.6614,29.78,125
C_sp5.2_rv75_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,87423.91,77423.91,774.2391,32.87,251
C_sp5.2_rv80_tr1.02_th1.20,1m,2026-03-10 to 2026-04-10,20010.97,10010.97,100.1097,16.73,23
C_sp5.2_rv80_tr1.02_th1.20,2m,2026-02-10 to 2026-04-10,27430.81,17430.81,174.3081,16.73,42
C_sp5.2_rv80_tr1.02_th1.20,3m,2026-01-12 to 2026-04-10,30131.56,20131.56,201.3156,24.69,62
C_sp5.2_rv80_tr1.02_th1.20,4m,2025-12-10 to 2026-04-10,33758.24,23758.24,237.5824,28.08,83
C_sp5.2_rv80_tr1.02_th1.20,5m,2025-11-10 to 2026-04-10,47084.66,37084.66,370.8466,28.08,104
C_sp5.2_rv80_tr1.02_th1.20,6m,2025-10-10 to 2026-04-10,51206.59,41206.59,412.0659,29.66,125
C_sp5.2_rv80_tr1.02_th1.20,1y,2025-04-10 to 2026-04-10,85953.54,75953.54,759.5354,32.54,251
C_sp5.2_rv80_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20203.21,10203.21,102.0321,16.73,23
C_sp5.2_rv80_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27558.84,17558.84,175.5884,16.73,42
C_sp5.2_rv80_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31031.69,21031.69,210.3169,24.69,62
C_sp5.2_rv80_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34653.24,24653.24,246.5324,28.08,83
C_sp5.2_rv80_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48017.97,38017.97,380.1797,28.08,104
C_sp5.2_rv80_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,51966.14,41966.14,419.6614,29.78,125
C_sp5.2_rv80_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,87423.91,77423.91,774.2391,32.87,251
C_sp5.2_rv85_tr1.02_th1.20,1m,2026-03-10 to 2026-04-10,20010.97,10010.97,100.1097,16.73,23
C_sp5.2_rv85_tr1.02_th1.20,2m,2026-02-10 to 2026-04-10,27430.81,17430.81,174.3081,16.73,42
C_sp5.2_rv85_tr1.02_th1.20,3m,2026-01-12 to 2026-04-10,30131.56,20131.56,201.3156,24.69,62
C_sp5.2_rv85_tr1.02_th1.20,4m,2025-12-10 to 2026-04-10,33758.24,23758.24,237.5824,28.08,83
C_sp5.2_rv85_tr1.02_th1.20,5m,2025-11-10 to 2026-04-10,47084.66,37084.66,370.8466,28.08,104
C_sp5.2_rv85_tr1.02_th1.20,6m,2025-10-10 to 2026-04-10,51206.59,41206.59,412.0659,29.66,125
C_sp5.2_rv85_tr1.02_th1.20,1y,2025-04-10 to 2026-04-10,85953.54,75953.54,759.5354,32.54,251
C_sp5.2_rv85_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20203.21,10203.21,102.0321,16.73,23
C_sp5.2_rv85_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27558.84,17558.84,175.5884,16.73,42
C_sp5.2_rv85_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31031.69,21031.69,210.3169,24.69,62
