timestamp,gpu_util_pct,mem_used_mb,mem_total_mb
2026-03-28T01:48:47-0400,0, 26, 16311
2026-03-28T01:48:48-0400,0, 26, 16311
2026-03-28T01:48:49-0400,0, 26, 16311
2026-03-28T01:48:50-0400,0, 26, 16311
2026-03-28T01:48:51-0400,0, 26, 16311
2026-03-28T01:48:52-0400,0, 26, 16311
2026-03-28T01:48:53-0400,0, 26, 16311
2026-03-28T01:48:54-0400,0, 26, 16311
2026-03-28T01:48:55-0400,0, 26, 16311
2026-03-28T01:48:56-0400,0, 26, 16311
2026-03-28T01:48:57-0400,0, 26, 16311
2026-03-28T01:48:58-0400,0, 26, 16311
2026-03-28T01:48:59-0400,0, 26, 16311
2026-03-28T01:49:00-0400,0, 26, 16311
2026-03-28T01:49:01-0400,0, 26, 16311
2026-03-28T01:49:03-0400,0, 26, 16311
2026-03-28T01:49:04-0400,0, 26, 16311
2026-03-28T01:49:05-0400,0, 26, 16311
2026-03-28T01:49:06-0400,0, 26, 16311
2026-03-28T01:49:07-0400,0, 26, 16311
2026-03-28T01:49:08-0400,0, 26, 16311
2026-03-28T01:49:09-0400,0, 26, 16311
2026-03-28T01:49:10-0400,0, 26, 16311
2026-03-28T01:49:11-0400,0, 26, 16311
2026-03-28T01:49:12-0400,0, 26, 16311
2026-03-28T01:49:13-0400,0, 26, 16311
2026-03-28T01:49:14-0400,0, 26, 16311
2026-03-28T01:49:15-0400,0, 26, 16311
2026-03-28T01:49:16-0400,0, 26, 16311
2026-03-28T01:49:17-0400,0, 26, 16311
2026-03-28T01:49:18-0400,0, 26, 16311
2026-03-28T01:49:19-0400,0, 26, 16311
2026-03-28T01:49:20-0400,0, 26, 16311
2026-03-28T01:49:21-0400,0, 26, 16311
2026-03-28T01:49:22-0400,0, 26, 16311
2026-03-28T01:49:23-0400,0, 26, 16311
2026-03-28T01:49:24-0400,0, 26, 16311
2026-03-28T01:49:25-0400,0, 26, 16311
2026-03-28T01:49:26-0400,0, 26, 16311
2026-03-28T01:49:28-0400,0, 26, 16311
2026-03-28T01:49:29-0400,0, 26, 16311
2026-03-28T01:49:30-0400,0, 26, 16311
2026-03-28T01:49:31-0400,0, 26, 16311
2026-03-28T01:49:32-0400,0, 26, 16311
2026-03-28T01:49:33-0400,0, 26, 16311
2026-03-28T01:49:34-0400,0, 26, 16311
2026-03-28T01:49:35-0400,0, 26, 16311
2026-03-28T01:49:36-0400,0, 26, 16311
2026-03-28T01:49:37-0400,0, 26, 16311
2026-03-28T01:49:38-0400,0, 26, 16311
2026-03-28T01:49:39-0400,0, 26, 16311
2026-03-28T01:49:40-0400,0, 26, 16311
2026-03-28T01:49:41-0400,0, 26, 16311
2026-03-28T01:49:42-0400,0, 26, 16311
2026-03-28T01:49:43-0400,0, 26, 16311
2026-03-28T01:49:44-0400,0, 26, 16311
2026-03-28T01:49:45-0400,0, 26, 16311
2026-03-28T01:49:46-0400,0, 26, 16311
2026-03-28T01:49:47-0400,0, 26, 16311
2026-03-28T01:49:48-0400,0, 26, 16311
2026-03-28T01:49:49-0400,0, 26, 16311
2026-03-28T01:49:50-0400,0, 26, 16311
2026-03-28T01:49:51-0400,0, 26, 16311
2026-03-28T01:49:53-0400,0, 26, 16311
2026-03-28T01:49:54-0400,0, 26, 16311
2026-03-28T01:49:55-0400,0, 26, 16311
2026-03-28T01:49:56-0400,0, 26, 16311
2026-03-28T01:49:57-0400,0, 26, 16311
2026-03-28T01:49:58-0400,0, 26, 16311
2026-03-28T01:49:59-0400,0, 26, 16311
2026-03-28T01:50:00-0400,0, 26, 16311
2026-03-28T01:50:01-0400,0, 26, 16311
2026-03-28T01:50:02-0400,0, 26, 16311
2026-03-28T01:50:03-0400,0, 26, 16311
2026-03-28T01:50:04-0400,0, 26, 16311
2026-03-28T01:50:05-0400,0, 26, 16311
2026-03-28T01:50:06-0400,0, 26, 16311
2026-03-28T01:50:07-0400,0, 26, 16311
2026-03-28T01:50:08-0400,0, 26, 16311
2026-03-28T01:50:09-0400,0, 26, 16311
2026-03-28T01:50:10-0400,0, 26, 16311
2026-03-28T01:50:11-0400,0, 26, 16311
2026-03-28T01:50:12-0400,0, 26, 16311
2026-03-28T01:50:13-0400,0, 26, 16311
2026-03-28T01:50:14-0400,0, 26, 16311
2026-03-28T01:50:15-0400,0, 26, 16311
2026-03-28T01:50:16-0400,0, 26, 16311
2026-03-28T01:50:18-0400,0, 26, 16311
2026-03-28T01:50:19-0400,0, 26, 16311
2026-03-28T01:50:20-0400,0, 26, 16311
2026-03-28T01:50:21-0400,0, 26, 16311
2026-03-28T01:50:22-0400,0, 26, 16311
2026-03-28T01:50:23-0400,0, 26, 16311
2026-03-28T01:50:24-0400,0, 26, 16311
2026-03-28T01:50:25-0400,0, 26, 16311
2026-03-28T01:50:26-0400,0, 26, 16311
