date,v1_variant,v2_variant,v1_equity,v1_pnl,v1_ret_pct,v2_equity,v2_pnl,v2_ret_pct,equity_delta_v2_minus_v1,equity_diff_bps
2026-03-16,baseline,baseline,9999.00009999,-0.999900009999692,-0.009999000099991662,9999.00009999,-0.999900009999692,-0.009999000099991662,0.0,0.0
2026-03-17,baseline,baseline,10200.059867407414,201.05976741741324,2.0107987339415434,10200.059867407414,201.05976741741324,2.0107987339415434,0.0,0.0
2026-03-18,baseline,baseline,10138.624938474315,-61.43492893309849,-0.602299689724406,10138.624938474315,-61.43492893309849,-0.602299689724406,0.0,0.0
2026-03-19,baseline,baseline,10237.293157669897,98.66821919558242,0.9731913330885078,10237.293157669897,98.66821919558242,0.9731913330885078,0.0,0.0
2026-03-20,baseline,baseline,9447.016571848679,-790.2765858212188,-7.719585379159866,9447.016571848679,-790.2765858212188,-7.719585379159866,0.0,0.0
2026-03-23,baseline,baseline,10105.327706985661,658.3111351369826,6.968455386208339,10105.327706985661,658.3111351369826,6.968455386208339,0.0,0.0
2026-03-24,baseline,baseline,9811.933694191748,-293.39401279391313,-2.9033597059014205,9811.933694191748,-293.39401279391313,-2.9033597059014205,0.0,0.0
2026-03-25,baseline,baseline,9418.357995637414,-393.57569855433394,-4.011194029850751,9418.357995637414,-393.57569855433394,-4.011194029850751,0.0,0.0
2026-03-26,baseline,baseline,10236.412429111433,818.0544334740189,8.685743670530922,10236.412429111433,818.0544334740189,8.685743670530922,0.0,0.0
2026-03-27,baseline,baseline,9734.934784084542,-501.47764502689097,-4.898958971218603,9734.934784084542,-501.47764502689097,-4.898958971218603,0.0,0.0
