ts,equity
2026-02-06,9999.00009999
2026-02-09,9738.839039437633
2026-02-10,9789.366187561438
2026-02-11,9074.998316747187
2026-02-12,9567.906772380498
2026-02-13,9515.767055699547
2026-02-17,9675.411342856683
2026-02-18,9290.007457699558
2026-02-19,9444.00009597194
2026-02-20,9673.642187889756
2026-02-23,9787.928988799436
2026-02-24,9334.7422188556
2026-02-25,9052.985650276289
2026-02-26,9929.37304933122
2026-02-27,10175.485714656525
2026-03-02,10352.007902200192
2026-03-03,11656.687916545365
2026-03-04,10749.182824173438
2026-03-05,11779.93401987137
2026-03-06,12750.082461619457
2026-03-09,14076.075056344516
2026-03-10,15196.22254956107
2026-03-11,14947.78925089127
2026-03-12,15600.339340451828
2026-03-13,15721.862367528329
2026-03-16,16916.437653497956
2026-03-17,17299.617266146815
2026-03-18,16666.742741976774
2026-03-19,17412.561027383315
2026-03-20,16376.21721599301
