month,trailing_events,aggr_events,delta_events_aggr_minus_trailing,trailing_threshold_hits,aggr_threshold_hits,delta_threshold_hits,trailing_avg_hold_days,aggr_avg_hold_days,delta_avg_hold_days,trailing_avg_high_to_exec_drop_pct,aggr_avg_high_to_exec_drop_pct,delta_avg_high_to_exec_drop_pct
2022-08,0,1,1,3,4,1,0.0,14.155441105155923,14.155441105155923,0.0,2.0098000000000003,2.0098000000000003
2022-09,0,1,1,0,2,2,0.0,2.995799018461348,2.995799018461348,0.0,2.009799999999987,2.009799999999987
2022-10,0,0,0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2022-11,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12,0,0,0,2,4,2,0.0,0.0,0.0,0.0,0.0,0.0
2023-01,1,1,0,5,5,0,15.000000000000002,14.999999999999998,-3.552713678800501e-15,4.009600000000016,2.0098000000000007,-1.9998000000000151
2023-02,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03,0,4,4,5,6,1,0.0,4.175989859713342,4.175989859713342,0.0,2.0098000000000025,2.0098000000000025
2023-04,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05,0,0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08,0,1,1,6,6,0,0.0,50.0,50.0,0.0,2.009799999999991,2.009799999999991
2023-09,0,2,2,2,2,0,0.0,14.848024364059603,14.848024364059603,0.0,2.0098000000000042,2.0098000000000042
2023-10,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,0,1,1,2,2,0,0.0,15.0,15.0,0.0,2.0098000000000016,2.0098000000000016
2023-12,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01,0,1,1,2,2,0,0.0,39.0,39.0,0.0,2.0098000000000003,2.0098000000000003
2024-02,1,2,1,2,2,0,72.0,16.37404263867638,-55.62595736132362,4.009599999999996,2.0098000000000082,-1.999799999999988
2024-03,1,3,2,5,5,0,20.0,6.644583643459186,-13.355416356540815,4.009599999999998,2.009799999999998,-1.9998
2024-04,1,2,1,6,6,0,5.0,5.1896543563761846,0.18965435637618455,4.009600000000007,2.0098000000000082,-1.9997999999999987
2024-05,1,1,0,2,2,0,14.0,14.0,0.0,4.009600000000013,2.009800000000002,-1.9998000000000111
2024-06,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,0,1,1,5,6,1,0.0,2.0,2.0,0.0,2.0098000000000003,2.0098000000000003
2024-08,0,1,1,1,1,0,0.0,1.0000000000000226,1.0000000000000226,0.0,2.009799999999997,2.009799999999997
2024-09,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,0,1,1,2,2,0,0.0,11.999999999999998,11.999999999999998,0.0,2.009800000000005,2.009800000000005
2024-11,0,1,1,1,1,0,0.0,4.0,4.0,0.0,2.009800000000009,2.009800000000009
2024-12,0,1,1,5,6,1,0.0,1.0,1.0,0.0,2.009800000000005,2.009800000000005
2025-01,0,1,1,2,2,0,0.0,17.0,17.0,0.0,2.0098000000000087,2.0098000000000087
2025-02,1,1,0,2,2,0,3.0,2.9999999999999996,-4.440892098500626e-16,4.0095999999999945,2.0098000000000105,-1.999799999999984
2025-03,0,1,1,1,2,1,0.0,6.000000000000001,6.000000000000001,0.0,2.009799999999992,2.009799999999992
2025-04,0,1,1,2,3,1,0.0,1.0,1.0,0.0,2.009800000000007,2.009800000000007
2025-05,0,0,0,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06,0,1,1,4,4,0,0.0,19.5420708891022,19.5420708891022,0.0,2.009799999999988,2.009799999999988
2025-07,1,2,1,2,2,0,15.0,12.943763956799442,-2.056236043200558,4.009600000000003,2.0097999999999954,-1.999800000000008
2025-08,1,2,1,4,4,0,12.000000000000002,4.555683836264959,-7.444316163735043,4.009599999999989,2.0098000000000003,-1.999799999999989
2025-09,1,1,0,1,1,0,9.0,9.0,0.0,4.009600000000007,2.0097999999999994,-1.9998000000000076
2025-10,1,1,0,4,4,0,7.0,6.999999999999999,-8.881784197001252e-16,4.009599999999998,2.0098000000000145,-1.9997999999999836
2025-11,1,5,4,8,8,0,10.0,3.493987250141778,-6.506012749858222,4.009599999999998,2.0097999999999994,-1.9997999999999987
2025-12,1,1,0,2,2,0,19.0,15.0,-4.0,4.009600000000009,2.0097999999999985,-1.9998000000000102
2026-01,1,2,1,4,4,0,18.0,9.025627360014298,-8.974372639985702,4.009599999999999,2.0097999999999994,-1.9997999999999996
2026-02,4,4,0,6,6,0,3.763359122713727,3.782581865117073,0.019222742403345983,4.009600000000004,2.009800000000002,-1.9998000000000022
2026-03,2,4,2,7,7,0,3.5309843995000127,2.2347465561719666,-1.2962378433280461,4.0096000000000025,2.0097999999999994,-1.9998000000000031
