order_type,period,cpu_final_equity,cpu_return_pct,cpu_maxdd_pct,cpu_events,gpu_final_equity,gpu_return_pct,gpu_maxdd_pct,gpu_events,cpu_gpu_diff_bps
close_position,2025-03-19 to 2026-03-19,34324.31463985521,243.24314639855214,31.212248208014277,453,34324.31463985521,243.24314639855214,31.212248208014277,453,0.0
market_order,2025-03-19 to 2026-03-19,34324.31463985521,243.24314639855214,31.212248208014277,453,34324.31463985521,243.24314639855214,31.212248208014277,453,0.0
trailing_stop,2025-03-19 to 2026-03-19,25037.402060444274,150.37402060444273,44.043737853649645,725,25037.402060444274,150.37402060444273,44.043737853649645,725,0.0
stop_order,2025-03-19 to 2026-03-19,24817.149980785514,148.17149980785516,43.20182751315031,533,24817.149980785514,148.17149980785516,43.20182751315031,533,0.0
