window,period,cpu_final_equity,cpu_return_pct,cpu_maxdd_pct,gpu_final_equity,gpu_return_pct,gpu_maxdd_pct,cpu_gpu_diff_bps
1m,2026-02-19 to 2026-03-19,18337.33962016393,83.37339620163931,5.239783369285987,18337.33962016393,83.37339620163931,5.239783369285987,0.0
2m,2026-01-19 to 2026-03-19,17477.291672723546,74.77291672723545,10.705957651624304,17477.291672723546,74.77291672723545,10.705957651624304,0.0
3m,2025-12-19 to 2026-03-19,14721.57552794969,47.2157552794969,26.955079940390483,14721.57552794969,47.2157552794969,26.955079940390483,0.0
6m,2025-09-19 to 2026-03-19,16397.78682975437,63.97786829754368,31.212248208014262,16397.78682975437,63.97786829754368,31.212248208014262,0.0
1y,2025-03-19 to 2026-03-19,34324.31463985521,243.24314639855214,31.212248208014277,34324.31463985521,243.24314639855214,31.212248208014277,0.0
2y,2024-03-19 to 2026-03-19,19038.02701758665,90.3802701758665,43.11180666923895,19038.02701758665,90.3802701758665,43.11180666923895,0.0
3y,2023-03-19 to 2026-03-19,10485.741765378727,4.857417653787266,85.57805050322308,10485.741765378727,4.857417653787266,85.57805050322308,0.0
5y,2021-03-19 to 2026-03-19,19167.53034149384,91.6753034149384,85.57805050322308,19167.53034149384,91.6753034149384,85.57805050322308,0.0
