date,cpu_start_equity,cpu_end_equity,gpu_start_equity,gpu_end_equity,cpu_pnl,cpu_return_pct,cpu_drawdown_pct,sale_time_stock,new_purchase_time_stock
2025-09-22,10000.0,9999.00009999,10000.0,9999.00009999,-0.999900009999692,-0.009999000099991662,0.00999900009999692,no change,19:59 | SOXS
2025-09-23,9999.00009999,10048.83986008929,9999.00009999,10048.83986008929,49.83976009929029,0.4984474407530026,0.0,no change,no change
2025-09-24,10048.83986008929,10106.481633053481,10048.83986008929,10106.481633053481,57.64177296419075,0.5736161961653385,0.0,no change,no change
2025-09-25,10106.481633053481,10240.022857427799,10106.481633053481,10240.022857427799,133.5412243743176,1.321342374358725,0.0,no change,no change
2025-09-26,10240.022857427799,10106.86297052725,10240.022857427799,10106.86297052725,-133.15988690054837,-1.3003866178282864,1.3003866178282821,no change,no change
2025-09-29,10106.86297052725,10201.814218048177,10106.86297052725,10201.814218048177,94.9512475209267,0.9394729877887364,0.3731304110508532,no change,no change
2025-09-30,10201.814218048177,10010.035476362274,10201.814218048177,10010.035476362274,-191.7787416859028,-1.8798493835206709,2.2459655048396563,no change,no change
2025-10-01,10010.035476362274,9361.425243973734,10010.035476362274,9361.425243973734,-648.6102323885407,-6.4795997368857545,8.580035666783276,no change,no change
2025-10-02,9361.425243973734,8807.361907200591,9361.425243973734,8807.361907200591,-554.0633367731425,-5.918578873765101,13.990798362212631,no change,no change
2025-10-03,8807.361907200591,8959.817596719831,8807.361907200591,8959.817596719831,152.45568951923997,1.731002894233269,12.50197659255561,no change,no change
2025-10-06,8959.817596719831,8100.458600553099,8959.817596719831,8100.458600553099,-859.3589961667321,-9.591255479144367,20.894135556765143,no change,no change
2025-10-07,8100.458600553099,8616.371555983376,8100.458600553099,8616.371555983376,515.9129554302772,6.368935153807853,15.85593434751638,no change,no change
2025-10-08,8616.371555983376,7717.199977790822,8616.371555983376,7717.199977790822,-899.1715781925541,-10.43561750268478,24.636887190217532,no change,no change
2025-10-09,7717.199977790822,7851.828228919959,7717.199977790822,7851.828228919959,134.62825112913652,1.7445219965347647,23.32216110997757,no change,no change
2025-10-10,7851.828228919959,9245.203192975961,7851.828228919959,9245.203192975961,1393.3749640560027,17.745866611344162,9.715014100092812,no change,19:59 | SOXL
2025-10-13,9245.203192975961,9903.911482844926,9245.203192975961,9903.911482844926,658.7082898689641,7.124865469364883,3.282330315689369,04:00 | SOXL,19:59 | SOXS
2025-10-14,9903.911482844926,10422.743251312744,9903.911482844926,10422.743251312744,518.8317684678186,5.238655145156668,0.0,no change,no change
2025-10-15,10422.743251312744,9644.81429101189,10422.743251312744,9644.81429101189,-777.9289603008547,-7.463764016281171,7.46376401628117,no change,no change
2025-10-16,9644.81429101189,9597.241135142964,9644.81429101189,9597.241135142964,-47.573155868925824,-0.4932511340654866,7.920200049692374,no change,no change
2025-10-17,9597.241135142964,9476.597536201383,9597.241135142964,9476.597536201383,-120.64359894158042,-1.2570654133072678,9.077703367510217,no change,no change
2025-10-20,9476.597536201383,9031.906448765742,9476.597536201383,9031.906448765742,-444.69108743564175,-4.692518445960014,13.344248908480278,no change,no change
2025-10-21,9031.906448765742,9479.487227302,9031.906448765742,9479.487227302,447.58077853625764,4.955551533612512,9.049978506301034,no change,no change
2025-10-22,9479.487227302,10021.72640359565,9479.487227302,10021.72640359565,542.2391762936513,5.7201319363767045,3.8475172806984923,no change,no change
2025-10-23,10021.72640359565,9055.804150734266,10021.72640359565,9055.804150734266,-965.9222528613845,-9.63828200812612,13.114964722999506,no change,no change
2025-10-24,9055.804150734266,8701.113450856335,9055.804150734266,8701.113450856335,-354.69069987793046,-3.9167222918482736,16.518010267974024,no change,no change
2025-10-27,8701.113450856335,7971.77734587768,8701.113450856335,7971.77734587768,-729.3361049786554,-8.38210085522878,23.515554843264177,no change,no change
2025-10-28,7971.77734587768,7875.720708778872,7971.77734587768,7875.720708778872,-96.0566370988081,-1.2049588558626811,24.4371609385377,no change,no change
2025-10-29,7875.720708778872,7639.7958134762985,7875.720708778872,7639.7958134762985,-235.92489530257353,-2.995597533564054,26.700719481753843,no change,no change
2025-10-30,7639.7958134762985,7688.404108386644,7639.7958134762985,7688.404108386644,48.60829491034565,0.6362512310159163,26.23435190713069,no change,no change
2025-10-31,7688.404108386644,7828.703825318246,7688.404108386644,7828.703825318246,140.29971693160223,1.8248223552474352,24.88825987023885,no change,no change
2025-11-03,7828.703825318246,7781.366860436463,7828.703825318246,7781.366860436463,-47.33696488178339,-0.6046590334493729,25.34242979211447,no change,no change
2025-11-04,7781.366860436463,8981.720096334662,7781.366860436463,8981.720096334662,1200.3532358981993,15.425994653988994,13.825757003047974,no change,19:59 | SOXL
2025-11-05,8981.720096334662,10367.301427949153,8981.720096334662,10367.301427949153,1385.5813316144904,15.426681267655296,0.5319312010934227,15:50 | SOXL,19:59 | SOXS
2025-11-06,10367.301427949153,10958.404843969889,10367.301427949153,10958.404843969889,591.1034160207364,5.701613096993441,0.0,no change,19:59 | SOXL
2025-11-07,10958.404843969889,10623.723806070806,10958.404843969889,10623.723806070806,-334.6810378990831,-3.0541036096439655,3.0541036096439615,no change,no change
2025-11-10,10623.723806070806,11077.645921480345,10623.723806070806,11077.645921480345,453.9221154095394,4.272721351718034,0.0,08:01 | SOXL,19:59 | SOXL
2025-11-11,11077.645921480345,10457.79839124748,11077.645921480345,10457.79839124748,-619.8475302328661,-5.595480615885529,5.595480615885524,no change,no change
2025-11-12,10457.79839124748,10541.524485677875,10457.79839124748,10541.524485677875,83.72609443039619,0.800609184629808,4.839669362990671,no change,no change
2025-11-13,10541.524485677875,9538.94309679626,10541.524485677875,9538.94309679626,-1002.5813888816156,-9.510781768270437,13.890160739841225,no change,no change
2025-11-14,9538.94309679626,9666.35769762683,9538.94309679626,9666.35769762683,127.41460083057063,1.335730798869772,12.73996509598602,no change,no change
2025-11-17,9666.35769762683,8904.320373428618,9666.35769762683,8904.320373428618,-762.0373241982124,-7.883396704689494,19.619019812119955,no change,no change
