strategy,final_equity,total_return_pct,max_drawdown_pct,full_trade_count,profit_lock_sell_events,opportunities_symbol_days,threshold_hits_symbol_days,trailing_stop_hits_symbol_days,threshold_hit_rate_pct_of_opportunities,trailing_hit_rate_pct_of_threshold_hits,avg_profit_lock_hold_days_weighted_by_qty,avg_trigger_to_exec_drop_pct,avg_high_to_exec_drop_pct,avg_exec_gain_vs_prev_close_pct,profit_lock_events_per_year,profit_lock_events_per_month,months_with_profit_lock_events
original_composer,20466.801772277282,104.66801772277283,87.95878583887708,1349,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
trailing12_4_adapt,52557.222440421196,425.57222440421197,83.94753591626528,1446,33,2516,228,33,9.062003179650238,14.473684210526315,8.35918978126932,1.6866244228460099,4.009600000000002,6.344484819537897,3.715551787916153,0.308411214953271,25
aggr_adapt_t10_tr2_rv14_b85_m8_M30,223510.67448058203,2135.10674480582,80.60379580311819,1552,102,2507,269,102,10.729956122856002,37.9182156133829,6.123097718683196,-0.42458941322039584,2.009800000000001,8.95814449697661,11.484432799013563,0.9532710280373832,63
DELTA(aggr - trailing12_4_adapt),170953.45204016083,1709.5345204016082,-3.343740113147092,106,69,-9,41,69,1.6679529432057638,23.444531402856583,-2.236092062586124,-2.1112138360664057,-1.9998000000000005,2.6136596774387133,7.76888101109741,0.6448598130841121,38
