date,cpu_equity,cpu_pnl,cpu_return_pct,cpu_drawdown_usd,cpu_drawdown_pct,cpu_day_fall_usd,cpu_day_fall_pct,gpu_equity,gpu_pnl,gpu_return_pct,gpu_drawdown_usd,gpu_drawdown_pct,gpu_day_fall_usd,gpu_day_fall_pct,cpu_gpu_diff_bps,sale_time_stock,new_purchase_time_stock
2026-03-13,9999.00009999,-0.999900009999692,-0.009999000099991662,0.999900009999692,0.00999900009999692,0.999900009999692,0.00999900009999692,9999.00009999,-0.999900009999692,-0.009999000099991662,0.999900009999692,0.00999900009999692,0.999900009999692,0.00999900009999692,0.0,no change,15:55 | SOXL
2026-03-16,10726.361253882542,727.3611538925416,7.2743389000793135,0.0,0.0,0.0,0.0,10726.361253882542,727.3611538925416,7.2743389000793135,0.0,0.0,0.0,0.0,0.0,10:38 | SOXL,no change
2026-03-17,10725.28872501004,-1.0725288725025166,-0.009999000100002764,1.0725288725025166,0.009999000100004101,1.0725288725025166,0.009999000100004101,10725.28872501004,-1.0725288725025166,-0.009999000100002764,1.0725288725025166,0.009999000100004101,1.0725288725025166,0.009999000100004101,0.0,no change,15:55 | SOXL
2026-03-18,10660.690344297258,-64.59838071278136,-0.6022996897243948,65.67090958528388,0.6122384658778247,64.59838071278136,0.6022996897243985,10660.690344297258,-64.59838071278136,-0.6022996897243948,65.67090958528388,0.6122384658778247,64.59838071278136,0.6022996897243985,0.0,no change,no change
2026-03-19,10764.439258775363,103.74891447810478,0.9731913330885078,0.0,0.0,0.0,0.0,10764.439258775363,103.74891447810478,0.9731913330885078,0.0,0.0,0.0,0.0,0.0,no change,no change
2026-03-20,9933.469179606396,-830.9700791689665,-7.719585379159854,830.9700791689665,7.719585379159858,830.9700791689665,7.719585379159858,9933.469179606396,-830.9700791689665,-7.719585379159854,830.9700791689665,7.719585379159858,830.9700791689665,7.719585379159858,0.0,no change,no change
2026-03-23,10841.444877382915,907.9756977765192,9.140569939458931,0.0,0.0,0.0,0.0,10841.444877382915,907.9756977765192,9.140569939458931,0.0,0.0,0.0,0.0,0.0,07:13 | SOXL,15:55 | SOXS
2026-03-24,10526.678735275464,-314.76614210745174,-2.9033597059014427,314.76614210745174,2.9033597059014435,314.76614210745174,2.9033597059014435,10526.678735275464,-314.76614210745174,-2.9033597059014427,314.76614210745174,2.9033597059014435,314.76614210745174,2.9033597059014435,0.0,no change,no change
2026-03-25,10104.433226304527,-422.2455089709365,-4.01119402985074,737.0116510783882,6.79809434456397,422.2455089709365,4.011194029850738,10104.433226304527,-422.2455089709365,-4.01119402985074,737.0116510783882,6.79809434456397,422.2455089709365,4.011194029850738,0.0,no change,no change
2026-03-26,11001.735533418712,897.3023071141852,8.880283406478151,0.0,0.0,0.0,0.0,11001.735533418712,897.3023071141852,8.880283406478151,0.0,0.0,0.0,0.0,0.0,11:05 | SOXS,15:55 | SOXL
