name,inverse_cap_weight,ramp_days,sticky_threshold_days,guard_enabled,guard_rv20_ann,guard_chop_crossovers20,recent_inverse_cap_weight,recent_days,shock_down_pct,shock_hold_days,fixed_enter_days,recent_primary_cap_weight,recent_defensive_blend,defensive_trigger_down_pct,recent_aggressive_total_cap,recent_always_defensive_blend,changed_recent_cap_days,changed_primary_cap_days,changed_defensive_blend_days,changed_total_aggr_cap_days,changed_always_def_blend_days,changed_shock_days,all_dd_ok,material_1m_dd,long_ret_guard,pass_all,dd_gain_total,ret_penalty,score,base_1m_ret,base_1m_dd,cfg_1m_ret,cfg_1m_dd,delta_1m_ret,delta_1m_dd,base_2m_ret,base_2m_dd,cfg_2m_ret,cfg_2m_dd,delta_2m_ret,delta_2m_dd,base_3m_ret,base_3m_dd,cfg_3m_ret,cfg_3m_dd,delta_3m_ret,delta_3m_dd,base_4m_ret,base_4m_dd,cfg_4m_ret,cfg_4m_dd,delta_4m_ret,delta_4m_dd,base_5m_ret,base_5m_dd,cfg_5m_ret,cfg_5m_dd,delta_5m_ret,delta_5m_dd,base_6m_ret,base_6m_dd,cfg_6m_ret,cfg_6m_dd,delta_6m_ret,delta_6m_dd,base_1y_ret,base_1y_dd,cfg_1y_ret,cfg_1y_dd,delta_1y_ret,delta_1y_dd
M0106,0.55,2,3,True,0.95,6.0,0.1,75,-0.05,3,6,0.3,0.2,-0.006,0.4,0.35,16,29,21,29,53,227,True,True,True,True,86.43198411930072,0.0,6586.351552552912,95.08989836837496,7.999528287601359,80.68476950402675,7.0686988475747725,-14.405128864348214,-0.9308294400265869,110.20108235875324,8.66704569580889,92.39353545117149,7.068698847574762,-17.807546907581752,-1.5983468482341276,46.245464785070965,22.704213841574788,120.65788086603963,8.565064152797364,74.41241608096867,-14.139149688777424,80.50893326772821,29.044692603023503,172.35524021742032,13.199129184345136,91.8463069496921,-15.845563418678367,129.55068534363105,29.044692603023563,246.35034907724082,13.199129184345162,116.79966373360978,-15.8455634186784,48.3268094832519,29.04469260302352,266.11895366192033,13.199129184345137,217.79214417866842,-15.845563418678383,136.43357697744025,35.42609707057258,513.9139769157306,13.199129184345146,377.48039993829036,-22.226967886227435
M0154,0.45,5,4,True,0.95,8.0,0.25,60,-0.06,2,4,0.2,0.3,-0.004,0.4,0.55,15,21,18,21,44,142,True,True,True,True,69.96854442304428,0.0,6163.405635528285,95.08989836837496,7.999528287601359,45.53515716856733,5.681611158558455,-49.55474119980763,-2.317917129042904,110.20108235875324,8.66704569580889,61.89666818653426,5.681611158558466,-48.30441417221898,-2.9854345372504234,46.245464785070965,22.704213841574788,97.03777758599095,8.078589414561002,50.79231280091999,-14.625624427013786,80.50893326772821,29.044692603023503,143.20124454978586,15.002014390816004,62.692311282057645,-14.042678212207498,129.55068534363105,29.044692603023563,209.27562061444104,15.002014390816019,79.72493527081,-14.042678212207544,48.3268094832519,29.04469260302352,127.1021958599377,21.258288884136984,78.77538637668579,-7.786403718886536,136.43357697744025,35.42609707057258,388.1149536459691,21.25828888413698,251.68137666852883,-14.1678081864356
M0271,0.65,5,5,True,0.95,6.0,0.1,60,-0.04,3,5,0.3,0.2,-0.006,0.4,0.35,15,21,18,21,44,266,True,True,True,True,80.5817143768613,0.0,6150.950332230306,95.08989836837496,7.999528287601359,80.68476950402675,7.0686988475747725,-14.405128864348214,-0.9308294400265869,110.20108235875324,8.66704569580889,92.39353545117149,7.068698847574762,-17.807546907581752,-1.5983468482341276,46.245464785070965,22.704213841574788,109.10885358514881,11.499396087334661,62.86338880007784,-11.204817754240127,80.50893326772821,29.044692603023503,158.1004214589908,13.928113636320672,77.5914881912626,-15.11657896670283,129.55068534363105,29.044692603023563,228.22269546913162,13.928113636320688,98.67201012550058,-15.116578966702875,48.3268094832519,29.04469260302352,246.9566297635064,13.928113636320672,198.6298202802545,-15.116578966702848,136.43357697744025,35.42609707057258,550.8593436227005,13.928113636320674,414.4257666452603,-21.497983434251907
M0356,0.55,3,4,True,0.95,6.0,0.15,75,-0.05,2,5,0.4,0.2,-0.01,0.5,0.15,16,29,21,29,53,170,True,True,True,True,73.62155324395496,0.0,6134.845681059378,95.08989836837496,7.999528287601359,73.75382186497583,6.449771852620286,-21.336076503399127,-1.5497564349810737,110.20108235875324,8.66704569580889,84.56713531452071,6.449771852620304,-25.633947044232528,-2.2172738431885852,46.245464785070965,22.704213841574788,114.27346241584337,8.169287699532198,68.0279976307724,-14.53492614204259,80.50893326772821,29.044692603023503,164.47503302143366,13.909758448410452,83.96609975370545,-15.13493415461305,129.55068534363105,29.044692603023563,236.32919982029242,13.909758448410456,106.77851447666137,-15.134934154613108,48.3268094832519,29.04469260302352,146.9677359607491,19.710530579539768,98.6409264774972,-9.334162023483753,136.43357697744025,35.42609707057258,366.9884975693678,19.710530579539775,230.55492059192753,-15.715566491032806
M0174,0.45,5,4,True,0.95,10.0,0.15,60,-0.06,2,4,0.35,0.3,-0.008,0.4,0.45,15,21,18,21,44,142,True,True,True,True,71.52582381567512,0.0,6102.176941117637,95.08989836837496,7.999528287601359,52.19529673435615,6.201698297037834,-42.89460163401881,-1.7978299905635255,110.20108235875324,8.66704569580889,68.62033983681823,6.201698297037881,-41.58074252193501,-2.4653473987710086,46.245464785070965,22.704213841574788,104.39047603158843,7.8182423792232,58.14501124651747,-14.885971462351588,80.50893326772821,29.044692603023503,152.2765875356667,14.518547566310211,71.76765426793848,-14.526145036713292,129.55068534363105,29.044692603023563,220.81660733695205,14.518547566310215,91.265921993321,-14.526145036713348,48.3268094832519,29.04469260302352,135.57678374328123,20.57320239151685,87.24997426002932,-8.47149021150667,136.43357697744025,35.42609707057258,406.3295422640285,20.573202391516883,269.8959652865882,-14.852894679055698
M0005,0.55,5,5,True,0.95,6.0,0.2,75,-0.06,2,4,0.25,0.2,-0.008,0.5,0.35,16,29,21,29,53,142,True,True,True,True,67.55359775431104,0.0,5838.434905875453,95.08989836837496,7.999528287601359,58.68056156344568,6.141880145749709,-36.40933680492928,-1.8576481418516506,110.20108235875324,8.66704569580889,71.81614181011949,6.141880145749687,-38.38494054863375,-2.525165550059202,46.245464785070965,22.704213841574788,98.33246757946756,9.48633593164609,52.0870027943966,-13.217877909928697,80.50893326772821,29.044692603023503,144.79926408480765,15.019941808860748,64.29033081707944,-14.024750794162754,129.55068534363105,29.044692603023563,211.30779970284487,15.019941808860764,81.75711435921383,-14.024750794162799,48.3268094832519,29.04469260302352,128.5944322426185,21.283692554725086,80.26762275936659,-7.761000048298435,136.43357697744025,35.42609707057258,391.322244927337,21.283692554725082,254.88866794989676,-14.142404515847499
M0262,0.55,4,6,True,0.95,6.0,0.3,75,-0.06,2,2,0.3,0.2,-0.006,0.4,0.45,16,29,21,29,53,142,True,True,True,True,66.3115669549245,0.0,5765.791063299308,95.08989836837496,7.999528287601359,52.511925970259774,6.146864102603379,-42.577972398115186,-1.8526641849979804,110.20108235875324,8.66704569580889,67.7986932855623,6.1468641026033675,-42.402389073190946,-2.520181593205522,46.245464785070965,22.704213841574788,94.27313870763024,9.487158254174268,48.02767392255927,-13.21705558740052,80.50893326772821,29.044692603023503,139.78888563980664,15.274643052075495,59.27995237207843,-13.770049550948007,129.55068534363105,29.044692603023563,204.93617152322963,15.274643052075513,75.38548617959859,-13.77004955094805,48.3268094832519,29.04469260302352,123.9157228509153,21.64461159308586,75.5889133676634,-7.4000810099376615,136.43357697744025,35.42609707057258,369.25092920924465,21.644611593085823,232.8173522318044,-13.781485477486758
M0201,0.45,2,3,True,0.95,6.0,0.25,75,-0.05,2,5,0.2,0.2,-0.006,0.3,0.45,16,29,21,29,53,170,True,True,True,True,65.01665505939543,0.0,5707.735892551505,95.08989836837496,7.999528287601359,51.930202272069906,6.037254373503313,-43.159696096305055,-1.9622739140980467,110.20108235875324,8.66704569580889,66.50448319491078,6.037254373503284,-43.696599163842464,-2.6297913223056053,46.245464785070965,22.704213841574788,91.72252965818075,10.018968070995271,45.47706487310978,-12.685245770579517,80.50893326772821,29.044692603023503,136.64070104908603,15.477851526662153,56.13176778135782,-13.56684107636135,129.55068534363105,29.044692603023563,200.9326692183532,15.477851526662159,71.38198387472215,-13.566841076361404,48.3268094832519,29.04469260302352,120.97593677026181,21.932563886953304,72.64912728700992,-7.112128716070217,136.43357697744025,35.42609707057258,317.8408985687462,21.932563886953293,181.40732159130593,-13.493533183619288
M0232,0.45,4,6,True,0.95,8.0,0.3,75,-0.05,2,3,0.3,0.4,-0.008,0.5,0.55,16,29,21,29,53,170,True,True,True,True,64.52660236209702,0.0,5672.514849967617,95.08989836837496,7.999528287601359,45.24034617204682,6.087067285425315,-49.84955219632814,-1.9124610021760446,110.20108235875324,8.66704569580889,63.37735644348705,6.087067285425341,-46.82372591526619,-2.579978410383548,46.245464785070965,22.704213841574788,89.37024026944822,9.77328426149495,43.12477548437725,-12.930929580079837,80.50893326772821,29.044692603023503,133.737299915101,15.609440906203144,53.228366647372795,-13.435251696820359,129.55068534363105,29.044692603023563,197.2404546111946,15.609440906203142,67.68976926756355,-13.435251696820421,48.3268094832519,29.04469260302352,118.26473036089165,22.119029848889653,69.93792087763975,-6.925662754133867,136.43357697744025,35.42609707057258,312.7143090456781,22.11902984888964,176.28073206823782,-13.307067221682942
M0300,0.55,3,3,True,0.95,8.0,0.15,60,-0.05,1,3,0.35,0.6,-0.006,0.4,0.15,15,21,18,21,44,93,True,True,True,True,52.327648900758476,0.0,4884.277807954066,95.08989836837496,7.999528287601359,48.03314350583483,6.34658955401787,-47.05675486254013,-1.6529387335834897,110.20108235875324,8.66704569580889,43.44612704385425,7.058494039092773,-66.754955314899,-1.6085516567161164,46.245464785070965,22.704213841574788,73.87545525593686,9.570568179456412,27.62999047086589,-13.133645662118376,80.50893326772821,29.044692603023503,114.6122821368594,17.138514401154755,34.103348869131196,-11.906178201868748,129.55068534363105,29.044692603023563,172.91943703754825,17.138514401154783,43.368751693917204,-11.90617820186878,48.3268094832519,29.04469260302352,94.00528069093758,26.175316614496555,45.67847120768568,-2.869375988526965,136.43357697744025,35.42609707057258,270.4369334787503,26.175316614496584,134.00335650131004,-9.250780456075997
