candidate_id,window,period,final_equity,pnl,return_pct,max_dd_pct,days
C_sp4.8_rv70_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.8_rv70_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.8_rv70_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34719.46,24719.46,247.1946,28.08,83
C_sp4.8_rv70_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48109.73,38109.73,381.0973,28.08,104
C_sp4.8_rv70_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,52130.86,42130.86,421.3086,29.78,125
C_sp4.8_rv70_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,88092.48,78092.48,780.9248,32.78,251
C_sp4.8_rv70_tr1.12_th1.20,1m,2026-03-10 to 2026-04-10,20175.68,10175.68,101.7568,16.73,23
C_sp4.8_rv70_tr1.12_th1.20,2m,2026-02-10 to 2026-04-10,27487.54,17487.54,174.8754,16.73,42
C_sp4.8_rv70_tr1.12_th1.20,3m,2026-01-12 to 2026-04-10,30900.8,20900.8,209.008,24.69,62
C_sp4.8_rv70_tr1.12_th1.20,4m,2025-12-10 to 2026-04-10,34478.85,24478.85,244.7885,28.08,83
C_sp4.8_rv70_tr1.12_th1.20,5m,2025-11-10 to 2026-04-10,47698.21,37698.21,376.9821,28.08,104
C_sp4.8_rv70_tr1.12_th1.20,6m,2025-10-10 to 2026-04-10,51621.54,41621.54,416.2154,29.81,125
C_sp4.8_rv70_tr1.12_th1.20,1y,2025-04-10 to 2026-04-10,86747.12,76747.12,767.4712,32.87,251
C_sp4.8_rv75_tr1.10_th1.18,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp4.8_rv75_tr1.10_th1.18,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.8_rv75_tr1.10_th1.18,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.8_rv75_tr1.10_th1.18,4m,2025-12-10 to 2026-04-10,33810.82,23810.82,238.1082,28.08,83
C_sp4.8_rv75_tr1.10_th1.18,5m,2025-11-10 to 2026-04-10,46850.65,36850.65,368.5065,28.08,104
C_sp4.8_rv75_tr1.10_th1.18,6m,2025-10-10 to 2026-04-10,50766.53,40766.53,407.6653,29.78,125
C_sp4.8_rv75_tr1.10_th1.18,1y,2025-04-10 to 2026-04-10,86708.25,76708.25,767.0825,32.78,251
C_sp4.8_rv75_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp4.8_rv75_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.8_rv75_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.8_rv75_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34719.46,24719.46,247.1946,28.08,83
C_sp4.8_rv75_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48109.73,38109.73,381.0973,28.08,104
C_sp4.8_rv75_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,52130.86,42130.86,421.3086,29.78,125
C_sp4.8_rv75_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,89038.49,79038.49,790.3849,32.78,251
C_sp4.8_rv75_tr1.12_th1.18,1m,2026-03-10 to 2026-04-10,20175.68,10175.68,101.7568,16.73,23
C_sp4.8_rv75_tr1.12_th1.18,2m,2026-02-10 to 2026-04-10,27487.54,17487.54,174.8754,16.73,42
C_sp4.8_rv75_tr1.12_th1.18,3m,2026-01-12 to 2026-04-10,30900.8,20900.8,209.008,24.69,62
C_sp4.8_rv75_tr1.12_th1.18,4m,2025-12-10 to 2026-04-10,33562.77,23562.77,235.6277,28.08,83
C_sp4.8_rv75_tr1.12_th1.18,5m,2025-11-10 to 2026-04-10,46430.89,36430.89,364.3089,28.08,104
C_sp4.8_rv75_tr1.12_th1.18,6m,2025-10-10 to 2026-04-10,50249.99,40249.99,402.4999,29.81,125
C_sp4.8_rv75_tr1.12_th1.18,1y,2025-04-10 to 2026-04-10,85349.12,75349.12,753.4912,32.87,251
C_sp4.8_rv75_tr1.12_th1.20,1m,2026-03-10 to 2026-04-10,20175.68,10175.68,101.7568,16.73,23
C_sp4.8_rv75_tr1.12_th1.20,2m,2026-02-10 to 2026-04-10,27487.54,17487.54,174.8754,16.73,42
C_sp4.8_rv75_tr1.12_th1.20,3m,2026-01-12 to 2026-04-10,30900.8,20900.8,209.008,24.69,62
C_sp4.8_rv75_tr1.12_th1.20,4m,2025-12-10 to 2026-04-10,34478.85,24478.85,244.7885,28.08,83
C_sp4.8_rv75_tr1.12_th1.20,5m,2025-11-10 to 2026-04-10,47698.21,37698.21,376.9821,28.08,104
C_sp4.8_rv75_tr1.12_th1.20,6m,2025-10-10 to 2026-04-10,51621.54,41621.54,416.2154,29.81,125
C_sp4.8_rv75_tr1.12_th1.20,1y,2025-04-10 to 2026-04-10,87678.69,77678.69,776.7869,32.87,251
C_sp4.8_rv80_tr1.10_th1.18,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp4.8_rv80_tr1.10_th1.18,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.8_rv80_tr1.10_th1.18,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.8_rv80_tr1.10_th1.18,4m,2025-12-10 to 2026-04-10,33810.82,23810.82,238.1082,28.08,83
C_sp4.8_rv80_tr1.10_th1.18,5m,2025-11-10 to 2026-04-10,46850.65,36850.65,368.5065,28.08,104
C_sp4.8_rv80_tr1.10_th1.18,6m,2025-10-10 to 2026-04-10,50766.53,40766.53,407.6653,29.78,125
C_sp4.8_rv80_tr1.10_th1.18,1y,2025-04-10 to 2026-04-10,86708.25,76708.25,767.0825,32.78,251
C_sp4.8_rv80_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp4.8_rv80_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.8_rv80_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.8_rv80_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34719.46,24719.46,247.1946,28.08,83
C_sp4.8_rv80_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48109.73,38109.73,381.0973,28.08,104
C_sp4.8_rv80_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,52130.86,42130.86,421.3086,29.78,125
C_sp4.8_rv80_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,89038.49,79038.49,790.3849,32.78,251
C_sp4.8_rv80_tr1.12_th1.20,1m,2026-03-10 to 2026-04-10,20175.68,10175.68,101.7568,16.73,23
C_sp4.8_rv80_tr1.12_th1.20,2m,2026-02-10 to 2026-04-10,27487.54,17487.54,174.8754,16.73,42
C_sp4.8_rv80_tr1.12_th1.20,3m,2026-01-12 to 2026-04-10,30900.8,20900.8,209.008,24.69,62
C_sp4.8_rv80_tr1.12_th1.20,4m,2025-12-10 to 2026-04-10,34478.85,24478.85,244.7885,28.08,83
C_sp4.8_rv80_tr1.12_th1.20,5m,2025-11-10 to 2026-04-10,47698.21,37698.21,376.9821,28.08,104
C_sp4.8_rv80_tr1.12_th1.20,6m,2025-10-10 to 2026-04-10,51621.54,41621.54,416.2154,29.81,125
C_sp4.8_rv80_tr1.12_th1.20,1y,2025-04-10 to 2026-04-10,87678.69,77678.69,776.7869,32.87,251
C_sp4.9_rv70_tr1.10_th1.18,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp4.9_rv70_tr1.10_th1.18,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.9_rv70_tr1.10_th1.18,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.9_rv70_tr1.10_th1.18,4m,2025-12-10 to 2026-04-10,33810.82,23810.82,238.1082,28.08,83
C_sp4.9_rv70_tr1.10_th1.18,5m,2025-11-10 to 2026-04-10,46850.65,36850.65,368.5065,28.08,104
C_sp4.9_rv70_tr1.10_th1.18,6m,2025-10-10 to 2026-04-10,50766.53,40766.53,407.6653,29.78,125
C_sp4.9_rv70_tr1.10_th1.18,1y,2025-04-10 to 2026-04-10,85256.99,75256.99,752.5699,32.78,251
C_sp4.9_rv70_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp4.9_rv70_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.9_rv70_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.9_rv70_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34719.46,24719.46,247.1946,28.08,83
C_sp4.9_rv70_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48109.73,38109.73,381.0973,28.08,104
C_sp4.9_rv70_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,52130.86,42130.86,421.3086,29.78,125
C_sp4.9_rv70_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,87548.23,77548.23,775.4823,32.78,251
C_sp4.9_rv70_tr1.12_th1.20,1m,2026-03-10 to 2026-04-10,20175.68,10175.68,101.7568,16.73,23
C_sp4.9_rv70_tr1.12_th1.20,2m,2026-02-10 to 2026-04-10,27487.54,17487.54,174.8754,16.73,42
C_sp4.9_rv70_tr1.12_th1.20,3m,2026-01-12 to 2026-04-10,30900.8,20900.8,209.008,24.69,62
C_sp4.9_rv70_tr1.12_th1.20,4m,2025-12-10 to 2026-04-10,34478.85,24478.85,244.7885,28.08,83
C_sp4.9_rv70_tr1.12_th1.20,5m,2025-11-10 to 2026-04-10,47698.21,37698.21,376.9821,28.08,104
C_sp4.9_rv70_tr1.12_th1.20,6m,2025-10-10 to 2026-04-10,51621.54,41621.54,416.2154,29.81,125
C_sp4.9_rv70_tr1.12_th1.20,1y,2025-04-10 to 2026-04-10,86211.19,76211.19,762.1119,32.87,251
C_sp4.9_rv75_tr1.10_th1.18,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp4.9_rv75_tr1.10_th1.18,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.9_rv75_tr1.10_th1.18,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.9_rv75_tr1.10_th1.18,4m,2025-12-10 to 2026-04-10,33810.82,23810.82,238.1082,28.08,83
C_sp4.9_rv75_tr1.10_th1.18,5m,2025-11-10 to 2026-04-10,46850.65,36850.65,368.5065,28.08,104
C_sp4.9_rv75_tr1.10_th1.18,6m,2025-10-10 to 2026-04-10,50766.53,40766.53,407.6653,29.78,125
C_sp4.9_rv75_tr1.10_th1.18,1y,2025-04-10 to 2026-04-10,86216.23,76216.23,762.1623,32.78,251
C_sp4.9_rv75_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp4.9_rv75_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.9_rv75_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.9_rv75_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34719.46,24719.46,247.1946,28.08,83
C_sp4.9_rv75_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48109.73,38109.73,381.0973,28.08,104
C_sp4.9_rv75_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,52130.86,42130.86,421.3086,29.78,125
C_sp4.9_rv75_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,88533.24,78533.24,785.3324,32.78,251
C_sp4.9_rv75_tr1.12_th1.20,1m,2026-03-10 to 2026-04-10,20175.68,10175.68,101.7568,16.73,23
C_sp4.9_rv75_tr1.12_th1.20,2m,2026-02-10 to 2026-04-10,27487.54,17487.54,174.8754,16.73,42
C_sp4.9_rv75_tr1.12_th1.20,3m,2026-01-12 to 2026-04-10,30900.8,20900.8,209.008,24.69,62
C_sp4.9_rv75_tr1.12_th1.20,4m,2025-12-10 to 2026-04-10,34478.85,24478.85,244.7885,28.08,83
C_sp4.9_rv75_tr1.12_th1.20,5m,2025-11-10 to 2026-04-10,47698.21,37698.21,376.9821,28.08,104
C_sp4.9_rv75_tr1.12_th1.20,6m,2025-10-10 to 2026-04-10,51621.54,41621.54,416.2154,29.81,125
C_sp4.9_rv75_tr1.12_th1.20,1y,2025-04-10 to 2026-04-10,87181.16,77181.16,771.8116,32.87,251
C_sp4.9_rv80_tr1.10_th1.18,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp4.9_rv80_tr1.10_th1.18,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.9_rv80_tr1.10_th1.18,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.9_rv80_tr1.10_th1.18,4m,2025-12-10 to 2026-04-10,33810.82,23810.82,238.1082,28.08,83
C_sp4.9_rv80_tr1.10_th1.18,5m,2025-11-10 to 2026-04-10,46850.65,36850.65,368.5065,28.08,104
C_sp4.9_rv80_tr1.10_th1.18,6m,2025-10-10 to 2026-04-10,50766.53,40766.53,407.6653,29.78,125
C_sp4.9_rv80_tr1.10_th1.18,1y,2025-04-10 to 2026-04-10,86216.23,76216.23,762.1623,32.78,251
C_sp4.9_rv80_tr1.10_th1.20,1m,2026-03-10 to 2026-04-10,20241.82,10241.82,102.4182,16.73,23
C_sp4.9_rv80_tr1.10_th1.20,2m,2026-02-10 to 2026-04-10,27611.51,17611.51,176.1151,16.73,42
C_sp4.9_rv80_tr1.10_th1.20,3m,2026-01-12 to 2026-04-10,31090.99,21090.99,210.9099,24.69,62
C_sp4.9_rv80_tr1.10_th1.20,4m,2025-12-10 to 2026-04-10,34719.46,24719.46,247.1946,28.08,83
C_sp4.9_rv80_tr1.10_th1.20,5m,2025-11-10 to 2026-04-10,48109.73,38109.73,381.0973,28.08,104
C_sp4.9_rv80_tr1.10_th1.20,6m,2025-10-10 to 2026-04-10,52130.86,42130.86,421.3086,29.78,125
C_sp4.9_rv80_tr1.10_th1.20,1y,2025-04-10 to 2026-04-10,88533.24,78533.24,785.3324,32.78,251
C_sp4.9_rv80_tr1.12_th1.20,1m,2026-03-10 to 2026-04-10,20175.68,10175.68,101.7568,16.73,23
C_sp4.9_rv80_tr1.12_th1.20,2m,2026-02-10 to 2026-04-10,27487.54,17487.54,174.8754,16.73,42
C_sp4.9_rv80_tr1.12_th1.20,3m,2026-01-12 to 2026-04-10,30900.8,20900.8,209.008,24.69,62
C_sp4.9_rv80_tr1.12_th1.20,4m,2025-12-10 to 2026-04-10,34478.85,24478.85,244.7885,28.08,83
C_sp4.9_rv80_tr1.12_th1.20,5m,2025-11-10 to 2026-04-10,47698.21,37698.21,376.9821,28.08,104
C_sp4.9_rv80_tr1.12_th1.20,6m,2025-10-10 to 2026-04-10,51621.54,41621.54,416.2154,29.81,125
C_sp4.9_rv80_tr1.12_th1.20,1y,2025-04-10 to 2026-04-10,87181.16,77181.16,771.8116,32.87,251
C_sp5.0_rv80_tr1.00_th1.00,1m,2026-03-10 to 2026-04-10,18822.69,8822.69,88.2269,16.73,23
C_sp5.0_rv80_tr1.00_th1.00,2m,2026-02-10 to 2026-04-10,26789.25,16789.25,167.8925,16.73,42
C_sp5.0_rv80_tr1.00_th1.00,3m,2026-01-12 to 2026-04-10,28602.87,18602.87,186.0287,23.99,62
C_sp5.0_rv80_tr1.00_th1.00,4m,2025-12-10 to 2026-04-10,30305.36,20305.36,203.0536,28.08,83
C_sp5.0_rv80_tr1.00_th1.00,5m,2025-11-10 to 2026-04-10,39457.54,29457.54,294.5754,28.08,104
C_sp5.0_rv80_tr1.00_th1.00,6m,2025-10-10 to 2026-04-10,41321.98,31321.98,313.2198,30.82,125
C_sp5.0_rv80_tr1.00_th1.00,1y,2025-04-10 to 2026-04-10,64662.31,54662.31,546.6231,35.04,251
