Variant,Window,Period,Start Equity,Final Equity,PnL ($),Return %,MaxDD %,Trading Days
G1-412837,1m,2026-03-10 to 2026-04-10,10000.0,10000.0,0.0,0.0,0.0,23
G1-412837,2m,2026-02-10 to 2026-04-10,10000.0,10000.0,0.0,0.0,0.0,42
G1-412837,3m,2026-01-12 to 2026-04-10,10000.0,10000.0,0.0,0.0,0.0,62
G1-412837,4m,2025-12-10 to 2026-04-10,10000.0,10000.0,0.0,0.0,0.0,83
G1-412837,5m,2025-11-10 to 2026-04-10,10000.0,10000.0,0.0,0.0,0.0,104
G1-412837,6m,2025-10-10 to 2026-04-10,10000.0,10000.0,0.0,0.0,0.0,125
G1-412837,1y,2025-04-10 to 2026-04-10,10000.0,10000.0,0.0,0.0,0.0,251
