Variant,Window,Period,Start Equity,Final Equity,PnL ($),Return %,MaxDD %,Trading Days
G1-570248,1m,2026-03-10 to 2026-04-10,10000.0,20176.67,10176.67,101.77,16.47,23
G1-570248,2m,2026-02-10 to 2026-04-10,10000.0,27713.03,17713.03,177.13,16.47,42
G1-570248,3m,2026-01-12 to 2026-04-10,10000.0,31225.08,21225.08,212.25,24.64,62
G1-570248,4m,2025-12-10 to 2026-04-10,10000.0,34860.48,24860.48,248.6,28.0,83
G1-570248,5m,2025-11-10 to 2026-04-10,10000.0,68817.81,58817.81,588.18,27.99,104
G1-570248,6m,2025-10-10 to 2026-04-10,10000.0,76239.05,66239.05,662.39,27.99,125
G1-570248,1y,2025-04-10 to 2026-04-10,10000.0,172196.09,162196.09,1621.96,27.99,251
