Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2025-12-23,11422.98,SOXL,no change,no change,no change,no change,SOXL,11560.36,137.37,1.2,15.72,,
2025-12-24,11560.36,SOXL,no change,no change,no change,no change,SOXL,11649.03,88.67,0.77,15.07,,
2025-12-26,11649.03,SOXL,no change,no change,no change,no change,SOXL,11719.17,70.14,0.6,14.56,,
2025-12-29,11719.17,SOXL,no change,no change,no change,no change,SOXL,11593.42,-125.75,-1.07,15.48,,
2025-12-30,11593.42,SOXL,no change,no change,no change,no change,SOXL,11573.99,-19.43,-0.17,15.62,,
2025-12-31,11573.99,SOXL,no change,no change,no change,no change,SOXL,11210.97,-363.02,-3.14,18.26,,
2026-01-02,11210.97,SOXL,09:30,SOXL,15:55,SOXS,SOXS,11940.24,729.27,6.5,12.95,45.99,2.745
2026-01-05,11940.24,SOXS,no change,no change,no change,no change,SOXS,11487.25,-452.98,-3.79,16.25,,
2026-01-06,11487.25,SOXS,no change,no change,no change,no change,SOXS,10353.32,-1133.93,-9.87,24.52,,
2026-01-07,10353.32,SOXS,no change,no change,no change,no change,SOXS,10701.03,347.71,3.36,21.98,,
2026-01-08,10701.03,SOXS,no change,no change,no change,no change,SOXS,11201.32,500.29,4.68,18.33,,
2026-01-09,11201.32,SOXS,no change,no change,no change,no change,SOXS,10200.41,-1000.91,-8.94,25.63,,
2026-01-12,10200.41,SOXS,no change,no change,no change,no change,SOXS,10070.76,-129.64,-1.27,26.58,,
2026-01-13,10070.76,SOXS,no change,no change,no change,no change,SOXS,9851.6,-219.16,-2.18,28.17,,
2026-01-14,9851.6,SOXS,no change,no change,no change,no change,SOXS,10025.92,174.32,1.77,26.9,,
2026-01-15,10025.92,SOXS,no change,no change,no change,no change,SOXS,9461.16,-564.77,-5.63,31.02,,
2026-01-16,9461.16,SOXS,no change,no change,no change,no change,SOXS,9047.44,-413.72,-4.37,34.04,,
2026-01-20,9047.44,SOXS,no change,no change,no change,no change,SOXS,9447.67,400.23,4.42,31.12,,
2026-01-21,9447.67,SOXS,no change,no change,15:55,SOXL,SOXL,8545.86,-901.81,-9.55,37.69,,63.6
2026-01-22,8545.86,SOXL,no change,no change,no change,no change,SOXL,8536.46,-9.41,-0.11,37.76,,
2026-01-23,8536.46,SOXL,no change,no change,no change,no change,SOXL,8246.22,-290.24,-3.4,39.88,,
2026-01-26,8246.22,SOXL,no change,no change,no change,no change,SOXL,8153.51,-92.71,-1.12,40.56,,
2026-01-27,8153.51,SOXL,15:54,SOXL,15:55,SOXL,SOXL,8687.93,534.42,6.55,36.66,64.675,64.96
2026-01-28,8687.93,SOXL,04:00,SOXL,15:55,SOXL,SOXL,9382.58,694.66,8.0,31.59,70.78,70.055
2026-01-29,9382.58,SOXL,no change,no change,no change,no change,SOXL,9410.04,27.46,0.29,31.39,,
2026-01-30,9410.04,SOXL,no change,no change,15:55,SOXS,SOXS,8271.31,-1138.73,-12.1,39.7,,1.9709
2026-02-02,8271.31,SOXS,no change,no change,no change,no change,SOXS,7847.81,-423.5,-5.12,42.78,,
2026-02-03,7847.81,SOXS,no change,no change,no change,no change,SOXS,8312.85,465.05,5.93,39.39,,
2026-02-04,8312.85,SOXS,no change,no change,15:55,SOXL,SOXL,9318.95,1006.1,12.1,32.06,,53.4001
2026-02-05,9318.95,SOXL,no change,no change,no change,no change,SOXL,9233.43,-85.53,-0.92,32.68,,
2026-02-06,9233.43,SOXL,07:12,SOXL,15:55,SOXS,SOXS,9848.88,615.45,6.67,28.19,56.48,1.87
2026-02-09,9848.88,SOXS,no change,no change,no change,no change,SOXS,9530.49,-318.39,-3.23,30.52,,
2026-02-10,9530.49,SOXS,no change,no change,no change,no change,SOXS,9628.31,97.82,1.03,29.8,,
2026-02-11,9628.31,SOXS,no change,no change,no change,no change,SOXS,8845.42,-782.89,-8.13,35.51,,
2026-02-12,8845.42,SOXS,no change,no change,no change,no change,SOXS,9556.82,711.39,8.04,30.32,,
2026-02-13,9556.82,SOXS,no change,no change,no change,no change,SOXS,9346.8,-210.01,-2.2,31.86,,
2026-02-17,9346.8,SOXS,no change,no change,no change,no change,SOXS,9321.41,-25.4,-0.27,32.04,,
2026-02-18,9321.41,SOXS,no change,no change,no change,no change,SOXS,9031.48,-289.93,-3.11,34.15,,
2026-02-19,9031.48,SOXS,no change,no change,15:55,SOXL,SOXL,9239.23,207.76,2.3,32.64,,64.885
2026-02-20,9239.23,SOXL,no change,no change,15:55,SOXS,SOXS,9508.59,269.36,2.92,30.68,,1.7103
2026-02-23,9508.59,SOXS,no change,no change,no change,no change,SOXS,9675.98,167.39,1.76,29.46,,
2026-02-24,9675.98,SOXS,no change,no change,no change,no change,SOXS,9202.23,-473.75,-4.9,32.91,,
2026-02-25,9202.23,SOXS,no change,no change,no change,no change,SOXS,8785.06,-417.17,-4.53,35.95,,
2026-02-26,8785.06,SOXS,no change,no change,no change,no change,SOXS,9618.98,833.92,9.49,29.87,,
2026-02-27,9618.98,SOXS,no change,no change,no change,no change,SOXS,10007.79,388.81,4.04,27.04,,
2026-03-02,10007.79,SOXS,no change,no change,no change,no change,SOXS,10008.35,0.56,0.01,27.03,,
2026-03-03,10008.35,SOXS,no change,no change,no change,no change,SOXS,11509.8,1501.46,15.0,16.09,,
2026-03-04,11509.8,SOXS,no change,no change,no change,no change,SOXS,10759.29,-750.52,-6.52,21.56,,
2026-03-05,10759.29,SOXS,13:08,SOXS,15:55,SOXS,SOXS,11577.47,818.18,7.6,15.59,41.76,40.4
2026-03-06,11577.47,SOXS,09:30,SOXS,15:55,SOXL,SOXL,12297.77,720.3,6.22,10.34,43.2286,47.66
2026-03-09,12297.77,SOXL,15:41,SOXL,15:55,SOXL,SOXL,13596.66,1298.89,10.56,0.87,52.72,52.975
2026-03-10,13596.66,SOXL,14:14,SOXL,15:55,SOXL,SOXL,14530.42,933.76,6.87,0.0,56.14,54.165
2026-03-11,14530.42,SOXL,no change,no change,15:55,SOXS,SOXS,15050.52,520.1,3.58,0.0,,37.8201
2026-03-12,15050.52,SOXS,10:02,SOXS,15:55,SOXL,SOXL,16251.94,1201.42,7.98,0.0,40.685,50.09
2026-03-13,16251.94,SOXL,no change,no change,no change,no change,SOXL,16365.5,113.56,0.7,0.0,,
2026-03-16,16365.5,SOXL,10:38,SOXL,15:55,SOXL,SOXL,17605.42,1239.92,7.58,0.0,54.12,53.71
2026-03-17,17605.42,SOXL,no change,no change,no change,no change,SOXL,17959.43,354.01,2.01,0.0,,
2026-03-18,17959.43,SOXL,no change,no change,no change,no change,SOXL,17851.26,-108.17,-0.6,0.6,,
2026-03-19,17851.26,SOXL,no change,no change,no change,no change,SOXL,18024.99,173.73,0.97,0.0,,
2026-03-20,18024.99,SOXL,no change,no change,no change,no change,SOXL,16633.53,-1391.45,-7.72,7.72,,
2026-03-23,16633.53,SOXL,07:13,SOXL,15:55,SOXS,SOXS,17792.63,1159.1,6.97,1.29,55.4,38.94
2026-03-24,17792.63,SOXS,no change,no change,no change,no change,SOXS,17276.05,-516.58,-2.9,4.15,,
2026-03-25,17276.05,SOXS,no change,no change,no change,no change,SOXS,16583.07,-692.98,-4.01,8.0,,
2026-03-26,16583.07,SOXS,11:05,SOXS,15:55,SOXL,SOXL,18023.43,1440.36,8.69,0.01,39.225,48.99
2026-03-27,18023.43,SOXL,no change,no change,no change,no change,SOXL,17140.47,-882.96,-4.9,4.91,,
2026-03-30,17140.47,SOXL,no change,no change,no change,no change,SOXL,15008.49,-2131.98,-12.44,16.74,,
2026-03-31,15008.49,SOXL,10:07,SOXL,15:55,SOXL,SOXL,16131.04,1122.55,7.48,10.51,43.8809,47.945
2026-04-01,16131.04,SOXL,09:43,SOXL,15:55,SOXL,SOXL,17201.34,1070.3,6.64,4.57,51.08,52.205
2026-04-02,17201.34,SOXL,no change,no change,no change,no change,SOXL,17385.86,184.52,1.07,3.55,,
2026-04-06,17385.86,SOXL,no change,no change,no change,no change,SOXL,18025.08,639.22,3.68,0.0,,
2026-04-07,18025.08,SOXL,19:33,SOXL,15:55,SOXL,SOXL,20845.88,2820.8,15.65,0.0,63.06,56.375
2026-04-08,20845.88,SOXL,04:03,SOXL,15:55,SOXS,SOXS,23656.63,2810.75,13.48,0.0,64.33,27.075
2026-04-09,23656.63,SOXS,no change,no change,no change,no change,SOXS,22048.94,-1607.69,-6.8,6.8,,
2026-04-10,22048.94,SOXS,no change,no change,no change,no change,SOXS,20659.68,-1389.25,-6.3,12.67,,
