Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-30,18817.32,SOXL,no change,no change,no change,no change,SOXL,18123.28,-694.04,-3.69,6.34,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-31,18123.28,SOXL,no change,no change,no change,no change,SOXL,18283.27,159.99,0.88,5.51,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-03,18283.27,SOXL,no change,no change,no change,no change,SOXL,18465.72,182.45,1.0,4.57,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-04,18465.72,SOXL,no change,no change,no change,no change,SOXL,16266.79,-2198.93,-11.91,15.93,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-05,16266.79,SOXL,15:50,SOXL,15:55,SOXS,SOXS,18000.11,1733.33,10.66,6.98,47.3901,3.275
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-06,18000.11,SOXS,no change,no change,15:55,SOXL,SOXL,19670.42,1670.31,9.28,0.0,,43.07
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-07,19670.42,SOXL,no change,no change,15:55,SOXS,SOXS,18820.15,-850.27,-4.32,4.32,,3.735
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-10,18820.15,SOXS,04:00,SOXS,no change,no change,CASH,17206.72,-1613.43,-8.57,12.52,3.415,
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-11,17206.72,CASH,no change,no change,15:55,SOXL,SOXL,17205.0,-1.72,-0.01,12.53,,41.81
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-12,17205.0,SOXL,no change,no change,15:55,SOXS,SOXS,17950.39,745.39,4.33,8.74,,3.4795
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-13,17950.39,SOXS,no change,no change,15:55,SOXL,SOXL,19805.11,1854.72,10.33,0.0,,39.135
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-14,19805.11,SOXL,no change,no change,15:55,SOXS,SOXS,19629.48,-175.64,-0.89,0.89,,3.87
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-17,19629.48,SOXS,no change,no change,no change,no change,SOXS,20643.8,1014.33,5.17,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-18,20643.8,SOXS,no change,no change,no change,no change,SOXS,21859.81,1216.01,5.89,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-19,21859.81,SOXS,no change,no change,no change,no change,SOXS,20844.4,-1015.41,-4.65,4.65,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-20,20844.4,SOXS,no change,no change,15:55,SOXL,SOXL,24004.2,3159.8,15.16,0.0,,30.83
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-21,24004.2,SOXL,no change,no change,15:55,SOXS,SOXS,24637.72,633.52,2.64,0.0,,4.6027
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-24,24637.72,SOXS,09:31,SOXS,15:55,SOXL,SOXL,23442.4,-1195.32,-4.85,4.85,4.38,36.125
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-25,23442.4,SOXL,no change,no change,no change,no change,SOXL,23500.8,58.4,0.25,4.61,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-26,23500.8,SOXL,15:57,SOXL,15:55,SOXL,SOXL,25472.86,1972.05,8.39,0.0,39.305,39.305
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-28,25472.86,SOXL,no change,no change,no change,no change,SOXL,26610.24,1137.38,4.47,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-01,26610.24,SOXL,no change,no change,no change,no change,SOXL,26840.31,230.07,0.86,0.0,,
