engine,stop_scope,protective_stop_pct,rv_gate_min_pct,rv_gate_window,windows,sum_delta_return,sum_delta_maxdd,sum_delta_equity,ret_improve_windows,dd_improve_windows,both_improve_windows,avg_delta_return_vs_base_pct,avg_delta_maxdd_vs_base_pct,avg_delta_equity_vs_base_usd,score
v1,inverse_only,3.0,0.0,20,8,334.2276713344809,-45.48659834412811,33422.7671334481,8,8,8,41.77845891681011,-5.685824793016014,4177.845891681012,48.23063472569753
v1,inverse_only,3.0,40.0,20,8,334.2276713344809,-45.48659834412811,33422.7671334481,8,8,8,41.77845891681011,-5.685824793016014,4177.845891681012,48.23063472569753
v1,inverse_only,3.0,60.0,20,8,286.4801057197934,-41.28830169867599,28648.01057197935,8,8,8,35.81001321497418,-5.161037712334498,3581.0013214974188,41.45542962140539
v1,inverse_only,3.0,80.0,20,8,246.64433208435977,-37.99411308621137,24664.433208435985,8,8,8,30.830541510544972,-4.749264135776421,3083.054151054498,35.81330131591004
v2,inverse_only,5.0,80.0,20,8,104.46395493729355,-3.2112273319330926,10446.395493729353,8,8,8,13.057994367161694,-0.4014034164916366,1305.799436716169,14.524355170474518
v2,inverse_only,5.0,0.0,20,8,98.71152396081968,-3.211227331933091,9871.152396081961,8,8,8,12.33894049510246,-0.40140341649163636,1233.8940495102452,13.73339591120936
v2,inverse_only,5.0,40.0,20,8,98.71152396081968,-3.211227331933091,9871.152396081961,8,8,8,12.33894049510246,-0.40140341649163636,1233.8940495102452,13.73339591120936
v2,inverse_only,5.0,60.0,20,8,97.80206621456662,-3.2112273319331086,9780.206621456651,8,8,8,12.225258276820828,-0.4014034164916386,1222.5258276820814,13.608345471099565
v1,inverse_only,4.0,0.0,20,8,85.94359858169065,-29.137909189215062,8594.35985816907,6,8,6,10.742949822711331,-3.6422386486518827,1074.2949822711337,13.274140264443218
v1,inverse_only,4.0,40.0,20,8,85.94359858169065,-29.137909189215062,8594.35985816907,6,8,6,10.742949822711331,-3.6422386486518827,1074.2949822711337,13.274140264443218
fev1,inverse_only,5.0,80.0,20,8,68.70081916300717,-0.46032875581136956,6870.081916300729,7,7,7,8.587602395375896,-0.057541094476421195,858.7602395375911,9.469379072704056
fev1,inverse_only,5.0,0.0,20,8,62.23366054181349,-0.46032875581136956,6223.366054181355,7,7,7,7.7792075677266865,-0.057541094476421195,777.9207567726694,8.580144762289924
fev1,inverse_only,5.0,40.0,20,8,62.23366054181349,-0.46032875581136956,6223.366054181355,7,7,7,7.7792075677266865,-0.057541094476421195,777.9207567726694,8.580144762289924
v1,inverse_only,4.0,60.0,20,8,53.732451979420375,-23.397742549948145,5373.245197942046,6,8,6,6.716556497427547,-2.924717818743518,671.6556497427557,8.55809927466771
fev1,inverse_only,5.0,60.0,20,8,61.211204552624395,-0.46032875581138377,6121.120455262444,7,7,7,7.651400569078049,-0.05754109447642297,765.1400569078055,8.439557063776425
v2,inverse_only,3.0,0.0,20,8,57.414803441299384,-3.9513308525865796,5741.480344129939,4,4,3,7.176850430162423,-0.49391635657332245,717.6850430162424,8.092102015807994
v2,inverse_only,3.0,40.0,20,8,57.414803441299384,-3.9513308525865796,5741.480344129939,4,4,3,7.176850430162423,-0.49391635657332245,717.6850430162424,8.092102015807994
v2,inverse_only,6.0,0.0,20,8,48.101757882323696,-1.2805360286135716,4810.175788232358,8,8,8,6.012719735290462,-0.16006700357669645,601.2719735290448,6.678018510250185
v2,inverse_only,6.0,40.0,20,8,48.101757882323696,-1.2805360286135716,4810.175788232358,8,8,8,6.012719735290462,-0.16006700357669645,601.2719735290448,6.678018510250185
v2,inverse_only,6.0,60.0,20,8,48.101757882323696,-1.2805360286135716,4810.175788232358,8,8,8,6.012719735290462,-0.16006700357669645,601.2719735290448,6.678018510250185
v2,inverse_only,6.0,80.0,20,8,48.101757882323696,-1.2805360286135716,4810.175788232358,8,8,8,6.012719735290462,-0.16006700357669645,601.2719735290448,6.678018510250185
v2,inverse_only,3.0,80.0,20,8,44.86626278767652,-3.951330852586578,4486.626278767648,4,4,3,5.608282848459565,-0.4939163565733222,560.828284845956,6.36667767593485
v2,inverse_only,3.0,60.0,20,8,43.93793781745869,-3.951330852586578,4393.793781745868,4,4,3,5.492242227182336,-0.4939163565733222,549.2242227182335,6.239032992529899
v1,inverse_only,4.0,80.0,20,8,36.77525971188176,-18.63640753826207,3677.5259711881863,6,7,5,4.59690746398522,-2.3295509422827587,459.6907463985233,5.988418587296847
fev1,inverse_only,6.0,0.0,20,8,33.98148801946682,-0.4603287558113802,3398.1488019466815,7,7,7,4.247686002433353,-0.05754109447642253,424.7686002433352,4.6954710404672575
fev1,inverse_only,6.0,40.0,20,8,33.98148801946682,-0.4603287558113802,3398.1488019466815,7,7,7,4.247686002433353,-0.05754109447642253,424.7686002433352,4.6954710404672575
fev1,inverse_only,6.0,60.0,20,8,33.98148801946682,-0.4603287558113802,3398.1488019466815,7,7,7,4.247686002433353,-0.05754109447642253,424.7686002433352,4.6954710404672575
fev1,inverse_only,6.0,80.0,20,8,33.98148801946682,-0.4603287558113802,3398.1488019466815,7,7,7,4.247686002433353,-0.05754109447642253,424.7686002433352,4.6954710404672575
v1,inverse_only,5.0,0.0,20,8,18.562476113486596,-13.4226964993126,1856.2476113486664,6,7,6,2.3203095141858245,-1.677837062414075,232.0309514185833,3.223475290570038
v1,inverse_only,5.0,40.0,20,8,18.562476113486596,-13.4226964993126,1856.2476113486664,6,7,6,2.3203095141858245,-1.677837062414075,232.0309514185833,3.223475290570038
fev1,inverse_only,7.0,0.0,20,8,5.02133708686172,1.178551656985869,502.1337086861713,2,1,1,0.627667135857715,0.14731895712323362,62.76671358577141,0.6315062665941931
fev1,inverse_only,7.0,40.0,20,8,5.02133708686172,1.178551656985869,502.1337086861713,2,1,1,0.627667135857715,0.14731895712323362,62.76671358577141,0.6315062665941931
fev1,inverse_only,7.0,60.0,20,8,5.02133708686172,1.178551656985869,502.1337086861713,2,1,1,0.627667135857715,0.14731895712323362,62.76671358577141,0.6315062665941931
fev1,inverse_only,7.0,80.0,20,8,5.02133708686172,1.178551656985869,502.1337086861713,2,1,1,0.627667135857715,0.14731895712323362,62.76671358577141,0.6315062665941931
v2,inverse_only,7.0,0.0,20,8,-1.403775573074256,1.577924393036234,-140.37755730743447,2,1,1,-0.175471946634282,0.19724054912952926,-17.54719466342931,-0.271915360949523
v2,inverse_only,7.0,40.0,20,8,-1.403775573074256,1.577924393036234,-140.37755730743447,2,1,1,-0.175471946634282,0.19724054912952926,-17.54719466342931,-0.271915360949523
v2,inverse_only,7.0,60.0,20,8,-1.403775573074256,1.577924393036234,-140.37755730743447,2,1,1,-0.175471946634282,0.19724054912952926,-17.54719466342931,-0.271915360949523
v2,inverse_only,7.0,80.0,20,8,-1.403775573074256,1.577924393036234,-140.37755730743447,2,1,1,-0.175471946634282,0.19724054912952926,-17.54719466342931,-0.271915360949523
v1,inverse_only,5.0,60.0,20,8,-8.793831832718553,-6.232398478001365,-879.3831832718497,5,6,5,-1.099228979089819,-0.7790498097501706,-109.92289790898121,-0.897531953098732
v1,inverse_only,5.0,80.0,20,8,-16.796455487221664,-3.151029886949569,-1679.6455487221574,5,6,5,-2.099556935902708,-0.39387873586869615,-209.95569359026968,-2.1519611351454992
fev1,inverse_only,3.0,0.0,20,8,-20.41663971382613,1.2452818366916532,-2041.6639713826116,3,3,2,-2.552079964228266,0.15566022958645664,-255.20799642282645,-2.869552052485675
fev1,inverse_only,3.0,40.0,20,8,-20.41663971382613,1.2452818366916532,-2041.6639713826116,3,3,2,-2.552079964228266,0.15566022958645664,-255.20799642282645,-2.869552052485675
