engine,window,period,stop_scope,protective_stop_pct,rv_gate_min_pct,rv_gate_window,initial_equity,final_equity,return_pct,maxdd_pct,maxdd_usd,events,delta_return_vs_base_pct,delta_maxdd_vs_base_pct,delta_equity_vs_base_usd
v1,5m,2025-11-09 to 2026-04-11,inverse_only,0.0,80.0,20,10000.0,20557.956807143033,105.57956807143034,22.13038004832069,5209.523103438747,22,0.0,0.0,0.0
v1,6m,2025-10-10 to 2026-04-11,inverse_only,0.0,80.0,20,10000.0,24125.201795090776,141.25201795090777,22.130380048320642,6113.486729526458,25,0.0,0.0,0.0
v1,1y,2025-04-11 to 2026-04-11,inverse_only,0.0,80.0,20,10000.0,23965.799215908715,139.65799215908717,26.992642081495358,7407.4112961288065,65,0.0,0.0,0.0
v1,10d,2026-04-01 to 2026-04-11,inverse_only,3.0,0.0,20,10000.0,13248.472812615217,32.48472812615218,3.657312939066174,502.931904004281,3,12.391666436597951,-9.011200449668818,1239.1666436597952
v1,1m,2026-03-12 to 2026-04-11,inverse_only,3.0,0.0,20,10000.0,14592.390869605053,45.92390869605052,12.744600948303287,1930.340580984188,9,18.81527752316687,-0.006555095552460699,1881.5277523166878
v1,2m,2026-02-09 to 2026-04-11,inverse_only,3.0,0.0,20,10000.0,22302.411291122753,123.02411291122755,12.744600948303278,2950.2533172084204,18,6.271126406278611,-0.006555095552476686,627.11264062786
v1,3m,2026-01-09 to 2026-04-11,inverse_only,3.0,0.0,20,10000.0,21331.428854229598,113.31428854229597,12.744600948303276,2821.8078268082245,26,10.796694203109112,-0.006555095552480239,1079.6694203109146
v1,4m,2025-12-10 to 2026-04-11,inverse_only,3.0,0.0,20,10000.0,19003.67994829585,90.03679948295849,14.237196893740865,2808.299637297877,30,32.141447284374756,-7.898713574134256,3214.1447284374754
v1,5m,2025-11-09 to 2026-04-11,inverse_only,3.0,0.0,20,10000.0,24742.769569460484,147.42769569460484,14.232127714823015,3655.1010489076234,34,41.84812762317449,-7.898252333497673,4184.812762317451
v1,6m,2025-10-10 to 2026-04-11,inverse_only,3.0,0.0,20,10000.0,31569.353750815786,215.69353750815785,14.232127714823024,4663.5514138387025,42,74.44151955725007,-7.898252333497618,7444.15195572501
v1,1y,2025-04-11 to 2026-04-11,inverse_only,3.0,0.0,20,10000.0,37717.98044596162,277.1798044596162,14.232127714823024,5571.851182774351,95,137.52181230052904,-12.760514366672334,13752.181230052905
v1,10d,2026-04-01 to 2026-04-11,inverse_only,3.0,40.0,20,10000.0,13248.472812615217,32.48472812615218,3.657312939066174,502.931904004281,3,12.391666436597951,-9.011200449668818,1239.1666436597952
v1,1m,2026-03-12 to 2026-04-11,inverse_only,3.0,40.0,20,10000.0,14592.390869605053,45.92390869605052,12.744600948303287,1930.340580984188,9,18.81527752316687,-0.006555095552460699,1881.5277523166878
v1,2m,2026-02-09 to 2026-04-11,inverse_only,3.0,40.0,20,10000.0,22302.411291122753,123.02411291122755,12.744600948303278,2950.2533172084204,18,6.271126406278611,-0.006555095552476686,627.11264062786
v1,3m,2026-01-09 to 2026-04-11,inverse_only,3.0,40.0,20,10000.0,21331.428854229598,113.31428854229597,12.744600948303276,2821.8078268082245,26,10.796694203109112,-0.006555095552480239,1079.6694203109146
v1,4m,2025-12-10 to 2026-04-11,inverse_only,3.0,40.0,20,10000.0,19003.67994829585,90.03679948295849,14.237196893740865,2808.299637297877,30,32.141447284374756,-7.898713574134256,3214.1447284374754
v1,5m,2025-11-09 to 2026-04-11,inverse_only,3.0,40.0,20,10000.0,24742.769569460484,147.42769569460484,14.232127714823015,3655.1010489076234,34,41.84812762317449,-7.898252333497673,4184.812762317451
v1,6m,2025-10-10 to 2026-04-11,inverse_only,3.0,40.0,20,10000.0,31569.353750815786,215.69353750815785,14.232127714823024,4663.5514138387025,42,74.44151955725007,-7.898252333497618,7444.15195572501
v1,1y,2025-04-11 to 2026-04-11,inverse_only,3.0,40.0,20,10000.0,37717.98044596162,277.1798044596162,14.232127714823024,5571.851182774351,95,137.52181230052904,-12.760514366672334,13752.181230052905
v1,10d,2026-04-01 to 2026-04-11,inverse_only,3.0,60.0,20,10000.0,13248.472812615217,32.48472812615218,3.657312939066174,502.931904004281,3,12.391666436597951,-9.011200449668818,1239.1666436597952
v1,1m,2026-03-12 to 2026-04-11,inverse_only,3.0,60.0,20,10000.0,14592.390869605053,45.92390869605052,12.744600948303287,1930.340580984188,9,18.81527752316687,-0.006555095552460699,1881.5277523166878
v1,2m,2026-02-09 to 2026-04-11,inverse_only,3.0,60.0,20,10000.0,22302.411291122753,123.02411291122755,12.744600948303278,2950.2533172084204,18,6.271126406278611,-0.006555095552476686,627.11264062786
v1,3m,2026-01-09 to 2026-04-11,inverse_only,3.0,60.0,20,10000.0,21331.428854229598,113.31428854229597,12.744600948303276,2821.8078268082245,26,10.796694203109112,-0.006555095552480239,1079.6694203109146
v1,4m,2025-12-10 to 2026-04-11,inverse_only,3.0,60.0,20,10000.0,19003.67994829585,90.03679948295849,14.237196893740865,2808.299637297877,30,32.141447284374756,-7.898713574134256,3214.1447284374754
