Date,runtime_switch_loop.py Day End Equity,runtime_switch_loop.py PnL ($),runtime_switch_loop.py Return %,runtime_switch_loop.py Drawdown %,runtime_switch_loop_v2_controlplane.py Day End Equity,runtime_switch_loop_v2_controlplane.py PnL ($),runtime_switch_loop_v2_controlplane.py Return %,runtime_switch_loop_v2_controlplane.py Drawdown %,FEV1-0001 Day End Equity,FEV1-0001 PnL ($),FEV1-0001 Return %,FEV1-0001 Drawdown %,fev1_best Day End Equity,fev1_best PnL ($),fev1_best Return %,fev1_best Drawdown %
2024-04-10,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01
2024-04-11,9358.55,-640.45,-6.41,6.41,9358.55,-640.45,-6.41,6.41,9358.55,-640.45,-6.41,6.41,9358.55,-640.45,-6.41,6.41
2024-04-12,10275.53,916.98,9.8,0.0,10275.53,916.98,9.8,0.0,10275.53,916.98,9.8,0.0,10275.53,916.98,9.8,0.0
2024-04-15,10645.17,369.64,3.6,0.0,10645.17,369.64,3.6,0.0,10645.17,369.64,3.6,0.0,10645.17,369.64,3.6,0.0
2024-04-16,10380.37,-264.8,-2.49,2.49,10380.37,-264.8,-2.49,2.49,10380.37,-264.8,-2.49,2.49,10380.37,-264.8,-2.49,2.49
2024-04-17,11338.68,958.31,9.23,0.0,11338.68,958.31,9.23,0.0,11338.68,958.31,9.23,0.0,11338.68,958.31,9.23,0.0
2024-04-18,10599.75,-738.93,-6.52,6.52,10599.75,-738.93,-6.52,6.52,10599.75,-738.93,-6.52,6.52,10599.75,-738.93,-6.52,6.52
2024-04-19,9390.84,-1208.91,-11.41,17.18,9390.84,-1208.91,-11.41,17.18,9390.84,-1208.91,-11.41,17.18,9390.84,-1208.91,-11.41,17.18
2024-04-22,9835.61,444.77,4.74,13.26,9835.61,444.77,4.74,13.26,9835.61,444.77,4.74,13.26,9835.61,444.77,4.74,13.26
2024-04-23,10398.87,563.26,5.73,8.29,10398.87,563.26,5.73,8.29,10398.87,563.26,5.73,8.29,10398.87,563.26,5.73,8.29
2024-04-24,10932.5,533.64,5.13,3.58,10932.5,533.64,5.13,3.58,10932.5,533.64,5.13,3.58,10932.5,533.64,5.13,3.58
2024-04-25,11377.23,444.73,4.07,0.0,11377.23,444.73,4.07,0.0,11377.23,444.73,4.07,0.0,11377.23,444.73,4.07,0.0
2024-04-26,12058.54,681.3,5.99,0.0,12058.54,681.3,5.99,0.0,12058.54,681.3,5.99,0.0,12058.54,681.3,5.99,0.0
2024-04-29,12332.82,274.29,2.27,0.0,12332.82,274.29,2.27,0.0,12332.82,274.29,2.27,0.0,12332.82,274.29,2.27,0.0
2024-04-30,13047.39,714.56,5.79,0.0,13047.39,714.56,5.79,0.0,13047.39,714.56,5.79,0.0,13047.39,714.56,5.79,0.0
