Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2025-08-15,6039.67,SOXL,no change,no change,no change,no change,SOXL,5607.03,-432.64,-7.16,66.16,,
2025-08-18,5607.03,SOXL,no change,no change,no change,no change,SOXL,5632.6,25.57,0.46,66.0,,
2025-08-19,5632.6,SOXL,no change,no change,no change,no change,SOXL,5348.57,-284.03,-5.04,67.72,,
2025-08-20,5348.57,SOXL,no change,no change,no change,no change,SOXL,5276.66,-71.91,-1.34,68.15,,
2025-08-21,5276.66,SOXL,no change,no change,no change,no change,SOXL,5201.99,-74.67,-1.42,68.6,,
2025-08-22,5201.99,SOXL,10:21,SOXL,15:55,SOXL,SOXL,5660.09,458.1,8.81,65.84,27.605,27.455
2025-08-25,5660.09,SOXL,no change,no change,no change,no change,SOXL,5651.83,-8.26,-0.15,65.88,,
2025-08-26,5651.83,SOXL,no change,no change,no change,no change,SOXL,5778.69,126.86,2.24,65.12,,
2025-08-27,5778.69,SOXL,no change,no change,no change,no change,SOXL,5811.67,32.98,0.57,64.92,,
2025-08-28,5811.67,SOXL,no change,no change,no change,no change,SOXL,5897.25,85.58,1.47,64.4,,
2025-08-29,5897.25,SOXL,no change,no change,no change,no change,SOXL,5331.16,-566.09,-9.6,67.82,,
2025-09-02,5331.16,SOXL,no change,no change,no change,no change,SOXL,5204.15,-127.01,-2.38,68.59,,
2025-09-03,5204.15,SOXL,no change,no change,no change,no change,SOXL,5111.52,-92.63,-1.78,69.15,,
2025-09-04,5111.52,SOXL,no change,no change,no change,no change,SOXL,5271.35,159.83,3.13,68.18,,
2025-09-05,5271.35,SOXL,no change,no change,no change,no change,SOXL,5453.86,182.51,3.46,67.08,,
2025-09-08,5453.86,SOXL,no change,no change,no change,no change,SOXL,5575.54,121.68,2.23,66.35,,
2025-09-09,5575.54,SOXL,no change,no change,no change,no change,SOXL,5599.25,23.72,0.43,66.2,,
2025-09-10,5599.25,SOXL,no change,no change,no change,no change,SOXL,5900.35,301.1,5.38,64.38,,
2025-09-11,5900.35,SOXL,no change,no change,no change,no change,SOXL,6003.47,103.12,1.75,63.76,,
2025-09-12,6003.47,SOXL,no change,no change,no change,no change,SOXL,6055.02,51.55,0.86,63.45,,
2025-09-15,6055.02,SOXL,no change,no change,no change,no change,SOXL,6170.52,115.5,1.91,62.75,,
2025-09-16,6170.52,SOXL,no change,no change,no change,no change,SOXL,6302.48,131.96,2.14,61.96,,
2025-09-17,6302.48,SOXL,no change,no change,no change,no change,SOXL,6303.14,0.66,0.01,61.95,,
2025-09-18,6303.14,SOXL,08:00,SOXL,15:55,SOXL,SOXL,6668.31,365.17,5.79,59.75,32.94,33.63
2025-09-19,6668.31,SOXL,no change,no change,no change,no change,SOXL,6534.43,-133.88,-2.01,60.56,,
2025-09-22,6534.43,SOXL,no change,no change,no change,no change,SOXL,6844.83,310.4,4.75,58.68,,
