Date,runtime_switch_loop.py Day End Equity,runtime_switch_loop.py PnL ($),runtime_switch_loop.py Return %,runtime_switch_loop.py Drawdown %,runtime_switch_loop_v2_controlplane.py Day End Equity,runtime_switch_loop_v2_controlplane.py PnL ($),runtime_switch_loop_v2_controlplane.py Return %,runtime_switch_loop_v2_controlplane.py Drawdown %,FEV1-0001 Day End Equity,FEV1-0001 PnL ($),FEV1-0001 Return %,FEV1-0001 Drawdown %,fev1_best Day End Equity,fev1_best PnL ($),fev1_best Return %,fev1_best Drawdown %
2021-05-11,12557.58,41.08,0.33,0.0,9088.64,29.73,0.33,9.99,9088.64,29.73,0.33,9.99,9669.64,31.63,0.33,4.23
2021-05-12,14127.38,1569.81,12.5,0.0,10224.8,1136.16,12.5,0.0,10224.8,1136.16,12.5,0.0,10878.43,1208.79,12.5,0.0
2021-05-13,15144.25,1016.87,7.2,0.0,10960.76,735.97,7.2,0.0,10960.76,735.97,7.2,0.0,11661.44,783.01,7.2,0.0
2021-05-14,15733.78,589.54,3.89,0.0,11387.44,426.68,3.89,0.0,11387.44,426.68,3.89,0.0,12115.4,453.96,3.89,0.0
2021-05-17,16277.63,543.85,3.46,0.0,11781.06,393.61,3.46,0.0,11781.06,393.61,3.46,0.0,12534.17,418.78,3.46,0.0
2021-05-18,16832.25,554.62,3.41,0.0,12182.46,401.41,3.41,0.0,12182.46,401.41,3.41,0.0,12961.24,427.07,3.41,0.0
2021-05-19,17280.96,448.71,2.67,0.0,12507.22,324.76,2.67,0.0,12507.22,324.76,2.67,0.0,13306.76,345.52,2.67,0.0
2021-05-20,18863.06,1582.11,9.16,0.0,13652.28,1145.06,9.16,0.0,13652.28,1145.06,9.16,0.0,14525.02,1218.26,9.16,0.0
2021-05-21,18553.4,-309.66,-1.64,1.64,13428.16,-224.12,-1.64,1.64,13428.16,-224.12,-1.64,1.64,14286.57,-238.45,-1.64,1.64
2021-05-24,19885.64,1332.24,7.18,0.0,14392.38,964.22,7.18,0.0,14392.38,964.22,7.18,0.0,15312.43,1025.86,7.18,0.0
2021-05-25,19954.73,69.09,0.35,0.0,14442.38,50.0,0.35,0.0,14442.38,50.0,0.35,0.0,15365.63,53.2,0.35,0.0
2021-05-26,20124.36,169.63,0.85,0.0,14565.16,122.77,0.85,0.0,14565.16,122.77,0.85,0.0,15496.25,130.62,0.85,0.0
2021-05-27,20576.96,452.6,2.25,0.0,14892.73,327.57,2.25,0.0,14892.73,327.57,2.25,0.0,15844.76,348.51,2.25,0.0
2021-05-28,20122.65,-454.32,-2.21,2.21,14563.92,-328.81,-2.21,2.21,14563.92,-328.81,-2.21,2.21,15494.93,-349.83,-2.21,2.21
2021-06-01,20160.88,38.23,0.19,2.02,14591.59,27.67,0.19,2.02,14591.59,27.67,0.19,2.02,15052.53,-442.4,-2.86,5.0
2021-06-02,19933.6,-227.28,-1.13,3.13,14427.09,-164.49,-1.13,3.13,14424.21,-167.38,-1.15,3.15,15051.02,-1.51,-0.01,5.01
2021-06-03,20839.86,906.25,4.55,0.0,15079.99,652.89,4.53,0.0,13776.35,-647.86,-4.49,7.5,14375.01,-676.01,-4.49,9.28
2021-06-04,19465.66,-1374.2,-6.59,6.59,16054.88,974.89,6.46,0.0,14666.97,890.62,6.46,1.52,15304.33,929.32,6.46,3.41
2021-06-07,19812.44,346.78,1.78,4.93,15749.39,-305.49,-1.9,1.9,14387.88,-279.08,-1.9,3.39,15013.12,-291.21,-1.9,5.25
2021-06-08,20206.53,394.09,1.99,3.04,15438.43,-310.95,-1.97,3.84,14103.81,-284.07,-1.97,5.3,14716.7,-296.42,-1.97,7.12
2021-06-09,20433.33,226.8,1.12,1.95,15266.24,-172.19,-1.12,4.91,13946.51,-157.31,-1.12,6.35,14552.56,-164.14,-1.12,8.16
2021-06-10,19752.45,-680.88,-3.33,5.22,15763.01,496.77,3.25,1.82,14400.33,453.83,3.25,3.31,15026.11,473.55,3.25,5.17
2021-06-11,19525.41,-227.04,-1.15,6.31,15954.72,191.71,1.22,0.62,14575.47,175.14,1.22,2.13,15208.86,182.75,1.22,4.01
2021-06-14,18760.41,-765.0,-3.92,9.98,16582.27,627.55,3.93,0.0,15148.77,573.3,3.93,0.0,15807.07,598.21,3.93,0.24
2021-06-15,19160.71,400.31,2.13,8.06,16208.3,-373.97,-2.26,2.26,14807.12,-341.65,-2.26,2.26,15450.58,-356.49,-2.26,2.49
2021-06-16,19513.47,352.75,1.84,6.36,15894.34,-313.96,-1.94,4.15,14520.31,-286.82,-1.94,4.15,15151.3,-299.28,-1.94,4.38
2021-06-17,18876.6,-636.86,-3.26,9.42,16330.7,436.37,2.75,1.52,14918.95,398.64,2.75,1.52,15567.26,415.97,2.75,1.75
2021-06-18,17569.11,-1307.49,-6.93,15.69,15199.56,-1131.15,-6.93,8.34,13885.58,-1033.36,-6.93,8.34,14488.99,-1078.27,-6.93,8.56
2021-06-21,17423.38,-145.73,-0.83,16.39,15073.48,-126.08,-0.83,9.1,13770.41,-115.18,-0.83,9.1,14368.81,-120.18,-0.83,9.32
2021-06-22,17172.23,-251.15,-1.44,17.6,14856.2,-217.28,-1.44,10.41,13571.91,-198.49,-1.44,10.41,14161.69,-207.12,-1.44,10.62
2021-06-23,16981.74,-190.5,-1.11,18.51,14691.4,-164.8,-1.11,11.4,13421.36,-150.56,-1.11,11.4,14004.59,-157.1,-1.11,11.61
2021-06-24,17888.45,906.71,5.34,14.16,15475.82,784.42,5.34,6.67,14137.97,716.61,5.34,6.67,14752.34,747.75,5.34,6.89
2021-06-25,17665.15,-223.3,-1.25,15.23,15282.64,-193.18,-1.25,7.84,13961.49,-176.48,-1.25,7.84,14568.19,-184.15,-1.25,8.06
