Date,runtime_switch_loop.py Day End Equity,runtime_switch_loop.py PnL ($),runtime_switch_loop.py Return %,runtime_switch_loop.py Drawdown %,runtime_switch_loop_v2_controlplane.py Day End Equity,runtime_switch_loop_v2_controlplane.py PnL ($),runtime_switch_loop_v2_controlplane.py Return %,runtime_switch_loop_v2_controlplane.py Drawdown %,FEV1-0001 Day End Equity,FEV1-0001 PnL ($),FEV1-0001 Return %,FEV1-0001 Drawdown %,fev1_best Day End Equity,fev1_best PnL ($),fev1_best Return %,fev1_best Drawdown %
2025-10-10,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01
2025-10-13,10837.07,838.07,8.38,0.0,10837.07,838.07,8.38,0.0,10837.07,838.07,8.38,0.0,10837.07,838.07,8.38,0.0
2025-10-14,11545.19,708.13,6.53,0.0,10142.19,-694.88,-6.41,6.41,10142.19,-694.88,-6.41,6.41,10142.19,-694.88,-6.41,6.41
2025-10-15,10541.94,-1003.25,-8.69,8.69,10763.32,621.13,6.12,0.68,10763.32,621.13,6.12,0.68,10763.32,621.13,6.12,0.68
2025-10-16,10349.22,-192.72,-1.83,10.36,10950.0,186.67,1.73,0.0,10950.0,186.67,1.73,0.0,10950.0,186.67,1.73,0.0
2025-10-17,10451.25,102.03,0.99,9.48,10874.26,-75.74,-0.69,0.69,10874.26,-75.74,-0.69,0.69,10874.26,-75.74,-0.69,0.69
2025-10-20,9855.28,-595.97,-5.7,14.64,11475.1,600.84,5.53,0.0,11475.1,600.84,5.53,0.0,11475.1,600.84,5.53,0.0
2025-10-21,10040.56,185.28,1.88,13.03,11267.84,-207.26,-1.81,1.81,11267.84,-207.26,-1.81,1.81,11267.84,-207.26,-1.81,1.81
2025-10-22,10875.03,834.47,8.31,5.8,10335.24,-932.6,-8.28,9.93,10335.24,-932.6,-8.28,9.93,10335.24,-932.6,-8.28,9.93
2025-10-23,10015.35,-859.68,-7.91,13.25,9516.32,-818.91,-7.92,17.07,9516.32,-818.91,-7.92,17.07,9809.13,-526.1,-5.09,14.52
2025-10-24,9502.11,-513.24,-5.12,17.7,10027.45,511.12,5.37,12.62,10027.45,511.12,5.37,12.62,10335.98,526.85,5.37,9.93
2025-10-27,8718.63,-783.48,-8.25,24.48,10662.61,635.17,6.33,7.08,10662.61,635.17,6.33,7.08,10990.69,654.71,6.33,4.22
2025-10-28,8704.98,-13.64,-0.16,24.6,10691.01,28.4,0.27,6.83,10691.01,28.4,0.27,6.83,11019.96,29.27,0.27,3.97
2025-10-29,8256.24,-448.74,-5.15,28.49,11298.68,607.67,5.68,1.54,11298.68,607.67,5.68,1.54,11646.33,626.37,5.68,0.0
2025-10-30,8564.43,308.18,3.73,25.82,10881.95,-416.73,-3.69,5.17,10881.95,-416.73,-3.69,5.17,11216.77,-429.55,-3.69,3.69
2025-10-31,8488.59,-75.83,-0.89,26.48,10978.01,96.06,0.88,4.33,10978.01,96.06,0.88,4.33,11315.79,99.02,0.88,2.84
2025-11-03,8411.95,-76.65,-0.9,27.14,11087.56,109.55,1.0,3.38,11087.56,109.55,1.0,3.38,11428.72,112.92,1.0,1.87
2025-11-04,9409.39,997.44,11.86,18.5,9767.23,-1320.33,-11.91,14.88,9767.23,-1320.33,-11.91,14.88,10067.76,-1360.95,-11.91,13.55
2025-11-05,10433.31,1023.92,10.88,9.63,10830.09,1062.86,10.88,5.62,10830.09,1062.86,10.88,5.62,11163.33,1095.56,10.88,4.15
2025-11-06,11401.46,968.15,9.28,1.24,9870.96,-959.14,-8.86,13.98,9870.96,-959.14,-8.86,13.98,10174.68,-988.65,-8.86,12.64
2025-11-07,10910.81,-490.66,-4.3,5.49,9446.17,-424.79,-4.3,17.68,9446.17,-424.79,-4.3,17.68,9736.82,-437.86,-4.3,16.4
2025-11-10,11734.04,823.23,7.55,0.0,10158.89,712.72,7.55,11.47,10158.89,712.72,7.55,11.47,10471.47,734.65,7.55,10.09
2025-11-11,10881.67,-852.37,-7.26,7.26,9420.94,-737.95,-7.26,17.9,9420.94,-737.95,-7.26,17.9,9710.82,-760.65,-7.26,16.62
2025-11-12,11355.38,473.71,4.35,3.23,9831.06,410.12,4.35,14.33,9831.06,410.12,4.35,14.33,10133.55,422.74,4.35,12.99
