Date,runtime_switch_loop_v1 Day End Equity,runtime_switch_loop_v1 PnL ($),runtime_switch_loop_v1 Return %,runtime_switch_loop_v1 Drawdown %,runtime_switch_loop_v2_controlplane Day End Equity,runtime_switch_loop_v2_controlplane PnL ($),runtime_switch_loop_v2_controlplane Return %,runtime_switch_loop_v2_controlplane Drawdown %,FEV1-0001 Day End Equity,FEV1-0001 PnL ($),FEV1-0001 Return %,FEV1-0001 Drawdown %
2025-12-24,12730.29,96.9,0.77,13.43,17522.53,133.38,0.77,10.96,17522.53,133.38,0.77,10.96
2025-12-26,12806.94,76.65,0.6,12.91,17628.04,105.51,0.6,10.43,17628.04,105.51,0.6,10.43
2025-12-29,12669.51,-137.43,-1.07,13.84,17438.88,-189.16,-1.07,11.39,17438.88,-189.16,-1.07,11.39
2025-12-30,12648.28,-21.23,-0.17,13.99,17409.66,-29.22,-0.17,11.53,17409.66,-29.22,-0.17,11.53
2025-12-31,12251.56,-396.72,-3.14,16.68,16863.6,-546.06,-3.14,14.31,16863.6,-546.06,-3.14,14.31
2026-01-02,13048.52,796.96,6.5,11.26,17960.57,1096.97,6.5,8.74,17960.57,1096.97,6.5,8.74
2026-01-05,12553.49,-495.03,-3.79,14.63,19080.46,1119.9,6.24,3.04,19080.46,1119.9,6.24,3.04
2026-01-06,11314.31,-1239.18,-9.87,23.06,20556.62,1476.15,7.74,0.0,20556.62,1476.15,7.74,0.0
2026-01-07,11694.29,379.98,3.36,20.47,19814.85,-741.76,-3.61,3.61,19814.85,-741.76,-3.61,3.61
2026-01-08,12241.02,546.73,4.68,16.75,18860.34,-954.51,-4.82,8.25,18860.34,-954.51,-4.82,8.25
2026-01-09,11147.2,-1093.82,-8.94,24.19,20602.21,1741.86,9.24,0.0,20602.21,1741.86,9.24,0.0
2026-01-12,11005.53,-141.68,-1.27,25.16,20851.04,248.84,1.21,0.0,20851.04,248.84,1.21,0.0
2026-01-13,10766.02,-239.5,-2.18,26.79,21278.43,427.39,2.05,0.0,21278.43,427.39,2.05,0.0
2026-01-14,10956.52,190.5,1.77,25.49,20961.21,-317.22,-1.49,1.49,20961.21,-317.22,-1.49,1.49
2026-01-15,10339.33,-617.19,-5.63,29.69,22508.85,1547.63,7.38,0.0,22508.85,1547.63,7.38,0.0
2026-01-16,9887.21,-452.12,-4.37,32.76,23491.36,982.51,4.37,0.0,23491.36,982.51,4.37,0.0
2026-01-20,10324.6,437.38,4.42,29.79,22479.84,-1011.53,-4.31,4.31,22479.84,-1011.53,-4.31,4.31
2026-01-21,9339.09,-985.51,-9.55,36.49,24371.87,1892.03,8.42,0.0,24371.87,1892.03,8.42,0.0
2026-01-22,9328.81,-10.28,-0.11,36.56,24345.05,-26.82,-0.11,0.11,24345.05,-26.82,-0.11,0.11
2026-01-23,9011.63,-317.18,-3.4,38.72,23517.32,-827.72,-3.4,3.51,23517.32,-827.72,-3.4,3.51
2026-01-26,8910.31,-101.32,-1.12,39.41,23252.91,-264.41,-1.12,4.59,23252.91,-264.41,-1.12,4.59
2026-01-27,9494.34,584.03,6.55,35.43,24777.02,1524.11,6.55,0.0,24777.02,1524.11,6.55,0.0
2026-01-28,10253.47,759.13,8.0,30.27,26758.1,1981.08,8.0,0.0,26758.1,1981.08,8.0,0.0
2026-01-29,10283.47,30.0,0.29,30.07,26836.41,78.3,0.29,0.0,26836.41,78.3,0.29,0.0
2026-01-30,9039.04,-1244.43,-12.1,38.53,23593.58,-3242.83,-12.08,12.08,23593.58,-3242.83,-12.08,12.08
2026-02-02,8576.23,-462.81,-5.12,41.68,25051.93,1458.35,6.18,6.65,25051.93,1458.35,6.18,6.65
2026-02-03,9084.45,508.21,5.93,38.22,23482.07,-1569.85,-6.27,12.5,23482.07,-1569.85,-6.27,12.5
2026-02-04,10183.93,1099.49,12.1,30.74,20588.54,-2893.53,-12.32,23.28,20588.54,-2893.53,-12.32,23.28
2026-02-05,10090.47,-93.47,-0.92,31.38,20399.58,-188.96,-0.92,23.99,20399.58,-188.96,-0.92,23.99
2026-02-06,10763.05,672.58,6.67,26.81,21759.31,1359.73,6.67,18.92,21759.31,1359.73,6.67,18.92
2026-02-09,10415.1,-347.94,-3.23,29.17,22516.72,757.41,3.48,16.1,22516.72,757.41,3.48,16.1
2026-02-10,10522.01,106.9,1.03,28.44,22262.65,-254.08,-1.13,17.04,22262.65,-254.08,-1.13,17.04
