Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2026-03-26,18122.3,SOXS,11:05,SOXS,15:55,SOXL,SOXL,19696.36,1574.06,8.69,0.01,39.225,48.99
2026-03-27,19696.36,SOXL,no change,no change,no change,no change,SOXL,18731.44,-964.92,-4.9,4.91,,
2026-03-30,18731.44,SOXL,no change,no change,no change,no change,SOXL,16401.57,-2329.87,-12.44,16.74,,
2026-03-31,16401.57,SOXL,10:07,SOXL,15:55,SOXL,SOXL,17628.31,1226.74,7.48,10.51,43.8809,47.945
2026-04-01,17628.31,SOXL,09:43,SOXL,15:55,SOXL,SOXL,18797.96,1169.65,6.64,4.57,51.08,52.205
2026-04-02,18797.96,SOXL,no change,no change,no change,no change,SOXL,18999.6,201.64,1.07,3.55,,
2026-04-06,18999.6,SOXL,no change,no change,no change,no change,SOXL,19698.16,698.55,3.68,0.0,,
2026-04-07,19698.16,SOXL,19:33,SOXL,15:55,SOXL,SOXL,22780.78,3082.62,15.65,0.0,63.06,56.375
2026-04-08,22780.78,SOXL,04:03,SOXL,15:55,SOXS,SOXS,25852.42,3071.64,13.48,0.0,64.33,27.075
2026-04-09,25852.42,SOXS,no change,no change,no change,no change,SOXS,24095.51,-1756.91,-6.8,6.8,,
2026-04-10,24095.51,SOXS,no change,no change,no change,no change,SOXS,22577.3,-1518.2,-6.3,12.67,,
