date,cpu_equity,cpu_pnl,cpu_return_pct,cpu_drawdown_usd,cpu_drawdown_pct,cpu_day_fall_usd,cpu_day_fall_pct,gpu_equity,gpu_pnl,gpu_return_pct,gpu_drawdown_usd,gpu_drawdown_pct,gpu_day_fall_usd,gpu_day_fall_pct,cpu_gpu_diff_bps,sale_time_stock,new_purchase_time_stock
2025-03-24,9999.00009999,-0.999900009999692,-0.009999000099991662,0.999900009999692,0.00999900009999692,0.999900009999692,0.00999900009999692,9999.00009999,-0.999900009999692,-0.009999000099991662,0.999900009999692,0.00999900009999692,0.999900009999692,0.00999900009999692,0.0,no change,15:55 | SPXS; 15:55 | SQQQ
2025-03-25,9915.76488747347,-83.23521251653074,-0.8324353603778256,84.23511252653043,0.8423511252653043,83.23521251653074,0.832435360377824,9915.76488747347,-83.23521251653074,-0.8324353603778256,84.23511252653043,0.8423511252653043,83.23521251653074,0.832435360377824,0.0,no change,no change
2025-03-26,10338.414550188652,422.6496627151828,4.262401010023087,0.0,0.0,0.0,0.0,10338.414550188652,422.6496627151828,4.262401010023087,0.0,0.0,0.0,0.0,0.0,no change,no change
2025-03-27,10458.57325039945,120.15870021079718,1.1622546148394086,0.0,0.0,0.0,0.0,10458.57325039945,120.15870021079718,1.1622546148394086,0.0,0.0,0.0,0.0,0.0,no change,15:55 | TMV
2025-03-28,10550.735054031216,92.16180363176682,0.8812081860998244,0.0,0.0,0.0,0.0,10550.735054031216,92.16180363176682,0.8812081860998244,0.0,0.0,0.0,0.0,0.0,no change,no change
2025-03-31,10346.72810386641,-204.00695016480677,-1.9335804483770036,204.00695016480677,1.9335804483770063,204.00695016480677,1.9335804483770063,10346.72810386641,-204.00695016480677,-1.9335804483770036,204.00695016480677,1.9335804483770063,204.00695016480677,1.9335804483770063,0.0,no change,no change
2025-04-01,10176.942368273109,-169.78573559330107,-1.6409606388502196,373.79268575810784,3.542811793148852,169.78573559330107,1.640960638850216,10176.942368273109,-169.78573559330107,-1.6409606388502196,373.79268575810784,3.542811793148852,169.78573559330107,1.640960638850216,0.0,no change,no change
2025-04-02,10052.556902029584,-124.3854662435242,-1.222228266038916,498.17815200163204,4.721738812039343,124.3854662435242,1.222228266038916,10052.556902029584,-124.3854662435242,-1.222228266038916,498.17815200163204,4.721738812039343,124.3854662435242,1.222228266038916,0.0,no change,no change
2025-04-03,10726.132411522856,673.575509493272,6.700539137035655,0.0,0.0,0.0,0.0,10726.132411522856,673.575509493272,6.700539137035655,0.0,0.0,0.0,0.0,0.0,no change,15:55 | SQQQ; 15:55 | TMV
2025-04-04,11520.813450279707,794.6810387568512,7.408831144981409,0.0,0.0,0.0,0.0,11520.813450279707,794.6810387568512,7.408831144981409,0.0,0.0,0.0,0.0,0.0,no change,15:55 | SPXS; 15:55 | TMV
