Window,Start,End,CPU Final Equity,CPU PnL,CPU Return %,CPU Max DD %,CPU Trades,GPU Final Equity,GPU PnL,GPU Return %,GPU Max DD %,GPU Trades,CPU-GPU Diff (bps)
1m,2026-02-19,2026-03-19,18751.00321985873,8751.003219858729,87.51003219858728,8.620689844168508,17,18751.00321985873,8751.003219858729,87.51003219858728,8.620689844168508,17,0.0
2m,2026-01-19,2026-03-19,23691.81596701395,13691.81596701395,136.91815967013952,14.580192196565342,32,23691.81596701395,13691.81596701395,136.91815967013952,14.580192196565342,32,0.0
3m,2025-12-19,2026-03-19,18525.99693872991,8525.99693872991,85.2599693872991,36.025593494160006,36,18525.99693872991,8525.99693872991,85.2599693872991,36.025593494160006,36,0.0
6m,2025-09-19,2026-03-19,20580.98740038871,10580.987400388709,105.80987400388709,39.15523949283787,62,20580.98740038871,10580.987400388709,105.80987400388709,39.15523949283787,62,0.0
1y,2025-03-19,2026-03-19,33571.835148219994,23571.835148219994,235.71835148219992,39.15523949283786,272,33571.835148219994,23571.835148219994,235.71835148219992,39.15523949283786,271,0.0
2y,2024-03-19,2026-03-19,21673.370308597114,11673.370308597114,116.73370308597116,62.29404998068367,494,21673.370308597114,11673.370308597114,116.73370308597116,62.29404998068367,487,0.0
3y,2023-03-19,2026-03-19,11266.485793652595,1266.485793652595,12.66485793652594,84.64820327108447,548,11266.48579365258,1266.4857936525805,12.66485793652581,84.64820327108448,539,1.2916108443118287e-11
5y,2021-03-19,2026-03-19,16043.500974233233,6043.500974233233,60.43500974233233,88.26904085931415,1165,16043.500974233233,6043.500974233233,60.43500974233233,88.26904085931415,1148,0.0
